current pwr_bound is 5e-0
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 578880
pwrLength=18090
pwrErrBoundBytes_size=36180
pw_relBoundRatio=5.000000
hit: 562518
miss: 16360
length of statenum:65536
nodecount=307
treeByteSize=2764
enCodeSize=185084
-------insight of tdps
dataLength=578880
exactDataNum=16362
realPrecision=496.000000
medianValue=0.000000
reqLength=26
quantization_intervals=20000
pwrErrBoundBytes_size=36180
radExpo=9
-----------------------
timecost, 0.023213, seconds
done
input file size: 4631040
output file size: 26542
sz compression ratio, 174.48 
timecost, 0.012104, second
done
Max absolute error = 4855.6875
Max relative error = 4.8557360573594881004
Max pw_relative err = 4.9597265625000002132
../model_comparison/inputdata/original/blast2_p.dat, ../model_comparison/inputdata/original/blast2_p.dat.sz.out, 578880
size of double: 8
799.806702, 799.781250, -0.025452
0.010000, 0.010000, -0.000000
0.010000, 0.043437, 0.033437
0.010000, -0.020782, -0.030782
0.010000, 0.012655, 0.002655
0.010000, 0.046093, 0.036093
0.010000, -0.018126, -0.028126
79.982468, 79.995780, 0.013312
799.806702, 799.853436, 0.046734
0.010000, 0.010000, -0.000000
0.010000, -0.028749, -0.038749
0.010000, 0.030159, 0.020159
0.010000, -0.008589, -0.018589
0.010000, 0.050319, 0.040319
0.010000, 0.011571, 0.001571
79.982468, 79.953291, -0.029176
799.806702, 799.836418, 0.029716
0.010000, 0.010000, -0.000000
0.010000, -0.011731, -0.021731
0.010000, -0.033462, -0.043462
0.010000, 0.042463, 0.032463
0.010000, 0.020732, 0.010732
0.010000, -0.000998, -0.010998
79.982468, 79.957739, -0.024728
799.806702, 799.760227, -0.046474
0.010000, 0.010000, -0.000000
0.010000, -0.033196, -0.043196
0.010000, 0.021264, 0.011264
0.010000, -0.021933, -0.031933
0.010000, 0.032527, 0.022527
0.010000, -0.010669, -0.020669
79.982468, 80.024260, 0.041792
799.806702, 799.805283, -0.001419
0.010000, 0.010000, -0.000000
0.010000, 0.019404, 0.009404
0.010000, 0.028809, 0.018809
0.010000, 0.038214, 0.028214
0.010000, 0.047618, 0.037618
0.010000, 0.057023, 0.047023
79.982468, 79.949240, -0.033227
799.806702, 799.782864, -0.023838
0.010000, 0.010000, -0.000000
0.010000, 0.041823, 0.031823
0.010000, -0.024009, -0.034009
0.010000, 0.007814, -0.002186
0.010000, 0.039638, 0.029638
0.010000, -0.026195, -0.036195
79.982468, 79.986098, 0.003630
799.806702, 799.842140, 0.035439
0.010000, 0.010000, -0.000000
0.010000, -0.017453, -0.027453
0.010000, 0.052750, 0.042750
0.010000, 0.025297, 0.015297
0.010000, -0.002156, -0.012156
0.010000, -0.029609, -0.039609
79.982468, 80.021063, 0.038596
799.806702, 799.817829, 0.011127
0.010000, 0.010000, -0.000000
0.010000, 0.006858, -0.003142
0.010000, 0.003716, -0.006284
0.010000, 0.000574, -0.009426
0.010000, -0.002568, -0.012568
0.010000, -0.005710, -0.015710
79.982468, 79.971617, -0.010850
1000.000000, 999.988007, -0.011993
599.613403, 599.593750, -0.019653
0.010000, -0.019257, -0.029257
0.010000, -0.022888, -0.032888
0.010000, -0.026520, -0.036520
0.010000, -0.030151, -0.040151
0.010000, -0.033783, -0.043783
0.010000, -0.037415, -0.047415
1000.000000, 1000.000000, 0.000000
599.613403, 599.593750, -0.019653
0.010000, -0.031250, -0.041250
0.010000, 0.050781, 0.040781
0.010000, 0.035156, 0.025156
0.010000, 0.019531, 0.009531
0.010000, 0.003906, -0.006094
0.010000, -0.011719, -0.021719
1000.000000, 1000.000000, 0.000000
599.613403, 599.593750, -0.019653
0.010000, -0.031250, -0.041250
0.010000, 0.050781, 0.040781
0.010000, 0.035156, 0.025156
0.010000, 0.019531, 0.009531
0.010000, 0.003906, -0.006094
0.010000, -0.011719, -0.021719
1000.000000, 1000.000000, 0.000000
599.613403, 599.593750, -0.019653
0.010000, -0.031250, -0.041250
0.010000, 0.050781, 0.040781
0.010000, 0.035156, 0.025156
0.010000, 0.019531, 0.009531
0.010000, 0.003906, -0.006094
0.010000, -0.011719, -0.021719
1000.000000, 1000.000000, 0.000000
599.613403, 599.593750, -0.019653
0.010000, -0.031250, -0.041250
