current pwr_bound is 1e-2
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 55692
pwrLength=1741
pwrErrBoundBytes_size=3482
pw_relBoundRatio=0.010000
hit: 55690
miss: 0
length of statenum:65536
nodecount=235
treeByteSize=1646
enCodeSize=17951
-------insight of tdps
dataLength=55692
exactDataNum=2
realPrecision=0.009766
medianValue=0.000000
reqLength=19
quantization_intervals=20000
pwrErrBoundBytes_size=3482
radExpo=0
-----------------------
timecost, 0.006121, seconds
done
input file size: 445536
output file size: 9703
sz compression ratio, 45.92 
timecost, 0.005370, second
done
Max absolute error = 0.010247368696551628631
Max relative error = 0.0078078638886052579085
Max pw_relative err = 0.0099595780241071001776
../model_comparison/inputdata/original/bump.dat, ../model_comparison/inputdata/original/bump.dat.sz.out, 55692
size of double: 8
0.878264, 0.875000, -0.003264
0.877647, 0.875000, -0.002647
0.878264, 0.875000, -0.003264
0.877647, 0.875000, -0.002647
0.877647, 0.875000, -0.002647
0.877647, 0.875000, -0.002647
0.876108, 0.875000, -0.001108
0.876108, 0.875000, -0.001108
0.876108, 0.875000, -0.001108
0.878142, 0.875000, -0.003142
0.878142, 0.875000, -0.003142
0.878142, 0.875000, -0.003142
0.878108, 0.875000, -0.003108
0.878108, 0.875000, -0.003108
0.878108, 0.875000, -0.003108
0.878462, 0.875000, -0.003462
0.878462, 0.875000, -0.003462
0.878462, 0.875000, -0.003462
0.878907, 0.875000, -0.003907
0.878907, 0.875000, -0.003907
0.878907, 0.875000, -0.003907
0.879378, 0.875000, -0.004378
0.879378, 0.875000, -0.004378
0.879378, 0.875000, -0.004378
0.879893, 0.875000, -0.004893
0.879893, 0.875000, -0.004893
0.879893, 0.875000, -0.004893
0.880489, 0.875000, -0.005489
0.880489, 0.875000, -0.005489
0.880489, 0.875000, -0.005489
0.881238, 0.875000, -0.006238
0.881238, 0.875000, -0.006238
0.881238, 0.875000, -0.006238
0.882170, 0.875000, -0.007170
0.882170, 0.875000, -0.007170
0.882170, 0.875000, -0.007170
0.883345, 0.875000, -0.008345
0.883345, 0.875000, -0.008345
0.883345, 0.875000, -0.008345
0.884758, 0.892578, 0.007821
0.884758, 0.892578, 0.007821
0.884758, 0.892578, 0.007821
0.886264, 0.892578, 0.006315
0.886264, 0.892578, 0.006315
0.886264, 0.892578, 0.006315
0.887784, 0.892578, 0.004794
0.887784, 0.892578, 0.004794
0.887784, 0.892578, 0.004794
0.889306, 0.892578, 0.003272
0.889306, 0.892578, 0.003272
0.889306, 0.892578, 0.003272
0.890908, 0.892578, 0.001670
0.890908, 0.892578, 0.001670
0.890908, 0.892578, 0.001670
0.893410, 0.892578, -0.000832
0.893410, 0.892578, -0.000832
0.893410, 0.892578, -0.000832
0.897265, 0.892578, -0.004687
0.897265, 0.892578, -0.004687
0.897265, 0.892578, -0.004687
0.902269, 0.910156, 0.007887
0.902269, 0.910156, 0.007887
0.902269, 0.910156, 0.007887
0.907751, 0.910156, 0.002405
0.907751, 0.910156, 0.002405
0.907751, 0.910156, 0.002405
0.913092, 0.910156, -0.002936
0.913092, 0.910156, -0.002936
0.913092, 0.910156, -0.002936
0.919233, 0.927734, 0.008502
0.919233, 0.927734, 0.008502
0.919233, 0.927734, 0.008502
0.928425, 0.927734, -0.000690
0.928425, 0.927734, -0.000690
0.928425, 0.927734, -0.000690
0.941154, 0.945312, 0.004159
0.941154, 0.945312, 0.004159
0.941154, 0.945312, 0.004159
0.955785, 0.962891, 0.007106
0.955785, 0.962891, 0.007106
0.955785, 0.962891, 0.007106
0.972430, 0.980469, 0.008039
0.972430, 0.980469, 0.008039
0.972430, 0.980469, 0.008039
0.992474, 0.998047, 0.005573
0.992474, 0.998047, 0.005573
0.992474, 0.998047, 0.005573
1.014292, 1.015625, 0.001333
1.014292, 1.015625, 0.001333
1.014292, 1.015625, 0.001333
1.028987, 1.033203, 0.004216
1.028987, 1.033203, 0.004216
1.028987, 1.033203, 0.004216
1.033146, 1.033203, 0.000057
1.033146, 1.033203, 0.000057
1.033146, 1.033203, 0.000057
1.028845, 1.033203, 0.004358
1.028845, 1.033203, 0.004358
1.028845, 1.033203, 0.004358
1.017315, 1.019043, 0.001728
1.017315, 1.019043, 0.001728
1.017315, 1.019043, 0.001728
0.994072, 0.990723, -0.003350
0.994072, 0.990723, -0.003350
0.994072, 0.990723, -0.003350
0.945851, 0.948242, 0.002392
0.945851, 0.948242, 0.002392
0.945851, 0.948242, 0.002392
0.891370, 0.891602, 0.000232
0.891370, 0.891602, 0.000232
0.891370, 0.891602, 0.000232
0.850339, 0.849121, -0.001218
0.850339, 0.849121, -0.001218
0.850339, 0.849121, -0.001218
0.814785, 0.820801, 0.006016
0.814785, 0.820801, 0.006016
0.814785, 0.820801, 0.006016
0.783797, 0.778320, -0.005477
0.783797, 0.778320, -0.005477
0.783797, 0.778320, -0.005477
0.756466, 0.750000, -0.006466
0.756466, 0.750000, -0.006466
0.756466, 0.750000, -0.006466
0.732139, 0.735840, 0.003701
0.732139, 0.735840, 0.003701
0.732139, 0.735840, 0.003701
0.710324, 0.707520, -0.002805
0.710324, 0.707520, -0.002805
0.710324, 0.707520, -0.002805
0.690647, 0.685059, -0.005588
0.690647, 0.685059, -0.005588
0.690647, 0.685059, -0.005588
0.672817, 0.673828, 0.001011
0.672817, 0.673828, 0.001011
0.672817, 0.673828, 0.001011
0.656599, 0.651367, -0.005231
0.656599, 0.651367, -0.005231
0.656599, 0.651367, -0.005231
0.641790, 0.640137, -0.001654
0.641790, 0.640137, -0.001654
0.641790, 0.640137, -0.001654
0.628241, 0.628906, 0.000666
0.628241, 0.628906, 0.000666
0.628241, 0.628906, 0.000666
0.615806, 0.617676, 0.001870
0.615806, 0.617676, 0.001870
0.615806, 0.617676, 0.001870
0.604377, 0.606445, 0.002069
0.604377, 0.606445, 0.002069
0.604377, 0.606445, 0.002069
0.593841, 0.595215, 0.001374
0.593841, 0.595215, 0.001374
0.593841, 0.595215, 0.001374
0.584121, 0.583984, -0.000137
0.584121, 0.583984, -0.000137
0.584121, 0.583984, -0.000137
0.575142, 0.572754, -0.002388
0.575142, 0.572754, -0.002388
0.575142, 0.572754, -0.002388
0.566828, 0.561523, -0.005305
0.566828, 0.570801, 0.003973
0.566828, 0.569824, 0.002996
0.559127, 0.558594, -0.000533
0.559127, 0.557617, -0.001510
0.559127, 0.556641, -0.002486
0.551982, 0.555664, 0.003682
0.551982, 0.554688, 0.002705
0.551982, 0.553711, 0.001729
0.545354, 0.542480, -0.002873
0.545354, 0.541504, -0.003850
0.545354, 0.540527, -0.004827
0.539183, 0.539551, 0.000368
0.539183, 0.538574, -0.000608
0.539183, 0.537598, -0.001585
0.533445, 0.536621, 0.003176
0.533445, 0.535645, 0.002200
0.533445, 0.534668, 0.001223
0.528072, 0.523438, -0.004634
0.528072, 0.532715, 0.004643
0.528072, 0.531738, 0.003667
0.523165, 0.520508, -0.002657
0.523165, 0.519531, -0.003634
0.523165, 0.518555, -0.004610
0.518782, 0.517578, -0.001203
0.518782, 0.516602, -0.002180
0.518782, 0.515625, -0.003157
0.516349, 0.514648, -0.001700
0.516349, 0.513672, -0.002677
0.516349, 0.512695, -0.003653
0.517702, 0.521973, 0.004271
0.517702, 0.520996, 0.003295
0.517702, 0.520020, 0.002318
0.531669, 0.529297, -0.002372
0.531669, 0.528320, -0.003349
0.531669, 0.527344, -0.004325
0.574154, 0.577637, 0.003482
0.574154, 0.576660, 0.002506
0.574154, 0.575684, 0.001529
0.619296, 0.615723, -0.003573
0.619296, 0.614746, -0.004550
0.619296, 0.624023, 0.004728
0.653784, 0.653809, 0.000024
0.653784, 0.652832, -0.000952
0.653784, 0.651855, -0.001929
0.677486, 0.681641, 0.004154
0.677486, 0.680664, 0.003178
0.677486, 0.679688, 0.002201
0.693901, 0.688965, -0.004936
0.693901, 0.698242, 0.004341
0.693901, 0.697266, 0.003365
