current pwr_bound is 5e-0
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 20694
pwrLength=647
pwrErrBoundBytes_size=1294
pw_relBoundRatio=5.000000
hit: 20692
miss: 0
length of statenum:65536
nodecount=701
treeByteSize=6310
enCodeSize=8872
-------insight of tdps
dataLength=20694
exactDataNum=2
realPrecision=0.656250
medianValue=0.000000
reqLength=22
quantization_intervals=20000
pwrErrBoundBytes_size=1294
radExpo=6
-----------------------
timecost, 0.004940, seconds
done
input file size: 165552
output file size: 11782
sz compression ratio, 14.05 
timecost, 0.004227, second
done
Max absolute error = 24.890845038237678466
Max relative error = 0.16313529524334444143
Max pw_relative err = 4.9056963960274808656
../model_comparison/inputdata/original/dpot.dat, ../model_comparison/inputdata/original/dpot.dat.sz.out, 20694
size of double: 8
0.368178, 0.368164, -0.000014
-1.369298, -1.369141, 0.000158
-0.904911, -0.926758, -0.021847
-0.242216, -0.242188, 0.000028
-0.242667, -0.284180, -0.041512
0.073371, 0.158203, 0.084832
-0.222956, -0.125977, 0.096979
-0.413475, -0.410156, 0.003319
-0.344750, -0.452148, -0.107399
0.499311, 0.474609, -0.024702
0.781399, 0.674805, -0.106594
-0.131451, -0.093750, 0.037701
-0.706581, -0.620117, 0.086464
0.045989, 0.064453, 0.018464
0.781507, 0.749023, -0.032483
-0.024831, -0.019531, 0.005299
0.088649, 0.180664, 0.092015
1.804921, 1.833984, 0.029064
1.931853, 2.034180, 0.102327
1.589558, 1.507812, -0.081746
1.034103, 0.981445, -0.052658
-0.188667, -0.271484, -0.082817
-0.990327, -1.040039, -0.049712
-2.038825, -2.050781, -0.011956
-1.609788, -1.608398, 0.001389
-5.069481, -5.041016, 0.028465
-3.826901, -3.872070, -0.045169
-4.100094, -4.156250, -0.056156
-2.010608, -2.018555, -0.007946
-0.587339, -0.607422, -0.020083
-0.380273, -0.407227, -0.026954
-1.221357, -1.175781, 0.045575
-1.993141, -1.944336, 0.048805
-0.811884, -0.681641, 0.130244
0.379526, 0.581055, 0.201528
0.469251, 0.625000, 0.155749
-0.374178, -0.549805, -0.175626
-1.584565, -1.724609, -0.140044
-1.950584, -2.086914, -0.136330
-2.603841, -2.449219, 0.154623
-1.683900, -1.592773, 0.091127
-1.914095, -1.955078, -0.040983
-1.502508, -1.504883, -0.002375
-0.176337, -0.242188, -0.065850
2.364846, 2.239258, -0.125588
2.753652, 2.689453, -0.064199
1.975693, 1.920898, -0.054795
0.422375, 0.339844, -0.082531
-0.170587, -0.022461, 0.148126
-0.886920, -0.791016, 0.095904
-1.679096, -1.559570, 0.119526
-1.946687, -1.921875, 0.024812
-1.242541, -1.065430, 0.177111
0.316583, 0.197266, -0.119317
1.608236, 1.459961, -0.148275
3.109394, 3.128906, 0.019512
3.265360, 3.172852, -0.092508
1.615892, 1.591797, -0.024095
-0.041930, 0.010742, 0.052672
-0.842062, -0.757812, 0.084250
0.766513, 0.911133, 0.144620
2.743317, 2.580078, -0.163238
5.643727, 5.467773, -0.175953
6.219766, 6.324219, 0.104453
5.023449, 5.243164, 0.219716
5.471904, 5.130859, -0.341045
4.166876, 4.049805, -0.117072
4.807365, 4.906250, 0.098885
4.040765, 3.825195, -0.215570
4.644611, 4.681641, 0.037029
2.447164, 2.631836, 0.184672
-0.319764, -0.386719, -0.066955
-1.859921, -1.467773, 0.392148
-2.129135, -2.548828, -0.419694
-4.741988, -4.598633, 0.143355
-5.853150, -5.679688, 0.173462
-7.844394, -7.729492, 0.114902
-6.581496, -6.873047, -0.291551
-4.860668, -5.047852, -0.187183
-6.276986, -6.128906, 0.148080
-4.962145, -5.272461, -0.310316
-5.816181, -5.384766, 0.431415
-4.574234, -4.528320, 0.045913
-3.499850, -3.671875, -0.172025
-0.497837, -0.877930, -0.380093
1.645271, 1.916016, 0.270745
-0.143893, -0.133789, 0.010103
-3.120205, -3.152344, -0.032139
-2.881395, -3.264648, -0.383253
0.413964, 0.498047, 0.084082
3.149193, 3.291992, 0.142800
2.654673, 2.210938, -0.443735
0.099996, 0.161133, 0.061136
-2.085054, -1.888672, 0.196382
-3.579903, -3.938477, -0.358573
-3.593231, -4.050781, -0.457550
-2.450383, -1.288086, 1.162297
-1.746887, -1.400391, 0.346497
-0.291284, -1.512695, -1.221411
3.019338, 4.125000, 1.105662
5.100474, 4.012695, -1.087779
4.105571, 3.900391, -0.205181
3.154963, 3.788086, 0.633123
4.408344, 3.675781, -0.732563
5.951606, 6.438477, 0.486871
5.707885, 6.326172, 0.618286
3.863303, 3.338867, -0.524436
2.090294, 3.226562, 1.136268
1.570263, 0.239258, -1.331005
3.503740, 3.001953, -0.501787
5.681613, 5.764648, 0.083036
7.603301, 8.527344, 0.924042
8.021434, 8.415039, 0.393605
7.482339, 8.302734, 0.820395
5.788301, 5.315430, -0.472872
4.328478, 5.203125, 0.874647
5.455935, 5.090820, -0.365115
8.933719, 7.853516, -1.080203
11.673635, 10.616211, -1.057424
10.996685, 10.503906, -0.492779
8.287344, 7.516602, -0.770743
5.978226, 7.404297, 1.426071
5.074019, 4.416992, -0.657027
6.104812, 7.179688, 1.074875
8.177164, 7.067383, -1.109781
