current pwr_bound is 5e-3
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 282616
pwrLength=8832
pwrErrBoundBytes_size=17664
pw_relBoundRatio=0.005000
hit: 281180
miss: 1434
length of statenum:65536
nodecount=20173
treeByteSize=181558
enCodeSize=357332
-------insight of tdps
dataLength=282616
exactDataNum=1436
realPrecision=0.020508
medianValue=0.000000
reqLength=28
quantization_intervals=20000
pwrErrBoundBytes_size=17664
radExpo=28
-----------------------
timecost, 0.027949, seconds
done
input file size: 2260928
output file size: 453416
sz compression ratio, 4.99 
timecost, 0.017228, second
done
Max absolute error = 40400
Max relative error = 0.00012624053304477497023
Max pw_relative err = 0.004988144553755273318
../model_comparison/inputdata/original/eddy.dat, ../model_comparison/inputdata/original/eddy.dat.sz.out, 282616
size of double: 8
3023.070000, 3023.069946, -0.000054
2231.360000, 2231.359985, -0.000015
12833.000000, 12835.650024, 2.650024
11872.500000, 11867.940063, -4.559937
222060.000000, 222056.230103, -3.769897
1720380.000000, 1720380.000000, 0.000000
3733730.000000, 3733730.000000, 0.000000
9395860.000000, 9395860.000000, 0.000000
61507900.000000, 61507900.000000, 0.000000
30586400.000000, 30586400.000000, 0.000000
9856330.000000, 9856330.000000, 0.000000
3057990.000000, 3057990.000000, 0.000000
2222080.000000, 2222080.000000, 0.000000
1673770.000000, 1673770.000000, 0.000000
3221100.000000, 3221100.000000, 0.000000
2547400.000000, 2547400.000000, 0.000000
1819950.000000, 1819954.000000, 4.000000
1329300.000000, 1329300.000000, 0.000000
1779460.000000, 1779460.000000, 0.000000
2028610.000000, 2028606.000000, -4.000000
2029530.000000, 2029530.000000, 0.000000
8483340.000000, 8483340.000000, 0.000000
2225850.000000, 2225850.000000, 0.000000
7211040.000000, 7211040.000000, 0.000000
2259440.000000, 2259440.000000, 0.000000
6120060.000000, 6120060.000000, 0.000000
7975770.000000, 7975770.000000, 0.000000
2010970.000000, 2010970.000000, 0.000000
2671500.000000, 2671500.000000, 0.000000
825720.000000, 825720.000000, 0.000000
1884740.000000, 1884740.000000, 0.000000
2899240.000000, 2899232.000000, -8.000000
3983720.000000, 3983356.000000, -364.000000
44187800.000000, 44191960.000000, 4160.000000
1066890.000000, 1068468.000000, 1578.000000
5213730.000000, 5216400.000000, 2670.000000
6278870.000000, 6283116.000000, 4246.000000
36907500.000000, 36908616.000000, 1116.000000
7564540.000000, 7563556.000000, -984.000000
1442980.000000, 1440768.000000, -2212.000000
4189150.000000, 4187356.000000, -1794.000000
2014020.000000, 2016184.000000, 2164.000000
25165700.000000, 25164948.000000, -752.000000
1769690.000000, 1773424.000000, 3734.000000
5639980.000000, 5642828.000000, 2848.000000
1119910.000000, 1121576.000000, 1666.000000
2625110.000000, 2623492.000000, -1618.000000
2280880.000000, 2280160.000000, -720.000000
1061220.000000, 1057724.000000, -3496.000000
5005070.000000, 5005464.000000, 394.000000
4162740.000000, 4166004.000000, 3264.000000
2699590.000000, 2699856.000000, 266.000000
23530200.000000, 23533356.000000, 3156.000000
59347800.000000, 59346440.000000, -1360.000000
899858.000000, 899856.000000, -2.000000
10835900.000000, 10831896.000000, -4004.000000
27620600.000000, 27622688.000000, 2088.000000
4588290.000000, 4583976.000000, -4314.000000
1472110.000000, 1468720.000000, -3390.000000
51570800.000000, 51569720.000000, -1080.000000
8823530.000000, 8823424.000000, -106.000000
1893890.000000, 1894088.000000, 198.000000
1111860.000000, 1109776.000000, -2084.000000
5898590.000000, 5896024.000000, -2566.000000
3484710.000000, 3487136.000000, 2426.000000
1045410.000000, 1044968.000000, -442.000000
3502860.000000, 3501616.000000, -1244.000000
1202920.000000, 1205880.000000, 2960.000000
4757690.000000, 4760768.000000, 3078.000000
2121340.000000, 2118920.000000, -2420.000000
2290430.000000, 2292560.000000, 2130.000000
1251380.000000, 1248152.000000, -3228.000000
1006640.000000, 1009120.000000, 2480.000000
4206450.000000, 4204584.000000, -1866.000000
5292390.000000, 5290096.000000, -2294.000000
25609400.000000, 25611448.000000, 2048.000000
3681030.000000, 3680512.000000, -518.000000
3077060.000000, 3075400.000000, -1660.000000
2783800.000000, 2783120.000000, -680.000000
3416660.000000, 3416024.000000, -636.000000
5413340.000000, 5413408.000000, 68.000000
3806580.000000, 3809896.000000, 3316.000000
3562230.000000, 3564208.000000, 1978.000000
1560060.000000, 1561336.000000, 1276.000000
2944070.000000, 2946368.000000, 2298.000000
1286840.000000, 1289608.000000, 2768.000000
5395290.000000, 5396944.000000, 1654.000000
1793980.000000, 1796632.000000, 2652.000000
2798900.000000, 2795616.000000, -3284.000000
3834030.000000, 3834536.000000, 506.000000
13538800.000000, 13539568.000000, 768.000000
6178890.000000, 6178616.000000, -274.000000
1498060.000000, 1500032.000000, 1972.000000
5885880.000000, 5886920.000000, 1040.000000
965883.000000, 968720.000000, 2837.000000
685858.000000, 683096.000000, -2762.000000
3219960.000000, 3219104.000000, -856.000000
3170100.000000, 3170024.000000, -76.000000
854517.000000, 854064.000000, -453.000000
2120120.000000, 2120056.000000, -64.000000
727430.000000, 727744.000000, 314.000000
1648650.000000, 1647368.000000, -1282.000000
1073540.000000, 1074512.000000, 972.000000
2530570.000000, 2529176.000000, -1394.000000
3693490.000000, 3693792.000000, 302.000000
10994200.000000, 10994472.000000, 272.000000
1073530.000000, 1072496.000000, -1034.000000
2777050.000000, 2777784.000000, 734.000000
291205.000000, 290048.000000, -1157.000000
1090620.000000, 1091400.000000, 780.000000
2454330.000000, 2453136.000000, -1194.000000
992869.000000, 993240.000000, 371.000000
2983470.000000, 2982944.000000, -526.000000
1529310.000000, 1528680.000000, -630.000000
3779470.000000, 3780272.000000, 802.000000
992095.000000, 991224.000000, -871.000000
14142000.000000, 14140736.000000, -1264.000000
5600090.000000, 5601416.000000, 1326.000000
1174770.000000, 1173456.000000, -1314.000000
35839100.000000, 35838976.000000, -124.000000
4081330.000000, 4081328.000000, -2.000000
2170700.000000, 2170696.000000, -4.000000
18286000.000000, 18285280.000000, -720.000000
5008070.000000, 5008064.000000, -6.000000
762543.000000, 761760.000000, -783.000000
1073520.000000, 1074560.000000, 1040.000000
2336960.000000, 2336352.000000, -608.000000
1303530.000000, 1303104.000000, -426.000000
684911.000000, 686624.000000, 1713.000000
5980660.000000, 5978112.000000, -2548.000000
140156000.000000, 140155904.000000, -96.000000
1787340.000000, 1787336.000000, -4.000000
1077360.000000, 1077360.000000, 0.000000
1609700.000000, 1612056.000000, 2356.000000
3426270.000000, 3425216.000000, -1054.000000
1034210.000000, 1036904.000000, 2694.000000
1782470.000000, 1779984.000000, -2486.000000
1230400.000000, 1227704.000000, -2696.000000
7586300.000000, 7585888.000000, -412.000000
1388440.000000, 1390344.000000, 1904.000000
3559140.000000, 3558320.000000, -820.000000
59946900.000000, 59945560.000000, -1340.000000
6014930.000000, 6014912.000000, -18.000000
2986760.000000, 2986280.000000, -480.000000
571427.000000, 571536.000000, 109.000000
1724880.000000, 1727480.000000, 2600.000000
1377660.000000, 1379680.000000, 2020.000000
108209000.000000, 108208640.000000, -360.000000
938022.000000, 938020.000000, -2.000000
12925300.000000, 12925248.000000, -52.000000
3489930.000000, 3488348.000000, -1582.000000
4735320.000000, 4735352.000000, 32.000000
767600.000000, 767124.000000, -476.000000
2262190.000000, 2261936.000000, -254.000000
1329770.000000, 1329356.000000, -414.000000
1638050.000000, 1635816.000000, -2234.000000
1740930.000000, 1739524.000000, -1406.000000
701594.000000, 699936.000000, -1658.000000
921698.000000, 921916.000000, 218.000000
4859250.000000, 4861016.000000, 1766.000000
866937.000000, 866420.000000, -517.000000
1689600.000000, 1689488.000000, -112.000000
2093610.000000, 2094764.000000, 1154.000000
25102000.000000, 25099976.000000, -2024.000000
600813.000000, 600812.000000, -1.000000
705818.000000, 707856.000000, 2038.000000
523036.000000, 523316.000000, 280.000000
1961820.000000, 1962072.000000, 252.000000
445573.000000, 445820.000000, 247.000000
67582400.000000, 67581952.000000, -448.000000
813786.000000, 813784.000000, -2.000000
2473170.000000, 2473168.000000, -2.000000
3080080.000000, 3079368.000000, -712.000000
2302010.000000, 2301632.000000, -378.000000
1480960.000000, 1480376.000000, -584.000000
43393800.000000, 43395760.000000, 1960.000000
40914900.000000, 40914688.000000, -212.000000
2081890.000000, 2081360.000000, -530.000000
2617840.000000, 2616224.000000, -1616.000000
1870340.000000, 1871600.000000, 1260.000000
1400600.000000, 1401152.000000, 552.000000
2681800.000000, 2680208.000000, -1592.000000
2399810.000000, 2401248.000000, 1438.000000
441923.000000, 442416.000000, 493.000000
984140.000000, 985984.000000, 1844.000000
5034990.000000, 5032912.000000, -2078.000000
1637420.000000, 1637920.000000, 500.000000
1157020.000000, 1158768.000000, 1748.000000
2212290.000000, 2211520.000000, -770.000000
731211.000000, 731408.000000, 197.000000
1734650.000000, 1736288.000000, 1638.000000
1064700.000000, 1065648.000000, 948.000000
1444070.000000, 1445632.000000, 1562.000000
2462500.000000, 2461520.000000, -980.000000
13602000.000000, 13601184.000000, -816.000000
5348610.000000, 5350384.000000, 1774.000000
3565810.000000, 3564608.000000, -1202.000000
2682360.000000, 2682000.000000, -360.000000
9894950.000000, 9895648.000000, 698.000000
3917770.000000, 3916592.000000, -1178.000000
1517920.000000, 1517952.000000, 32.000000
1566630.000000, 1566160.000000, -470.000000
15878200.000000, 15876128.000000, -2072.000000
838014.000000, 837744.000000, -270.000000
476529.000000, 475840.000000, -689.000000
670845.000000, 671504.000000, 659.000000
1722520.000000, 1724256.000000, 1736.000000
1457210.000000, 1459120.000000, 1910.000000
2115440.000000, 2115584.000000, 144.000000
802814.000000, 804432.000000, 1618.000000
1564160.000000, 1562272.000000, -1888.000000
1024790.000000, 1025264.000000, 474.000000
4674060.000000, 4672320.000000, -1740.000000
712451.000000, 711568.000000, -883.000000
757769.000000, 759776.000000, 2007.000000
2415100.000000, 2416176.000000, 1076.000000
3232230.000000, 3233920.000000, 1690.000000
2314060.000000, 2314448.000000, 388.000000
3501580.000000, 3500832.000000, -748.000000
18343700.000000, 18345328.000000, 1628.000000
2685170.000000, 2684864.000000, -306.000000
10773400.000000, 10774032.000000, 632.000000
956824.000000, 956512.000000, -312.000000
3306820.000000, 3308720.000000, 1900.000000
10977200.000000, 10978048.000000, 848.000000
998824.000000, 997712.000000, -1112.000000
6853130.000000, 6853664.000000, 534.000000
797254.000000, 797680.000000, 426.000000
11448100.000000, 11446976.000000, -1124.000000
672294.000000, 673040.000000, 746.000000
2003940.000000, 2005472.000000, 1532.000000
1860810.000000, 1861808.000000, 998.000000
2622370.000000, 2622848.000000, 478.000000
2914030.000000, 2915664.000000, 1634.000000
1112060.000000, 1113376.000000, 1316.000000
5615640.000000, 5616240.000000, 600.000000
136623000.000000, 136622592.000000, -408.000000
6464960.000000, 6464960.000000, 0.000000
594290.000000, 594290.000000, 0.000000
1754450.000000, 1754916.000000, 466.000000
4436160.000000, 4435286.000000, -874.000000
9593580.000000, 9591688.000000, -1892.000000
5512190.000000, 5510586.000000, -1604.000000
404931.000000, 405740.000000, 809.000000
564427.000000, 562462.000000, -1965.000000
1582350.000000, 1584208.000000, 1858.000000
1661950.000000, 1661570.000000, -380.000000
1088390.000000, 1088180.000000, -210.000000
4540300.000000, 4538342.000000, -1958.000000
2164960.000000, 2163480.000000, -1480.000000
597981.000000, 598090.000000, 109.000000
3196200.000000, 3195132.000000, -1068.000000
666717.000000, 665518.000000, -1199.000000
858430.000000, 857952.000000, -478.000000
4355430.000000, 4355730.000000, 300.000000
2734970.000000, 2734788.000000, -182.000000
23207300.000000, 23209206.000000, 1906.000000
15192700.000000, 15192360.000000, -340.000000
18396700.000000, 18395994.000000, -706.000000
1883500.000000, 1881996.000000, -1504.000000
3849490.000000, 3850686.000000, 1196.000000
2172240.000000, 2174448.000000, 2208.000000
728396.000000, 728610.000000, 214.000000
9170300.000000, 9171540.000000, 1240.000000
600535.000000, 601734.000000, 1199.000000
1861180.000000, 1860792.000000, -388.000000
840600.000000, 838890.000000, -1710.000000
956631.000000, 955164.000000, -1467.000000
8363090.000000, 8361294.000000, -1796.000000
4648050.000000, 4648320.000000, 270.000000
5999430.000000, 5999538.000000, 108.000000
1691730.000000, 1692132.000000, 402.000000
1544600.000000, 1545750.000000, 1150.000000
9470950.000000, 9472584.000000, 1634.000000
486030.000000, 488058.000000, 2028.000000
4729800.000000, 4728492.000000, -1308.000000
4165350.000000, 4167390.000000, 2040.000000
6509410.000000, 6509328.000000, -82.000000
13911600.000000, 13910850.000000, -750.000000
2805440.000000, 2806644.000000, 1204.000000
3354220.000000, 3356070.000000, 1850.000000
2262760.000000, 2265048.000000, 2288.000000
6154350.000000, 6155274.000000, 924.000000
4485930.000000, 4483644.000000, -2286.000000
564562.000000, 563310.000000, -1252.000000
2581110.000000, 2582688.000000, 1578.000000
2819330.000000, 2818770.000000, -560.000000
4034470.000000, 4036356.000000, 1886.000000
6724610.000000, 6723382.000000, -1228.000000
2022930.000000, 2022248.000000, -682.000000
9091490.000000, 9091994.000000, 504.000000
938686.000000, 939980.000000, 1294.000000
5816410.000000, 5818366.000000, 1956.000000
6943040.000000, 6943792.000000, 752.000000
588405.000000, 588898.000000, 493.000000
1687050.000000, 1688724.000000, 1674.000000
4149550.000000, 4150470.000000, 920.000000
1427090.000000, 1425656.000000, -1434.000000
1044380.000000, 1045802.000000, 1422.000000
1334750.000000, 1336668.000000, 1918.000000
14193300.000000, 14192014.000000, -1286.000000
5319270.000000, 5318080.000000, -1190.000000
671456.000000, 673266.000000, 1810.000000
1759220.000000, 1757732.000000, -1488.000000
2011950.000000, 2012758.000000, 808.000000
2776970.000000, 2774664.000000, -2306.000000
1637690.000000, 1637050.000000, -640.000000
860227.000000, 857836.000000, -2391.000000
1292720.000000, 1292062.000000, -658.000000
41671600.000000, 41672528.000000, 928.000000
1174090.000000, 1174088.000000, -2.000000
544746.000000, 545088.000000, 342.000000
1980550.000000, 1979448.000000, -1102.000000
1302840.000000, 1304368.000000, 1528.000000
1836420.000000, 1837608.000000, 1188.000000
70650200.000000, 70649856.000000, -344.000000
1501680.000000, 1501680.000000, 0.000000
11224800.000000, 11224768.000000, -32.000000
521941.000000, 524176.000000, 2235.000000
6519330.000000, 6519904.000000, 574.000000
2573700.000000, 2573872.000000, 172.000000
2874910.000000, 2874880.000000, -30.000000
55698100.000000, 55698048.000000, -52.000000
386871.000000, 386871.000000, 0.000000
817438.000000, 817438.000000, 0.000000
2927150.000000, 2926085.000000, -1065.000000
613830.000000, 614892.000000, 1062.000000
2495320.000000, 2496979.000000, 1659.000000
1353170.000000, 1353146.000000, -24.000000
5218730.000000, 5220513.000000, 1783.000000
10402300.000000, 10401160.000000, -1140.000000
2685490.000000, 2687087.000000, 1597.000000
989199.000000, 990294.000000, 1095.000000
14080400.000000, 14081341.000000, 941.000000
11704700.000000, 11704868.000000, 168.000000
804450.000000, 803595.000000, -855.000000
3784900.000000, 3783922.000000, -978.000000
702657.000000, 700889.000000, -1768.000000
1030790.000000, 1031616.000000, 826.000000
1706280.000000, 1707943.000000, 1663.000000
1950260.000000, 1950350.000000, 90.000000
849438.000000, 848757.000000, -681.000000
2921890.000000, 2922844.000000, 954.000000
