current pwr_bound is 1e-4
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 78144
pwrLength=2442
pwrErrBoundBytes_size=4884
pw_relBoundRatio=0.000100
hit: 78142
miss: 0
length of statenum:65536
nodecount=51
treeByteSize=358
enCodeSize=22530
-------insight of tdps
dataLength=78144
exactDataNum=2
realPrecision=0.000005
medianValue=0.000000
reqLength=25
quantization_intervals=20000
pwrErrBoundBytes_size=4884
radExpo=-5
-----------------------
timecost, 0.006704, seconds
done
input file size: 625152
output file size: 9683
sz compression ratio, 64.56 
timecost, 0.005044, second
done
Max absolute error = 4.5299530029296875E-06
Max relative error = 0.033365345040471942883
Max pw_relative err = 9.6959057762082881795E-05
../model_comparison/inputdata/original/sedov_p.dat, ../model_comparison/inputdata/original/sedov_p.dat.sz.out, 78144
size of double: 8
0.046810, 0.046810, -0.000000
0.046774, 0.046772, -0.000002
0.046748, 0.046752, 0.000004
0.046731, 0.046732, 0.000001
0.046731, 0.046730, -0.000000
0.046748, 0.046746, -0.000002
0.046774, 0.046772, -0.000002
0.046810, 0.046806, -0.000004
0.046774, 0.046777, 0.000003
0.046747, 0.046748, 0.000001
0.046736, 0.046737, 0.000000
0.046738, 0.046735, -0.000003
0.046738, 0.046742, 0.000004
0.046736, 0.046740, 0.000004
0.046747, 0.046747, 0.000000
0.046774, 0.046772, -0.000001
0.046748, 0.046743, -0.000004
0.046736, 0.046732, -0.000004
0.046739, 0.046740, 0.000000
0.046739, 0.046738, -0.000001
0.046739, 0.046736, -0.000003
0.046739, 0.046743, 0.000004
0.046736, 0.046732, -0.000004
0.046748, 0.046748, 0.000000
0.046731, 0.046728, -0.000002
0.046738, 0.046735, -0.000002
0.046739, 0.046742, 0.000003
0.046739, 0.046741, 0.000001
0.046739, 0.046739, -0.000001
0.046739, 0.046737, -0.000002
0.046738, 0.046735, -0.000003
0.046731, 0.046733, 0.000002
0.046731, 0.046731, 0.000000
0.046738, 0.046738, 0.000001
0.046739, 0.046736, -0.000003
0.046739, 0.046743, 0.000004
0.046739, 0.046741, 0.000002
0.046739, 0.046740, 0.000001
0.046738, 0.046738, 0.000000
0.046731, 0.046727, -0.000004
0.046748, 0.046752, 0.000004
0.046736, 0.046732, -0.000004
0.046739, 0.046739, -0.000000
0.046739, 0.046737, -0.000002
0.046739, 0.046735, -0.000004
0.046739, 0.046742, 0.000003
0.046736, 0.046741, 0.000004
0.046748, 0.046748, -0.000000
0.046774, 0.046773, -0.000001
0.046747, 0.046744, -0.000003
0.046736, 0.046733, -0.000003
0.046738, 0.046740, 0.000002
0.046738, 0.046738, 0.000001
0.046736, 0.046736, -0.000000
0.046747, 0.046743, -0.000004
0.046774, 0.046778, 0.000004
0.046810, 0.046812, 0.000002
0.046774, 0.046774, 0.000000
0.046748, 0.046745, -0.000003
0.046731, 0.046734, 0.000003
0.046731, 0.046732, 0.000001
0.046748, 0.046748, 0.000000
0.046774, 0.046773, -0.000000
0.046810, 0.046808, -0.000003
0.046828, 0.046824, -0.000004
0.046809, 0.046813, 0.000004
0.046792, 0.046793, 0.000001
0.046778, 0.046782, 0.000004
0.046765, 0.046762, -0.000003
0.046746, 0.046742, -0.000004
0.046729, 0.046731, 0.000002
0.046724, 0.046720, -0.000004
0.046809, 0.046809, -0.000000
0.046795, 0.046798, 0.000002
0.046772, 0.046769, -0.000003
0.046753, 0.046749, -0.000004
0.046744, 0.046747, 0.000003
0.046737, 0.046736, -0.000001
0.046735, 0.046734, -0.000001
0.046734, 0.046732, -0.000002
0.046792, 0.046793, 0.000002
0.046772, 0.046773, 0.000001
0.046755, 0.046753, -0.000002
0.046746, 0.046742, -0.000003
0.046736, 0.046731, -0.000004
0.046733, 0.046730, -0.000003
0.046737, 0.046737, -0.000000
0.046737, 0.046735, -0.000003
0.046778, 0.046778, 0.000001
0.046753, 0.046749, -0.000003
0.046746, 0.046747, 0.000002
0.046742, 0.046745, 0.000003
0.046739, 0.046734, -0.000004
0.046738, 0.046741, 0.000004
0.046738, 0.046740, 0.000001
0.046738, 0.046738, -0.000000
0.046765, 0.046763, -0.000002
0.046744, 0.046743, -0.000001
0.046736, 0.046732, -0.000004
0.046739, 0.046739, 0.000000
0.046740, 0.046737, -0.000003
0.046739, 0.046735, -0.000004
0.046739, 0.046742, 0.000004
0.046739, 0.046741, 0.000002
0.046746, 0.046748, 0.000002
0.046737, 0.046737, 0.000000
0.046733, 0.046735, 0.000002
0.046738, 0.046742, 0.000004
0.046739, 0.046740, 0.000001
0.046739, 0.046738, -0.000001
0.046739, 0.046736, -0.000003
0.046739, 0.046743, 0.000004
0.046729, 0.046732, 0.000003
0.046735, 0.046740, 0.000004
0.046737, 0.046738, 0.000001
0.046738, 0.046736, -0.000002
0.046739, 0.046743, 0.000004
0.046739, 0.046741, 0.000002
0.046739, 0.046739, -0.000000
0.046739, 0.046737, -0.000002
0.046724, 0.046726, 0.000002
0.046734, 0.046733, -0.000000
0.046737, 0.046741, 0.000003
0.046738, 0.046739, 0.000001
0.046739, 0.046737, -0.000002
0.046739, 0.046735, -0.000004
0.046739, 0.046742, 0.000003
0.046739, 0.046740, 0.000001
0.046838, 0.046838, -0.000001
0.046827, 0.046827, -0.000000
0.046817, 0.046816, -0.000001
0.046808, 0.046805, -0.000003
0.046800, 0.046803, 0.000003
0.046794, 0.046792, -0.000002
0.046788, 0.046790, 0.000002
0.046783, 0.046779, -0.000004
0.046827, 0.046823, -0.000004
0.046818, 0.046821, 0.000003
0.046810, 0.046810, -0.000000
0.046801, 0.046799, -0.000002
0.046791, 0.046788, -0.000004
0.046782, 0.046786, 0.000004
0.046774, 0.046775, 0.000001
0.046766, 0.046764, -0.000002
0.046817, 0.046816, -0.000001
0.046810, 0.046814, 0.000005
0.046804, 0.046803, -0.000000
0.046795, 0.046793, -0.000003
0.046783, 0.046782, -0.000002
0.046771, 0.046771, -0.000000
0.046760, 0.046760, -0.000000
0.046753, 0.046749, -0.000004
0.046808, 0.046810, 0.000002
0.046801, 0.046799, -0.000002
0.046795, 0.046797, 0.000002
0.046787, 0.046786, -0.000001
0.046774, 0.046775, 0.000001
0.046760, 0.046764, 0.000004
0.046751, 0.046753, 0.000002
0.046747, 0.046742, -0.000004
0.046800, 0.046804, 0.000003
0.046791, 0.046793, 0.000002
0.046783, 0.046782, -0.000001
0.046774, 0.046771, -0.000003
0.046763, 0.046760, -0.000003
0.046754, 0.046758, 0.000004
0.046748, 0.046747, -0.000000
0.046745, 0.046745, 0.000001
0.046794, 0.046798, 0.000004
0.046782, 0.046778, -0.000004
0.046771, 0.046767, -0.000004
0.046760, 0.046765, 0.000005
0.046754, 0.046754, -0.000000
0.046750, 0.046752, 0.000002
0.046747, 0.046750, 0.000003
0.046743, 0.046739, -0.000004
0.046788, 0.046792, 0.000003
0.046774, 0.046772, -0.000002
0.046760, 0.046761, 0.000001
0.046751, 0.046750, -0.000001
0.046748, 0.046748, -0.000000
0.046747, 0.046746, -0.000001
0.046745, 0.046744, -0.000001
0.046742, 0.046742, 0.000000
0.046783, 0.046785, 0.000003
0.046766, 0.046765, -0.000001
0.046753, 0.046754, 0.000002
0.046747, 0.046743, -0.000003
0.046745, 0.046741, -0.000003
0.046743, 0.046740, -0.000004
0.046742, 0.046738, -0.000004
0.046742, 0.046745, 0.000003
0.046845, 0.046843, -0.000002
0.046838, 0.046841, 0.000002
0.046832, 0.046830, -0.000003
0.046827, 0.046828, 0.000001
0.046822, 0.046826, 0.000004
0.046817, 0.046815, -0.000002
0.046813, 0.046813, 0.000000
0.046809, 0.046811, 0.000003
0.046838, 0.046836, -0.000002
0.046832, 0.046834, 0.000002
0.046827, 0.046824, -0.000004
0.046822, 0.046822, -0.000000
0.046817, 0.046820, 0.000002
0.046813, 0.046809, -0.000004
0.046808, 0.046807, -0.000001
0.046804, 0.046805, 0.000001
0.046832, 0.046830, -0.000002
0.046827, 0.046828, 0.000001
0.046823, 0.046826, 0.000004
0.046818, 0.046815, -0.000003
0.046814, 0.046813, -0.000000
0.046809, 0.046812, 0.000002
0.046805, 0.046801, -0.000004
0.046800, 0.046799, -0.000002
0.046827, 0.046824, -0.000003
0.046822, 0.046822, 0.000000
0.046818, 0.046820, 0.000002
0.046814, 0.046818, 0.000004
0.046810, 0.046807, -0.000003
0.046806, 0.046805, -0.000001
0.046802, 0.046803, 0.000001
0.046797, 0.046802, 0.000005
0.046822, 0.046818, -0.000004
0.046817, 0.046816, -0.000002
0.046814, 0.046814, 0.000000
0.046810, 0.046812, 0.000002
0.046807, 0.046810, 0.000003
0.046803, 0.046799, -0.000004
0.046799, 0.046797, -0.000002
0.046794, 0.046795, 0.000001
0.046817, 0.046821, 0.000004
0.046813, 0.046810, -0.000003
0.046809, 0.046808, -0.000002
0.046806, 0.046806, -0.000000
0.046803, 0.046804, 0.000001
0.046800, 0.046802, 0.000002
0.046796, 0.046800, 0.000004
0.046791, 0.046789, -0.000002
0.046813, 0.046814, 0.000002
0.046808, 0.046813, 0.000004
0.046805, 0.046802, -0.000003
0.046802, 0.046800, -0.000002
0.046799, 0.046798, -0.000001
0.046796, 0.046796, -0.000000
0.046793, 0.046794, 0.000001
0.046787, 0.046783, -0.000004
0.046808, 0.046808, -0.000000
0.046804, 0.046806, 0.000002
0.046800, 0.046804, 0.000004
0.046797, 0.046793, -0.000004
0.046794, 0.046792, -0.000003
0.046791, 0.046790, -0.000001
0.046787, 0.046788, 0.000000
0.046782, 0.046786, 0.000003
0.046848, 0.046847, -0.000001
0.046845, 0.046845, 0.000001
0.046841, 0.046844, 0.000002
0.046838, 0.046842, 0.000003
0.046835, 0.046840, 0.000004
0.046832, 0.046829, -0.000004
0.046829, 0.046827, -0.000003
0.046827, 0.046825, -0.000002
0.046845, 0.046841, -0.000004
0.046841, 0.046839, -0.000002
0.046838, 0.046837, -0.000001
0.046835, 0.046835, 0.000000
0.046832, 0.046834, 0.000001
0.046829, 0.046832, 0.000002
0.046827, 0.046830, 0.000003
0.046824, 0.046828, 0.000004
