current pwr_bound is 5e-4
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 55692
pwrLength=1741
pwrErrBoundBytes_size=3482
pw_relBoundRatio=0.000500
hit: 55690
miss: 0
length of statenum:65536
nodecount=945
treeByteSize=8506
enCodeSize=28237
-------insight of tdps
dataLength=55692
exactDataNum=2
realPrecision=0.000488
medianValue=0.000000
reqLength=24
quantization_intervals=20000
pwrErrBoundBytes_size=3482
radExpo=0
-----------------------
timecost, 0.006685, seconds
done
input file size: 445536
output file size: 27253
sz compression ratio, 16.35 
timecost, 0.005650, second
done
Max absolute error = 0.00051498740785538288378
Max relative error = 0.00039238869059464735658
Max pw_relative err = 0.00049804936721563320117
../model_comparison/inputdata/original/bump.dat, ../model_comparison/inputdata/original/bump.dat.sz.out, 55692
size of double: 8
0.878264, 0.878174, -0.000090
0.877647, 0.877563, -0.000084
0.878264, 0.878662, 0.000398
0.877647, 0.878052, 0.000404
0.877647, 0.877441, -0.000206
0.877647, 0.877686, 0.000038
0.876108, 0.876221, 0.000113
0.876108, 0.876465, 0.000357
0.876108, 0.875854, -0.000253
0.878142, 0.877808, -0.000335
0.878142, 0.878052, -0.000091
0.878142, 0.878296, 0.000153
0.878108, 0.877686, -0.000423
0.878108, 0.877930, -0.000178
0.878108, 0.878174, 0.000066
0.878462, 0.878418, -0.000044
0.878462, 0.878662, 0.000200
0.878462, 0.878052, -0.000411
0.878907, 0.879150, 0.000243
0.878907, 0.878540, -0.000367
0.878907, 0.878784, -0.000123
0.879378, 0.879028, -0.000350
0.879378, 0.879272, -0.000106
0.879378, 0.879517, 0.000138
0.879893, 0.879761, -0.000133
0.879893, 0.880005, 0.000111
0.879893, 0.880249, 0.000356
0.880489, 0.880493, 0.000004
0.880489, 0.880737, 0.000248
0.880489, 0.880127, -0.000362
0.881238, 0.881226, -0.000012
0.881238, 0.881470, 0.000232
0.881238, 0.880859, -0.000378
0.882170, 0.881958, -0.000212
0.882170, 0.882202, 0.000032
0.882170, 0.882446, 0.000276
0.883345, 0.883545, 0.000200
0.883345, 0.882935, -0.000410
0.883345, 0.883179, -0.000166
0.884758, 0.885132, 0.000374
0.884758, 0.884521, -0.000236
0.884758, 0.884766, 0.000008
0.886264, 0.885864, -0.000399
0.886264, 0.886108, -0.000155
0.886264, 0.886353, 0.000089
0.887784, 0.887451, -0.000333
0.887784, 0.887695, -0.000089
0.887784, 0.887939, 0.000155
0.889306, 0.889038, -0.000268
0.889306, 0.889282, -0.000024
0.889306, 0.889526, 0.000220
0.890908, 0.890625, -0.000283
0.890908, 0.890869, -0.000039
0.890908, 0.891113, 0.000205
0.893410, 0.893066, -0.000343
0.893410, 0.893311, -0.000099
0.893410, 0.893555, 0.000145
0.897265, 0.897217, -0.000049
0.897265, 0.897461, 0.000196
0.897265, 0.896851, -0.000415
0.902269, 0.902222, -0.000047
0.902269, 0.902466, 0.000197
0.902269, 0.901855, -0.000414
0.907751, 0.908081, 0.000330
0.907751, 0.908112, 0.000360
0.907751, 0.908142, 0.000391
0.913092, 0.913483, 0.000391
0.913092, 0.913513, 0.000421
0.913092, 0.912659, -0.000433
0.919233, 0.918884, -0.000348
0.919233, 0.918915, -0.000318
0.919233, 0.918945, -0.000287
0.928425, 0.928711, 0.000286
0.928425, 0.928741, 0.000317
0.928425, 0.928772, 0.000347
0.941154, 0.941193, 0.000039
0.941154, 0.941223, 0.000069
0.941154, 0.941254, 0.000100
0.955785, 0.955444, -0.000341
0.955785, 0.955475, -0.000310
0.955785, 0.955505, -0.000280
0.972430, 0.972351, -0.000079
0.972430, 0.972382, -0.000048
0.972430, 0.972412, -0.000018
0.992474, 0.992798, 0.000324
0.992474, 0.992828, 0.000355
0.992474, 0.992859, 0.000385
1.014292, 1.014130, -0.000163
1.014292, 1.014160, -0.000132
1.014292, 1.014191, -0.000102
1.028987, 1.029266, 0.000279
1.028987, 1.029297, 0.000310
1.028987, 1.029327, 0.000340
1.033146, 1.032898, -0.000248
1.033146, 1.032928, -0.000217
1.033146, 1.032959, -0.000187
1.028845, 1.028778, -0.000067
1.028845, 1.028809, -0.000037
1.028845, 1.028839, -0.000006
1.017315, 1.017639, 0.000324
1.017315, 1.016968, -0.000348
1.017315, 1.016998, -0.000317
0.994072, 0.993866, -0.000206
0.994072, 0.993896, -0.000176
0.994072, 0.993927, -0.000145
0.945851, 0.945526, -0.000324
0.945851, 0.945557, -0.000294
0.945851, 0.945587, -0.000263
0.891370, 0.891571, 0.000201
0.891370, 0.891602, 0.000232
0.891370, 0.891632, 0.000262
0.850339, 0.850250, -0.000089
0.850339, 0.850281, -0.000058
0.850339, 0.850311, -0.000028
0.814785, 0.814545, -0.000240
0.814785, 0.814575, -0.000210
0.814785, 0.814606, -0.000179
0.783797, 0.783752, -0.000044
0.783797, 0.783783, -0.000014
0.783797, 0.783813, 0.000017
0.756466, 0.756470, 0.000004
0.756466, 0.756500, 0.000034
0.756466, 0.756531, 0.000065
0.732139, 0.731995, -0.000144
0.732139, 0.732025, -0.000114
0.732139, 0.732056, -0.000083
0.710324, 0.710327, 0.000003
0.710324, 0.710358, 0.000034
0.710324, 0.710388, 0.000064
0.690647, 0.690643, -0.000004
0.690647, 0.690674, 0.000027
0.690647, 0.690704, 0.000057
0.672817, 0.672607, -0.000209
0.672817, 0.672638, -0.000179
0.672817, 0.672668, -0.000148
0.656599, 0.656769, 0.000170
0.656599, 0.656799, 0.000201
0.656599, 0.656830, 0.000231
0.641790, 0.642029, 0.000239
0.641790, 0.642059, 0.000269
0.641790, 0.641541, -0.000250
0.628241, 0.628387, 0.000147
0.628241, 0.628418, 0.000177
0.628241, 0.628448, 0.000208
0.615806, 0.615845, 0.000039
0.615806, 0.615875, 0.000070
0.615806, 0.615906, 0.000100
0.604377, 0.604401, 0.000024
0.604377, 0.604431, 0.000054
0.604377, 0.604462, 0.000085
0.593841, 0.594055, 0.000214
0.593841, 0.594086, 0.000244
0.593841, 0.593567, -0.000274
0.584121, 0.584259, 0.000138
0.584121, 0.584290, 0.000168
0.584121, 0.584320, 0.000199
0.575142, 0.575012, -0.000129
0.575142, 0.575043, -0.000099
0.575142, 0.575073, -0.000068
0.566828, 0.566864, 0.000036
0.566828, 0.566956, 0.000127
0.566828, 0.567047, 0.000219
0.559127, 0.559326, 0.000199
0.559127, 0.558929, -0.000198
0.559127, 0.559021, -0.000106
0.551982, 0.551788, -0.000194
0.551982, 0.551880, -0.000102
0.551982, 0.551971, -0.000011
0.545354, 0.545227, -0.000127
0.545354, 0.545319, -0.000035
0.545354, 0.545410, 0.000056
0.539183, 0.539154, -0.000028
0.539183, 0.539246, 0.000063
0.539183, 0.539337, 0.000155
0.533445, 0.533569, 0.000125
0.533445, 0.533661, 0.000216
0.533445, 0.533264, -0.000181
0.528072, 0.527985, -0.000087
0.528072, 0.528076, 0.000004
0.528072, 0.528168, 0.000096
0.523165, 0.523376, 0.000211
0.523165, 0.522980, -0.000185
0.523165, 0.523071, -0.000094
0.518782, 0.518768, -0.000013
0.518782, 0.518860, 0.000078
0.518782, 0.518951, 0.000170
0.516349, 0.516113, -0.000235
0.516349, 0.516205, -0.000144
0.516349, 0.516296, -0.000052
0.517702, 0.517853, 0.000151
0.517702, 0.517944, 0.000243
0.517702, 0.517548, -0.000154
0.531669, 0.531677, 0.000008
0.531669, 0.531799, 0.000130
0.531669, 0.531921, 0.000252
0.574154, 0.574066, -0.000088
0.574154, 0.574188, 0.000034
0.574154, 0.574310, 0.000156
0.619296, 0.619049, -0.000247
0.619296, 0.619171, -0.000125
0.619296, 0.619293, -0.000003
0.653784, 0.653656, -0.000128
0.653784, 0.653778, -0.000006
0.653784, 0.653900, 0.000116
0.677486, 0.677368, -0.000118
0.677486, 0.677490, 0.000004
0.677486, 0.677612, 0.000126
0.693901, 0.693817, -0.000084
0.693901, 0.693939, 0.000038
0.693901, 0.694061, 0.000161
