current pwr_bound is 5e-2
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 20694
pwrLength=647
pwrErrBoundBytes_size=1294
pw_relBoundRatio=0.050000
hit: 20481
miss: 211
length of statenum:65536
nodecount=4971
treeByteSize=44740
enCodeSize=22091
-------insight of tdps
dataLength=20694
exactDataNum=213
realPrecision=0.006592
medianValue=0.000000
reqLength=34
quantization_intervals=20000
pwrErrBoundBytes_size=1294
radExpo=6
-----------------------
timecost, 0.007574, seconds
done
input file size: 165552
output file size: 42966
sz compression ratio, 3.85 
timecost, 0.004860, second
done
Max absolute error = 0.24566283716782066904
Max relative error = 0.001610081112558626017
Max pw_relative err = 0.04953581182611375977
../model_comparison/inputdata/original/dpot.dat, ../model_comparison/inputdata/original/dpot.dat.sz.out, 20694
size of double: 8
0.368178, 0.368176, -0.000003
-1.369298, -1.369293, 0.000005
-0.904911, -0.904613, 0.000297
-0.242216, -0.242180, 0.000036
-0.242667, -0.243809, -0.001142
0.073371, 0.074387, 0.001016
-0.222956, -0.222652, 0.000303
-0.413475, -0.412270, 0.001206
-0.344750, -0.345539, -0.000789
0.499311, 0.500000, 0.000689
0.781399, 0.781574, 0.000175
-0.131451, -0.130699, 0.000752
-0.706581, -0.706059, 0.000522
0.045989, 0.046707, 0.000718
0.781507, 0.782383, 0.000876
-0.024831, -0.024910, -0.000079
0.088649, 0.088207, -0.000441
1.804921, 1.805328, 0.000408
1.931853, 1.930653, -0.001201
1.589558, 1.589668, 0.000110
1.034103, 1.033840, -0.000263
-0.188667, -0.188492, 0.000175
-0.990327, -0.990902, -0.000575
-2.038825, -2.039894, -0.001069
-1.609788, -1.609394, 0.000394
-5.069481, -5.070496, -0.001015
-3.826901, -3.827007, -0.000106
-4.100094, -4.099632, 0.000462
-2.010608, -2.011417, -0.000809
-0.587339, -0.587265, 0.000074
-0.380273, -0.381374, -0.001102
-1.221357, -1.220406, 0.000951
-1.993141, -1.993031, 0.000110
-0.811884, -0.810822, 0.001063
0.379526, 0.379688, 0.000162
0.469251, 0.470345, 0.001094
-0.374178, -0.372837, 0.001341
-1.584565, -1.585403, -0.000839
-1.950584, -1.951290, -0.000706
-2.603841, -2.603554, 0.000288
-1.683900, -1.682819, 0.001081
-1.914095, -1.915894, -0.001799
-1.502508, -1.501507, 0.001001
-0.176337, -0.178185, -0.001847
2.364846, 2.365353, 0.000507
2.753652, 2.754837, 0.001185
1.975693, 1.973911, -0.001782
0.422375, 0.421013, -0.001362
-0.170587, -0.168995, 0.001592
-0.886920, -0.887665, -0.000745
-1.679096, -1.681042, -0.001945
-1.946687, -1.947319, -0.000632
-1.242541, -1.242405, 0.000136
0.316583, 0.317490, 0.000907
1.608236, 1.607609, -0.000627
3.109394, 3.109398, 0.000004
3.265360, 3.266460, 0.001101
1.615892, 1.613953, -0.001939
-0.041930, -0.042706, -0.000776
-0.842062, -0.840233, 0.001830
0.766513, 0.765316, -0.001197
2.743317, 2.744400, 0.001083
5.643727, 5.644871, 0.001144
6.219766, 6.221123, 0.001357
5.023449, 5.020031, -0.003418
5.471904, 5.469330, -0.002575
4.166876, 4.170582, 0.003705
4.807365, 4.805428, -0.001938
4.040765, 4.043789, 0.003024
4.644611, 4.649338, 0.004726
2.447164, 2.442387, -0.004777
-0.319764, -0.321205, -0.001441
-1.859921, -1.864094, -0.004172
-2.129135, -2.127686, 0.001449
-4.741988, -4.744793, -0.002805
-5.853150, -5.857994, -0.004845
-7.844394, -7.840336, 0.004058
-6.581496, -6.580490, 0.001006
-4.860668, -4.861660, -0.000992
-6.276986, -6.277596, -0.000610
-4.962145, -4.959156, 0.002989
-5.816181, -5.818451, -0.002270
-4.574234, -4.578136, -0.003903
-3.499850, -3.503838, -0.003987
-0.497837, -0.495945, 0.001892
1.645271, 1.642807, -0.002464
-0.143893, -0.144222, -0.000330
-3.120205, -3.122658, -0.002453
-2.881395, -2.878437, 0.002958
0.413964, 0.412659, -0.001306
3.149193, 3.147114, -0.002079
2.654673, 2.658913, 0.004240
0.099996, 0.100399, 0.000403
-2.085054, -2.087021, -0.001967
-3.579903, -3.581081, -0.001178
-3.593231, -3.590767, 0.002465
-2.450383, -2.439320, 0.011063
-1.746887, -1.740997, 0.005890
-0.291284, -0.278027, 0.013258
3.019338, 3.025764, 0.006426
5.100474, 5.111782, 0.011308
4.105571, 4.110886, 0.005314
3.154963, 3.166630, 0.011667
4.408344, 4.403038, -0.005306
5.951606, 5.950970, -0.000636
5.707885, 5.714722, 0.006836
3.863303, 3.864216, 0.000913
2.090294, 2.098671, 0.008377
1.570263, 1.579220, 0.008957
3.503740, 3.495316, -0.008425
5.681613, 5.694614, 0.013002
7.603301, 7.610710, 0.007409
8.021434, 8.025829, 0.004395
7.482339, 7.478058, -0.004281
5.788301, 5.797474, 0.009173
4.328478, 4.315132, -0.013346
5.455935, 5.466579, 0.010644
8.933719, 8.940292, 0.006573
11.673635, 11.677677, 0.004042
10.996685, 10.988304, -0.008381
8.287344, 8.288189, 0.000845
5.978226, 5.984558, 0.006332
5.074019, 5.068623, -0.005396
6.104812, 6.106789, 0.001976
8.177164, 8.164486, -0.012678
