current pwr_bound is 5e-4
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 282616
pwrLength=8832
pwrErrBoundBytes_size=17664
pw_relBoundRatio=0.000500
hit: 259859
miss: 22755
length of statenum:65536
nodecount=33333
treeByteSize=299998
enCodeSize=430093
-------insight of tdps
dataLength=282616
exactDataNum=22757
realPrecision=0.002075
medianValue=0.000000
reqLength=29
quantization_intervals=20000
pwrErrBoundBytes_size=17664
radExpo=28
-----------------------
timecost, 0.036300, seconds
done
input file size: 2260928
output file size: 639561
sz compression ratio, 3.54 
timecost, 0.023347, second
done
Max absolute error = 4096
Max relative error = 1.2799040181965304735E-05
Max pw_relative err = 0.0004994402824420907409
../model_comparison/inputdata/original/eddy.dat, ../model_comparison/inputdata/original/eddy.dat.sz.out, 282616
size of double: 8
3023.070000, 3023.070000, -0.000000
2231.360000, 2231.359993, -0.000007
12833.000000, 12833.899986, 0.899986
11872.500000, 11872.189980, -0.310020
222060.000000, 222060.000000, 0.000000
1720380.000000, 1720380.000000, 0.000000
3733730.000000, 3733730.000000, 0.000000
9395860.000000, 9395860.000000, 0.000000
61507900.000000, 61507900.000000, 0.000000
30586400.000000, 30586400.000000, 0.000000
9856330.000000, 9856330.000000, 0.000000
3057990.000000, 3057990.000000, 0.000000
2222080.000000, 2222080.000000, 0.000000
1673770.000000, 1673770.000000, 0.000000
3221100.000000, 3221100.000000, 0.000000
2547400.000000, 2547400.000000, 0.000000
1819950.000000, 1819950.000000, 0.000000
1329300.000000, 1329300.000000, 0.000000
1779460.000000, 1779460.000000, 0.000000
2028610.000000, 2028610.000000, 0.000000
2029530.000000, 2029530.000000, 0.000000
8483340.000000, 8483340.000000, 0.000000
2225850.000000, 2225850.000000, 0.000000
7211040.000000, 7211040.000000, 0.000000
2259440.000000, 2259440.000000, 0.000000
6120060.000000, 6120060.000000, 0.000000
7975770.000000, 7975770.000000, 0.000000
2010970.000000, 2010970.000000, 0.000000
2671500.000000, 2671500.000000, 0.000000
825720.000000, 825720.000000, 0.000000
1884740.000000, 1884740.000000, 0.000000
2899240.000000, 2899240.000000, 0.000000
3983720.000000, 3983628.000000, -92.000000
44187800.000000, 44187776.000000, -24.000000
1066890.000000, 1066890.000000, 0.000000
5213730.000000, 5213728.000000, -2.000000
6278870.000000, 6279222.000000, 352.000000
36907500.000000, 36907488.000000, -12.000000
7564540.000000, 7564540.000000, 0.000000
1442980.000000, 1442980.000000, 0.000000
4189150.000000, 4189132.000000, -18.000000
2014020.000000, 2014452.000000, 432.000000
25165700.000000, 25165696.000000, -4.000000
1769690.000000, 1769690.000000, 0.000000
5639980.000000, 5639980.000000, 0.000000
1119910.000000, 1120126.000000, 216.000000
2625110.000000, 2624976.000000, -134.000000
2280880.000000, 2280482.000000, -398.000000
1061220.000000, 1061492.000000, 272.000000
5005070.000000, 5005254.000000, 184.000000
4162740.000000, 4162584.000000, -156.000000
2699590.000000, 2699882.000000, 292.000000
23530200.000000, 23530192.000000, -8.000000
59347800.000000, 59347776.000000, -24.000000
899858.000000, 899858.000000, 0.000000
10835900.000000, 10835896.000000, -4.000000
27620600.000000, 27620958.000000, 358.000000
4588290.000000, 4588288.000000, -2.000000
1472110.000000, 1472110.000000, 0.000000
51570800.000000, 51570784.000000, -16.000000
8823530.000000, 8823528.000000, -2.000000
1893890.000000, 1893890.000000, 0.000000
1111860.000000, 1111708.000000, -152.000000
5898590.000000, 5898166.000000, -424.000000
3484710.000000, 3484710.000000, 0.000000
1045410.000000, 1045718.000000, 308.000000
3502860.000000, 3502918.000000, 58.000000
1202920.000000, 1203030.000000, 110.000000
4757690.000000, 4757606.000000, -84.000000
2121340.000000, 2121046.000000, -294.000000
2290430.000000, 2290758.000000, 328.000000
1251380.000000, 1251542.000000, 162.000000
1006640.000000, 1006630.000000, -10.000000
4206450.000000, 4206390.000000, -60.000000
5292390.000000, 5292710.000000, 320.000000
25609400.000000, 25609392.000000, -8.000000
3681030.000000, 3681030.000000, 0.000000
3077060.000000, 3077060.000000, 0.000000
2783800.000000, 2783554.000000, -246.000000
3416660.000000, 3416736.000000, 76.000000
5413340.000000, 5413406.000000, 66.000000
3806580.000000, 3806812.000000, 232.000000
3562230.000000, 3562362.000000, 132.000000
1560060.000000, 1559960.000000, -100.000000
2944070.000000, 2943766.000000, -304.000000
1286840.000000, 1286772.000000, -68.000000
5395290.000000, 5395538.000000, 248.000000
1793980.000000, 1793980.000000, 0.000000
2798900.000000, 2798982.000000, 82.000000
3834030.000000, 3834224.000000, 194.000000
13538800.000000, 13538800.000000, 0.000000
6178890.000000, 6178888.000000, -2.000000
1498060.000000, 1498240.000000, 180.000000
5885880.000000, 5885880.000000, 0.000000
965883.000000, 965883.000000, 0.000000
685858.000000, 686046.000000, 188.000000
3219960.000000, 3219969.000000, 9.000000
3170100.000000, 3169956.000000, -144.000000
854517.000000, 854535.000000, 18.000000
2120120.000000, 2120120.000000, 0.000000
727430.000000, 727465.000000, 35.000000
1648650.000000, 1648602.000000, -48.000000
1073540.000000, 1073579.000000, 39.000000
2530570.000000, 2530684.000000, 114.000000
3693490.000000, 3693453.000000, -37.000000
10994200.000000, 10994200.000000, 0.000000
1073530.000000, 1073530.000000, 0.000000
2777050.000000, 2777050.000000, 0.000000
291205.000000, 291205.000000, 0.000000
1090620.000000, 1090620.000000, 0.000000
2454330.000000, 2454227.000000, -103.000000
992869.000000, 992842.000000, -27.000000
2983470.000000, 2983470.000000, 0.000000
1529310.000000, 1529310.000000, 0.000000
3779470.000000, 3779470.000000, 0.000000
992095.000000, 992095.000000, 0.000000
14142000.000000, 14142000.000000, 0.000000
5600090.000000, 5600090.000000, 0.000000
1174770.000000, 1174770.000000, 0.000000
35839100.000000, 35839088.000000, -12.000000
4081330.000000, 4081330.000000, 0.000000
2170700.000000, 2170700.000000, 0.000000
18286000.000000, 18286000.000000, 0.000000
5008070.000000, 5008070.000000, 0.000000
762543.000000, 762543.000000, 0.000000
1073520.000000, 1073520.000000, 0.000000
2336960.000000, 2336913.000000, -47.000000
1303530.000000, 1303506.000000, -24.000000
684911.000000, 685171.000000, 260.000000
5980660.000000, 5980660.000000, 0.000000
140156000.000000, 140155904.000000, -96.000000
1787340.000000, 1787340.000000, 0.000000
1077360.000000, 1077360.000000, 0.000000
1609700.000000, 1609876.000000, 176.000000
3426270.000000, 3426232.000000, -38.000000
1034210.000000, 1034204.000000, -6.000000
1782470.000000, 1782688.000000, 218.000000
1230400.000000, 1230468.000000, 68.000000
7586300.000000, 7586300.000000, 0.000000
1388440.000000, 1388440.000000, 0.000000
3559140.000000, 3559140.000000, 0.000000
59946900.000000, 59946880.000000, -20.000000
6014930.000000, 6014928.000000, -2.000000
2986760.000000, 2986760.000000, 0.000000
571427.000000, 571680.000000, 253.000000
1724880.000000, 1724696.000000, -184.000000
1377660.000000, 1377904.000000, 244.000000
108209000.000000, 108208960.000000, -40.000000
938022.000000, 938022.000000, 0.000000
12925300.000000, 12925296.000000, -4.000000
3489930.000000, 3489930.000000, 0.000000
4735320.000000, 4735320.000000, 0.000000
767600.000000, 767558.000000, -42.000000
2262190.000000, 2262190.000000, 0.000000
1329770.000000, 1330038.000000, 268.000000
1638050.000000, 1638206.000000, 156.000000
1740930.000000, 1740742.000000, -188.000000
701594.000000, 701422.000000, -172.000000
921698.000000, 921462.000000, -236.000000
4859250.000000, 4859198.000000, -52.000000
866937.000000, 866937.000000, 0.000000
1689600.000000, 1689600.000000, 0.000000
2093610.000000, 2093655.000000, 45.000000
25102000.000000, 25102000.000000, 0.000000
600813.000000, 600813.000000, 0.000000
705818.000000, 705818.000000, 0.000000
523036.000000, 523111.000000, 75.000000
1961820.000000, 1961700.000000, -120.000000
445573.000000, 445409.000000, -164.000000
67582400.000000, 67582400.000000, 0.000000
813786.000000, 813786.000000, 0.000000
2473170.000000, 2473170.000000, 0.000000
3080080.000000, 3080202.000000, 122.000000
2302010.000000, 2301810.000000, -200.000000
1480960.000000, 1481082.000000, 122.000000
43393800.000000, 43393792.000000, -8.000000
40914900.000000, 40914896.000000, -4.000000
2081890.000000, 2081890.000000, 0.000000
2617840.000000, 2617840.000000, 0.000000
1870340.000000, 1870318.000000, -22.000000
1400600.000000, 1400572.000000, -28.000000
2681800.000000, 2681722.000000, -78.000000
2399810.000000, 2399896.000000, 86.000000
441923.000000, 441910.000000, -13.000000
984140.000000, 984340.000000, 200.000000
5034990.000000, 5035042.000000, 52.000000
1637420.000000, 1637420.000000, 0.000000
1157020.000000, 1157094.000000, 74.000000
2212290.000000, 2212096.000000, -194.000000
731211.000000, 731258.000000, 47.000000
1734650.000000, 1734852.000000, 202.000000
1064700.000000, 1064878.000000, 178.000000
1444070.000000, 1444008.000000, -62.000000
2462500.000000, 2462530.000000, 30.000000
13602000.000000, 13602000.000000, 0.000000
5348610.000000, 5348610.000000, 0.000000
3565810.000000, 3565810.000000, 0.000000
2682360.000000, 2682242.000000, -118.000000
9894950.000000, 9894948.000000, -2.000000
3917770.000000, 3917770.000000, 0.000000
1517920.000000, 1518032.000000, 112.000000
1566630.000000, 1566822.000000, 192.000000
15878200.000000, 15878200.000000, 0.000000
838014.000000, 838014.000000, 0.000000
476529.000000, 476529.000000, 0.000000
670845.000000, 670916.000000, 71.000000
1722520.000000, 1722311.000000, -209.000000
1457210.000000, 1457338.000000, 128.000000
2115440.000000, 2115261.000000, -179.000000
802814.000000, 803040.000000, 226.000000
1564160.000000, 1563971.000000, -189.000000
1024790.000000, 1024774.000000, -16.000000
4674060.000000, 4674105.000000, 45.000000
712451.000000, 712451.000000, 0.000000
757769.000000, 757901.000000, 132.000000
2415100.000000, 2415287.000000, 187.000000
3232230.000000, 3232369.000000, 139.000000
2314060.000000, 2314091.000000, 31.000000
3501580.000000, 3501445.000000, -135.000000
18343700.000000, 18343696.000000, -4.000000
2685170.000000, 2685170.000000, 0.000000
10773400.000000, 10773400.000000, 0.000000
956824.000000, 956824.000000, 0.000000
3306820.000000, 3306820.000000, 0.000000
10977200.000000, 10977200.000000, 0.000000
998824.000000, 998824.000000, 0.000000
6853130.000000, 6853130.000000, 0.000000
797254.000000, 797254.000000, 0.000000
11448100.000000, 11448100.000000, 0.000000
672294.000000, 672294.000000, 0.000000
2003940.000000, 2003940.000000, 0.000000
1860810.000000, 1860786.000000, -24.000000
2622370.000000, 2622432.000000, 62.000000
2914030.000000, 2914078.000000, 48.000000
1112060.000000, 1112124.000000, 64.000000
5615640.000000, 5615640.000000, 0.000000
136623000.000000, 136622976.000000, -24.000000
6464960.000000, 6464960.000000, 0.000000
594290.000000, 594290.000000, 0.000000
1754450.000000, 1754450.000000, 0.000000
4436160.000000, 4436210.000000, 50.000000
9593580.000000, 9593570.000000, -10.000000
5512190.000000, 5512190.000000, 0.000000
404931.000000, 404810.000000, -121.000000
564427.000000, 564427.000000, 0.000000
1582350.000000, 1582444.000000, 94.000000
1661950.000000, 1662061.000000, 111.000000
1088390.000000, 1088478.000000, 88.000000
4540300.000000, 4540300.000000, 0.000000
2164960.000000, 2164960.000000, 0.000000
597981.000000, 598020.000000, 39.000000
3196200.000000, 3196200.000000, 0.000000
666717.000000, 666717.000000, 0.000000
858430.000000, 858434.000000, 4.000000
4355430.000000, 4355351.000000, -79.000000
2734970.000000, 2734970.000000, 0.000000
23207300.000000, 23207296.000000, -4.000000
15192700.000000, 15192700.000000, 0.000000
18396700.000000, 18396696.000000, -4.000000
1883500.000000, 1883500.000000, 0.000000
3849490.000000, 3849490.000000, 0.000000
2172240.000000, 2172280.000000, 40.000000
728396.000000, 728350.000000, -46.000000
9170300.000000, 9170300.000000, 0.000000
600535.000000, 600535.000000, 0.000000
1861180.000000, 1861180.000000, 0.000000
840600.000000, 840385.000000, -215.000000
956631.000000, 956710.000000, 79.000000
8363090.000000, 8363090.000000, 0.000000
4648050.000000, 4648050.000000, 0.000000
5999430.000000, 5999430.000000, 0.000000
1691730.000000, 1691730.000000, 0.000000
1544600.000000, 1544670.000000, 70.000000
9470950.000000, 9470948.000000, -2.000000
486030.000000, 486030.000000, 0.000000
4729800.000000, 4729800.000000, 0.000000
4165350.000000, 4165350.000000, 0.000000
6509410.000000, 6509220.000000, -190.000000
13911600.000000, 13911600.000000, 0.000000
2805440.000000, 2805440.000000, 0.000000
3354220.000000, 3354220.000000, 0.000000
2262760.000000, 2262840.000000, 80.000000
6154350.000000, 6154350.000000, 0.000000
4485930.000000, 4485930.000000, 0.000000
564562.000000, 564390.000000, -172.000000
2581110.000000, 2581110.000000, 0.000000
2819330.000000, 2819430.000000, 100.000000
4034470.000000, 4034550.000000, 80.000000
6724610.000000, 6724742.000000, 132.000000
2022930.000000, 2022930.000000, 0.000000
9091490.000000, 9091488.000000, -2.000000
938686.000000, 938686.000000, 0.000000
5816410.000000, 5816408.000000, -2.000000
6943040.000000, 6943218.000000, 178.000000
588405.000000, 588405.000000, 0.000000
1687050.000000, 1687050.000000, 0.000000
4149550.000000, 4149663.000000, 113.000000
1427090.000000, 1427090.000000, 0.000000
1044380.000000, 1044357.000000, -23.000000
1334750.000000, 1334904.000000, 154.000000
14193300.000000, 14193296.000000, -4.000000
5319270.000000, 5319268.000000, -2.000000
671456.000000, 671288.000000, -168.000000
1759220.000000, 1759220.000000, 0.000000
2011950.000000, 2012080.000000, 130.000000
2776970.000000, 2776940.000000, -30.000000
1637690.000000, 1637672.000000, -18.000000
860227.000000, 860388.000000, 161.000000
1292720.000000, 1292960.000000, 240.000000
41671600.000000, 41671584.000000, -16.000000
1174090.000000, 1174090.000000, 0.000000
544746.000000, 544746.000000, 0.000000
1980550.000000, 1980298.000000, -252.000000
1302840.000000, 1302826.000000, -14.000000
1836420.000000, 1836234.000000, -186.000000
70650200.000000, 70650176.000000, -24.000000
1501680.000000, 1501680.000000, 0.000000
11224800.000000, 11224800.000000, 0.000000
521941.000000, 521941.000000, 0.000000
6519330.000000, 6519328.000000, -2.000000
2573700.000000, 2573700.000000, 0.000000
2874910.000000, 2874910.000000, 0.000000
55698100.000000, 55698096.000000, -4.000000
386871.000000, 386871.000000, 0.000000
817438.000000, 817438.000000, 0.000000
2927150.000000, 2927237.000000, 87.000000
613830.000000, 613830.000000, 0.000000
2495320.000000, 2495320.000000, 0.000000
1353170.000000, 1353194.000000, 24.000000
5218730.000000, 5218730.000000, 0.000000
10402300.000000, 10402154.000000, -146.000000
2685490.000000, 2685490.000000, 0.000000
989199.000000, 989199.000000, 0.000000
14080400.000000, 14080400.000000, 0.000000
11704700.000000, 11704700.000000, 0.000000
804450.000000, 804450.000000, 0.000000
3784900.000000, 3784900.000000, 0.000000
702657.000000, 702657.000000, 0.000000
1030790.000000, 1030718.000000, -72.000000
1706280.000000, 1706299.000000, 19.000000
1950260.000000, 1950264.000000, 4.000000
849438.000000, 849461.000000, 23.000000
2921890.000000, 2922034.000000, 144.000000
911064.000000, 911064.000000, 0.000000
849309.000000, 849278.000000, -31.000000
883615.000000, 883492.000000, -123.000000
11198400.000000, 11198400.000000, 0.000000
952727.000000, 952727.000000, 0.000000
2894610.000000, 2894610.000000, 0.000000
825757.000000, 825757.000000, 0.000000
1271130.000000, 1270952.000000, -178.000000
