current pwr_bound is 5e-3
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 78144
pwrLength=2442
pwrErrBoundBytes_size=4884
pw_relBoundRatio=0.005000
hit: 78142
miss: 0
length of statenum:65536
nodecount=3
treeByteSize=22
enCodeSize=9768
-------insight of tdps
dataLength=78144
exactDataNum=2
realPrecision=0.000229
medianValue=0.000000
reqLength=20
quantization_intervals=20000
pwrErrBoundBytes_size=4884
radExpo=-5
-----------------------
timecost, 0.006191, seconds
done
input file size: 625152
output file size: 157
sz compression ratio, 3981.86 
timecost, 0.004620, second
done
Max absolute error = 9.8258256912231445312E-05
Max relative error = 0.72372067498971048849
Max pw_relative err = 0.0020972415262727685421
../model_comparison/inputdata/original/sedov_p.dat, ../model_comparison/inputdata/original/sedov_p.dat.sz.out, 78144
size of double: 8
0.046810, 0.046753, -0.000057
0.046774, 0.046753, -0.000021
0.046748, 0.046753, 0.000005
0.046731, 0.046753, 0.000022
0.046731, 0.046753, 0.000022
0.046748, 0.046753, 0.000005
0.046774, 0.046753, -0.000021
0.046810, 0.046753, -0.000057
0.046774, 0.046753, -0.000021
0.046747, 0.046753, 0.000006
0.046736, 0.046753, 0.000017
0.046738, 0.046753, 0.000015
0.046738, 0.046753, 0.000015
0.046736, 0.046753, 0.000017
0.046747, 0.046753, 0.000006
0.046774, 0.046753, -0.000021
0.046748, 0.046753, 0.000005
0.046736, 0.046753, 0.000017
0.046739, 0.046753, 0.000014
0.046739, 0.046753, 0.000014
0.046739, 0.046753, 0.000014
0.046739, 0.046753, 0.000014
0.046736, 0.046753, 0.000017
0.046748, 0.046753, 0.000005
0.046731, 0.046753, 0.000022
0.046738, 0.046753, 0.000015
0.046739, 0.046753, 0.000014
0.046739, 0.046753, 0.000014
0.046739, 0.046753, 0.000014
0.046739, 0.046753, 0.000014
0.046738, 0.046753, 0.000015
0.046731, 0.046753, 0.000022
0.046731, 0.046753, 0.000022
0.046738, 0.046753, 0.000015
0.046739, 0.046753, 0.000014
0.046739, 0.046753, 0.000014
0.046739, 0.046753, 0.000014
0.046739, 0.046753, 0.000014
0.046738, 0.046753, 0.000015
0.046731, 0.046753, 0.000022
0.046748, 0.046753, 0.000005
0.046736, 0.046753, 0.000017
0.046739, 0.046753, 0.000014
0.046739, 0.046753, 0.000014
0.046739, 0.046753, 0.000014
0.046739, 0.046753, 0.000014
0.046736, 0.046753, 0.000017
0.046748, 0.046753, 0.000005
0.046774, 0.046753, -0.000021
0.046747, 0.046753, 0.000006
0.046736, 0.046753, 0.000017
0.046738, 0.046753, 0.000015
0.046738, 0.046753, 0.000015
0.046736, 0.046753, 0.000017
0.046747, 0.046753, 0.000006
0.046774, 0.046753, -0.000021
0.046810, 0.046753, -0.000057
0.046774, 0.046753, -0.000021
0.046748, 0.046753, 0.000005
0.046731, 0.046753, 0.000022
0.046731, 0.046753, 0.000022
0.046748, 0.046753, 0.000005
0.046774, 0.046753, -0.000021
0.046810, 0.046753, -0.000057
0.046828, 0.046753, -0.000075
0.046809, 0.046753, -0.000056
0.046792, 0.046753, -0.000039
0.046778, 0.046753, -0.000025
0.046765, 0.046753, -0.000012
0.046746, 0.046753, 0.000007
0.046729, 0.046753, 0.000024
0.046724, 0.046753, 0.000029
0.046809, 0.046753, -0.000056
0.046795, 0.046753, -0.000042
0.046772, 0.046753, -0.000019
0.046753, 0.046753, 0.000000
0.046744, 0.046753, 0.000009
0.046737, 0.046753, 0.000016
0.046735, 0.046753, 0.000018
0.046734, 0.046753, 0.000019
0.046792, 0.046753, -0.000039
0.046772, 0.046753, -0.000019
0.046755, 0.046753, -0.000002
0.046746, 0.046753, 0.000007
0.046736, 0.046753, 0.000017
0.046733, 0.046753, 0.000020
0.046737, 0.046753, 0.000016
0.046737, 0.046753, 0.000015
0.046778, 0.046753, -0.000025
0.046753, 0.046753, 0.000000
0.046746, 0.046753, 0.000007
0.046742, 0.046753, 0.000011
0.046739, 0.046753, 0.000014
0.046738, 0.046753, 0.000015
0.046738, 0.046753, 0.000015
0.046738, 0.046753, 0.000015
0.046765, 0.046753, -0.000012
0.046744, 0.046753, 0.000009
0.046736, 0.046753, 0.000017
0.046739, 0.046753, 0.000014
0.046740, 0.046753, 0.000013
0.046739, 0.046753, 0.000014
0.046739, 0.046753, 0.000014
0.046739, 0.046753, 0.000014
0.046746, 0.046753, 0.000007
0.046737, 0.046753, 0.000016
0.046733, 0.046753, 0.000020
0.046738, 0.046753, 0.000015
0.046739, 0.046753, 0.000014
0.046739, 0.046753, 0.000014
0.046739, 0.046753, 0.000014
0.046739, 0.046753, 0.000014
0.046729, 0.046753, 0.000024
0.046735, 0.046753, 0.000018
0.046737, 0.046753, 0.000016
0.046738, 0.046753, 0.000015
0.046739, 0.046753, 0.000014
0.046739, 0.046753, 0.000014
0.046739, 0.046753, 0.000013
0.046739, 0.046753, 0.000014
0.046724, 0.046753, 0.000029
0.046734, 0.046753, 0.000019
0.046737, 0.046753, 0.000015
0.046738, 0.046753, 0.000015
0.046739, 0.046753, 0.000014
0.046739, 0.046753, 0.000014
0.046739, 0.046753, 0.000014
0.046739, 0.046753, 0.000014
0.046838, 0.046753, -0.000086
0.046827, 0.046753, -0.000074
0.046817, 0.046753, -0.000064
0.046808, 0.046753, -0.000055
0.046800, 0.046753, -0.000048
0.046794, 0.046753, -0.000041
0.046788, 0.046753, -0.000035
0.046783, 0.046753, -0.000030
0.046827, 0.046753, -0.000074
0.046818, 0.046753, -0.000065
0.046810, 0.046753, -0.000057
0.046801, 0.046753, -0.000048
0.046791, 0.046753, -0.000038
0.046782, 0.046753, -0.000029
0.046774, 0.046753, -0.000021
0.046766, 0.046753, -0.000013
0.046817, 0.046753, -0.000064
0.046810, 0.046753, -0.000057
0.046804, 0.046753, -0.000051
0.046795, 0.046753, -0.000042
0.046783, 0.046753, -0.000030
0.046771, 0.046753, -0.000018
0.046760, 0.046753, -0.000007
0.046753, 0.046753, 0.000000
0.046808, 0.046753, -0.000055
0.046801, 0.046753, -0.000048
0.046795, 0.046753, -0.000042
0.046787, 0.046753, -0.000035
0.046774, 0.046753, -0.000021
0.046760, 0.046753, -0.000007
0.046751, 0.046753, 0.000002
0.046747, 0.046753, 0.000006
0.046800, 0.046753, -0.000048
0.046791, 0.046753, -0.000038
0.046783, 0.046753, -0.000030
0.046774, 0.046753, -0.000021
0.046763, 0.046753, -0.000010
0.046754, 0.046753, -0.000001
0.046748, 0.046753, 0.000005
0.046745, 0.046753, 0.000008
0.046794, 0.046753, -0.000041
0.046782, 0.046753, -0.000029
0.046771, 0.046753, -0.000018
0.046760, 0.046753, -0.000007
0.046754, 0.046753, -0.000001
0.046750, 0.046753, 0.000003
0.046747, 0.046753, 0.000006
0.046743, 0.046753, 0.000010
0.046788, 0.046753, -0.000035
0.046774, 0.046753, -0.000021
0.046760, 0.046753, -0.000007
0.046751, 0.046753, 0.000002
0.046748, 0.046753, 0.000005
0.046747, 0.046753, 0.000006
0.046745, 0.046753, 0.000008
0.046742, 0.046753, 0.000011
0.046783, 0.046753, -0.000030
0.046766, 0.046753, -0.000013
0.046753, 0.046753, 0.000000
0.046747, 0.046753, 0.000006
0.046745, 0.046753, 0.000008
0.046743, 0.046753, 0.000010
0.046742, 0.046753, 0.000011
0.046742, 0.046753, 0.000011
0.046845, 0.046753, -0.000092
0.046838, 0.046753, -0.000085
0.046832, 0.046753, -0.000079
0.046827, 0.046753, -0.000074
0.046822, 0.046753, -0.000069
0.046817, 0.046753, -0.000064
0.046813, 0.046753, -0.000060
0.046809, 0.046753, -0.000056
0.046838, 0.046753, -0.000085
0.046832, 0.046753, -0.000080
0.046827, 0.046753, -0.000074
0.046822, 0.046753, -0.000069
0.046817, 0.046753, -0.000064
0.046813, 0.046753, -0.000060
0.046808, 0.046753, -0.000055
0.046804, 0.046753, -0.000051
0.046832, 0.046753, -0.000079
0.046827, 0.046753, -0.000074
0.046823, 0.046753, -0.000070
0.046818, 0.046753, -0.000065
0.046814, 0.046753, -0.000061
0.046809, 0.046753, -0.000056
0.046805, 0.046753, -0.000052
0.046800, 0.046753, -0.000047
0.046827, 0.046753, -0.000074
0.046822, 0.046753, -0.000069
0.046818, 0.046753, -0.000065
0.046814, 0.046753, -0.000061
0.046810, 0.046753, -0.000057
0.046806, 0.046753, -0.000053
0.046802, 0.046753, -0.000049
0.046797, 0.046753, -0.000044
0.046822, 0.046753, -0.000069
0.046817, 0.046753, -0.000064
0.046814, 0.046753, -0.000061
0.046810, 0.046753, -0.000057
0.046807, 0.046753, -0.000054
0.046803, 0.046753, -0.000050
0.046799, 0.046753, -0.000046
0.046794, 0.046753, -0.000041
0.046817, 0.046753, -0.000064
0.046813, 0.046753, -0.000060
0.046809, 0.046753, -0.000056
0.046806, 0.046753, -0.000053
0.046803, 0.046753, -0.000051
0.046800, 0.046753, -0.000048
0.046796, 0.046753, -0.000043
0.046791, 0.046753, -0.000038
0.046813, 0.046753, -0.000060
0.046808, 0.046753, -0.000055
0.046805, 0.046753, -0.000052
0.046802, 0.046753, -0.000049
0.046799, 0.046753, -0.000046
0.046796, 0.046753, -0.000043
0.046793, 0.046753, -0.000040
0.046787, 0.046753, -0.000035
0.046808, 0.046753, -0.000056
0.046804, 0.046753, -0.000051
0.046800, 0.046753, -0.000047
0.046797, 0.046753, -0.000044
0.046794, 0.046753, -0.000042
0.046791, 0.046753, -0.000038
0.046787, 0.046753, -0.000035
0.046782, 0.046753, -0.000029
0.046848, 0.046753, -0.000095
0.046845, 0.046753, -0.000092
0.046841, 0.046753, -0.000089
0.046838, 0.046753, -0.000085
0.046835, 0.046753, -0.000082
0.046832, 0.046753, -0.000079
0.046829, 0.046753, -0.000077
0.046827, 0.046753, -0.000074
0.046845, 0.046753, -0.000092
0.046841, 0.046753, -0.000088
0.046838, 0.046753, -0.000085
0.046835, 0.046753, -0.000082
0.046832, 0.046753, -0.000079
0.046829, 0.046753, -0.000076
0.046827, 0.046753, -0.000074
0.046824, 0.046753, -0.000071
