current pwr_bound is 1e-1
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 97104
pwrLength=3035
pwrErrBoundBytes_size=6070
pw_relBoundRatio=0.100000
hit: 97102
miss: 0
length of statenum:65536
nodecount=149
treeByteSize=1044
enCodeSize=25671
-------insight of tdps
dataLength=97104
exactDataNum=2
realPrecision=9728.000000
medianValue=0.000000
reqLength=18
quantization_intervals=20000
pwrErrBoundBytes_size=6070
radExpo=18
-----------------------
timecost, 0.007575, seconds
done
input file size: 776832
output file size: 13588
sz compression ratio, 57.17 
timecost, 0.006553, second
done
Max absolute error = 11686.4453125
Max relative error = 0.038429429364470420183
Max pw_relative err = 0.099697621591995425061
../model_comparison/inputdata/original/yf17_p.dat, ../model_comparison/inputdata/original/yf17_p.dat.sz.out, 97104
size of double: 8
104297.710938, 103424.000000, -873.710938
109167.023438, 108544.000000, -623.023438
134858.343750, 132096.000000, -2762.343750
106188.796875, 109568.000000, 3379.203125
100689.929688, 96256.000000, -4433.929688
77814.093750, 73728.000000, -4086.093750
94606.328125, 97280.000000, 2673.671875
99107.617188, 102400.000000, 3292.382812
108838.796875, 107520.000000, -1318.796875
174338.625000, 177152.000000, 2813.375000
89651.671875, 90112.000000, 460.328125
87860.367188, 86016.000000, -1844.367188
126498.562500, 128000.000000, 1501.437500
114314.968750, 114688.000000, 373.031250
139159.156250, 138240.000000, -919.156250
198522.625000, 198656.000000, 133.375000
131053.890625, 130048.000000, -1005.890625
90704.773438, 89088.000000, -1616.773438
101509.460938, 103424.000000, 1914.539062
89674.117188, 90112.000000, 437.882812
96359.367188, 95232.000000, -1127.367188
95289.023438, 91136.000000, -4153.023438
88689.515625, 87040.000000, -1649.515625
93384.882812, 92160.000000, -1224.882812
104179.875000, 106496.000000, 2316.125000
107685.046875, 111616.000000, 3930.953125
58933.808594, 61440.000000, 2506.191406
92719.671875, 94208.000000, 1488.328125
73588.640625, 71680.000000, -1908.640625
63890.683594, 67584.000000, 3693.316406
47158.847656, 45056.000000, -2102.847656
78056.859375, 77824.000000, -232.859375
77139.453125, 79872.000000, 2732.546875
108067.375000, 112640.000000, 4572.625000
112177.593750, 114688.000000, 2510.406250
89870.812500, 86016.000000, -3854.812500
103991.484375, 103424.000000, -567.484375
90119.117188, 90112.000000, -7.117188
84912.515625, 92160.000000, 7247.484375
100210.718750, 94208.000000, -6002.718750
103847.742188, 96256.000000, -7591.742188
91475.312500, 98304.000000, 6828.687500
86449.921875, 84992.000000, -1457.921875
92992.875000, 87040.000000, -5952.875000
92884.718750, 89088.000000, -3796.718750
110641.007812, 106496.000000, -4145.007812
96102.039062, 93184.000000, -2918.039062
101335.406250, 95232.000000, -6103.406250
101334.882812, 97280.000000, -4054.882812
101323.304688, 99328.000000, -1995.304688
101324.867188, 101376.000000, 51.132812
101336.046875, 103424.000000, 2087.953125
101335.226562, 105472.000000, 4136.773438
101323.140625, 107520.000000, 6196.859375
101325.062500, 94208.000000, -7117.062500
105531.546875, 111616.000000, 6084.453125
104772.148438, 98304.000000, -6468.148438
106299.265625, 100352.000000, -5947.265625
107916.289062, 102400.000000, -5516.289062
107069.421875, 104448.000000, -2621.421875
107960.656250, 106496.000000, -1464.656250
107757.312500, 108544.000000, 786.687500
108154.656250, 110592.000000, 2437.343750
107663.929688, 112640.000000, 4976.070312
108515.671875, 114688.000000, 6172.328125
109773.062500, 116736.000000, 6962.937500
109448.601562, 118784.000000, 9335.398438
110380.539062, 120832.000000, 10451.460938
112177.710938, 122880.000000, 10702.289062
115638.625000, 124928.000000, 9289.375000
120419.375000, 126976.000000, 6556.625000
126535.101562, 129024.000000, 2488.898438
131016.812500, 131072.000000, 55.187500
142830.437500, 133120.000000, -9710.437500
153348.187500, 156672.000000, 3323.812500
143320.359375, 137216.000000, -6104.359375
162522.078125, 160768.000000, -1754.078125
115525.843750, 119808.000000, 4282.156250
135572.296875, 143360.000000, 7787.703125
155640.015625, 145408.000000, -10232.015625
179345.125000, 168960.000000, -10385.125000
171879.359375, 171008.000000, -871.359375
161857.531250, 151552.000000, -10305.531250
157874.875000, 153600.000000, -4274.875000
151276.671875, 155648.000000, 4371.328125
145242.312500, 136192.000000, -9050.312500
141384.437500, 138240.000000, -3144.437500
136828.171875, 140288.000000, 3459.828125
133862.093750, 142336.000000, 8473.906250
131825.265625, 122880.000000, -8945.265625
130192.203125, 124928.000000, -5264.203125
128110.109375, 126976.000000, -1134.109375
128389.890625, 129024.000000, 634.109375
125169.609375, 131072.000000, 5902.390625
130489.546875, 133120.000000, 2630.453125
127784.914062, 135168.000000, 7383.085938
124631.835938, 116736.000000, -7895.835938
122282.109375, 118784.000000, -3498.109375
128050.859375, 120832.000000, -7218.859375
129485.531250, 122880.000000, -6605.531250
107579.710938, 104448.000000, -3131.710938
107423.703125, 106496.000000, -927.703125
107547.046875, 108544.000000, 996.953125
107625.812500, 110592.000000, 2966.187500
107627.125000, 112640.000000, 5012.875000
107582.046875, 114688.000000, 7105.953125
107526.117188, 116736.000000, 9209.882812
107410.257812, 98304.000000, -9106.257812
107252.765625, 100352.000000, -6900.765625
107100.921875, 102400.000000, -4700.921875
106955.031250, 104448.000000, -2507.031250
106781.500000, 106496.000000, -285.500000
106620.851562, 108544.000000, 1923.148438
106479.890625, 110592.000000, 4112.109375
106355.851562, 112640.000000, 6284.148438
106260.257812, 114688.000000, 8427.742188
106151.171875, 96256.000000, -9895.171875
106071.195312, 98304.000000, -7767.195312
105966.492188, 100352.000000, -5614.492188
105892.460938, 102400.000000, -3492.460938
105768.054688, 104448.000000, -1320.054688
105948.875000, 106496.000000, 547.125000
105628.664062, 108544.000000, 2915.335938
105515.632812, 110592.000000, 5076.367188
105234.101562, 112640.000000, 7405.898438
104602.500000, 114688.000000, 10085.500000
104180.671875, 96256.000000, -7924.671875
104054.500000, 98304.000000, -5750.500000
103252.578125, 100352.000000, -2900.578125
100076.554688, 102400.000000, 2323.445312
98986.218750, 104448.000000, 5461.781250
100064.773438, 106496.000000, 6431.226562
99665.265625, 94720.000000, -4945.265625
87428.656250, 82944.000000, -4484.656250
95375.335938, 98816.000000, 3440.664062
99885.257812, 100864.000000, 978.742188
99179.765625, 102912.000000, 3732.234375
150275.062500, 146432.000000, -3843.062500
154827.375000, 148480.000000, -6347.375000
155263.718750, 150528.000000, -4735.718750
152115.031250, 152576.000000, 460.968750
143871.937500, 140800.000000, -3071.937500
136713.453125, 142848.000000, 6134.546875
124301.445312, 131072.000000, 6770.554688
107856.578125, 105472.000000, -2384.578125
98166.687500, 93696.000000, -4470.687500
85696.460938, 81920.000000, -3776.460938
79073.890625, 83968.000000, 4894.109375
76144.054688, 72192.000000, -3952.054688
70475.851562, 74240.000000, 3764.148438
75378.976562, 76288.000000, 909.023438
76744.398438, 78336.000000, 1591.601562
78850.320312, 80384.000000, 1533.679688
75111.257812, 68608.000000, -6503.257812
100834.437500, 98304.000000, -2530.437500
109773.117188, 114176.000000, 4402.882812
120233.046875, 116224.000000, -4009.046875
100238.492188, 104448.000000, 4209.507812
101506.492188, 106496.000000, 4989.507812
102747.515625, 108544.000000, 5796.484375
104257.843750, 110592.000000, 6334.156250
104843.687500, 112640.000000, 7796.312500
103680.257812, 94208.000000, -9472.257812
104918.031250, 96256.000000, -8662.031250
104476.390625, 98304.000000, -6172.390625
104197.265625, 100352.000000, -3845.265625
104268.750000, 102400.000000, -1868.750000
103130.554688, 104448.000000, 1317.445312
104212.273438, 106496.000000, 2283.726562
103950.414062, 108544.000000, 4593.585938
104213.289062, 110592.000000, 6378.710938
105283.796875, 112640.000000, 7356.203125
104592.007812, 114688.000000, 10095.992188
103085.054688, 96256.000000, -6829.054688
103831.101562, 98304.000000, -5527.101562
104535.554688, 100352.000000, -4183.554688
104546.617188, 102400.000000, -2146.617188
104699.617188, 104448.000000, -251.617188
104146.296875, 106496.000000, 2349.703125
104743.148438, 108544.000000, 3800.851562
105663.929688, 110592.000000, 4928.070312
105862.000000, 112640.000000, 6778.000000
104604.343750, 114688.000000, 10083.656250
105390.453125, 96256.000000, -9134.453125
105480.781250, 98304.000000, -7176.781250
105809.304688, 100352.000000, -5457.304688
106583.765625, 102400.000000, -4183.765625
106140.703125, 104448.000000, -1692.703125
106194.031250, 106496.000000, 301.968750
106950.882812, 108544.000000, 1593.117188
107139.460938, 110592.000000, 3452.539062
107600.312500, 112640.000000, 5039.687500
106954.718750, 114688.000000, 7733.281250
107613.335938, 99328.000000, -8285.335938
107567.468750, 101376.000000, -6191.468750
109765.539062, 103424.000000, -6341.539062
107844.031250, 105472.000000, -2372.031250
108104.992188, 107520.000000, -584.992188
109114.210938, 109568.000000, 453.789062
108620.632812, 111616.000000, 2995.367188
110389.656250, 113664.000000, 3274.343750
109393.679688, 115712.000000, 6318.320312
110366.781250, 117760.000000, 7393.218750
100121.046875, 102400.000000, 2278.953125
99994.031250, 104448.000000, 4453.968750
96037.765625, 89088.000000, -6949.765625
92931.171875, 91136.000000, -1795.171875
91049.773438, 93184.000000, 2134.226562
103867.468750, 95232.000000, -8635.468750
108265.695312, 114688.000000, 6422.304688
107114.492188, 99328.000000, -7786.492188
105367.171875, 101376.000000, -3991.171875
104453.234375, 103424.000000, -1029.234375
104914.515625, 105472.000000, 557.484375
100963.820312, 107520.000000, 6556.179688
97701.203125, 92160.000000, -5541.203125
98109.414062, 94208.000000, -3901.414062
93984.554688, 96256.000000, 2271.445312
92948.429688, 98304.000000, 5355.570312
92663.765625, 100352.000000, 7688.234375
91007.945312, 84992.000000, -6015.945312
90510.664062, 87040.000000, -3470.664062
88956.945312, 89088.000000, 131.054688
90197.359375, 91136.000000, 938.640625
90086.046875, 93184.000000, 3097.953125
89830.078125, 95232.000000, 5401.921875
90340.007812, 84992.000000, -5348.007812
92307.484375, 87040.000000, -5267.484375
94852.367188, 89088.000000, -5764.367188
94105.804688, 91136.000000, -2969.804688
96827.242188, 93184.000000, -3643.242188
89113.257812, 95232.000000, 6118.742188
67705.367188, 72704.000000, 4998.632812
61854.609375, 62464.000000, 609.390625
64157.964844, 64512.000000, 354.035156
70088.687500, 66560.000000, -3528.687500
75888.945312, 80896.000000, 5007.054688
79247.062500, 82944.000000, 3696.937500
83915.046875, 84992.000000, 1076.953125
86401.687500, 87040.000000, 638.312500
89179.640625, 89088.000000, -91.640625
90616.000000, 91136.000000, 520.000000
92795.187500, 93184.000000, 388.812500
94249.929688, 95232.000000, 982.070312
95107.828125, 97280.000000, 2172.171875
94959.703125, 99328.000000, 4368.296875
94503.960938, 89088.000000, -5415.960938
94026.554688, 91136.000000, -2890.554688
93689.593750, 93184.000000, -505.593750
93374.523438, 95232.000000, 1857.476562
92801.671875, 97280.000000, 4478.328125
91592.750000, 87040.000000, -4552.750000
84143.156250, 89088.000000, 4944.843750
90035.578125, 91136.000000, 1100.421875
90310.156250, 93184.000000, 2873.843750
88855.320312, 82944.000000, -5911.320312
89422.296875, 86528.000000, -2894.296875
89084.070312, 90112.000000, 1027.929688
117591.546875, 121344.000000, 3752.453125
99547.226562, 97280.000000, -2267.226562
82011.882812, 87040.000000, 5028.117188
73773.500000, 76800.000000, 3026.500000
71605.859375, 66560.000000, -5045.859375
73481.406250, 70144.000000, -3337.406250
76112.226562, 73728.000000, -2384.226562
78363.781250, 77312.000000, -1051.781250
80482.781250, 80896.000000, 413.218750
82595.648438, 84480.000000, 1884.351562
84765.523438, 88064.000000, 3298.476562
86761.656250, 91648.000000, 4886.343750
88514.117188, 95232.000000, 6717.882812
90125.859375, 84992.000000, -5133.859375
91288.273438, 88576.000000, -2712.273438
91939.429688, 92160.000000, 220.570312
92206.812500, 95744.000000, 3537.187500
91620.906250, 85504.000000, -6116.906250
87243.187500, 89088.000000, 1844.812500
121321.070312, 120320.000000, -1001.070312
126627.328125, 123904.000000, -2723.328125
124271.406250, 127488.000000, 3216.593750
119408.273438, 117248.000000, -2160.273438
116845.609375, 120832.000000, 3986.390625
118894.320312, 124416.000000, 5521.679688
111505.023438, 114176.000000, 2670.976562
111022.414062, 117760.000000, 6737.585938
276042.312500, 273408.000000, -2634.312500
245431.171875, 249344.000000, 3912.828125
227759.343750, 225280.000000, -2479.343750
220027.078125, 218624.000000, -1403.078125
141436.781250, 142336.000000, 899.218750
142484.640625, 135680.000000, -6804.640625
140818.187500, 146432.000000, 5613.812500
135886.718750, 139776.000000, 3889.281250
139949.281250, 133120.000000, -6829.281250
144650.968750, 143872.000000, -778.968750
119535.835938, 119808.000000, 272.164062
122772.148438, 130560.000000, 7787.851562
125940.382812, 123904.000000, -2036.382812
130671.585938, 134656.000000, 3984.414062
94036.250000, 93184.000000, -852.250000
93039.203125, 86528.000000, -6511.203125
93592.632812, 97280.000000, 3687.367188
92435.648438, 90624.000000, -1811.648438
91995.929688, 83968.000000, -8027.929688
91427.406250, 94720.000000, 3292.593750
89038.937500, 88064.000000, -974.937500
88250.765625, 81408.000000, -6842.765625
88664.656250, 92160.000000, 3495.343750
88055.937500, 85504.000000, -2551.937500
89923.796875, 96256.000000, 6332.203125
89049.898438, 89600.000000, 550.101562
94760.414062, 100352.000000, 5591.585938
96622.578125, 93696.000000, -2926.578125
97048.265625, 104448.000000, 7399.734375
97562.265625, 97792.000000, 229.734375
97850.429688, 91136.000000, -6714.429688
91281.273438, 84480.000000, -6801.273438
95800.515625, 95232.000000, -568.515625
95381.156250, 88576.000000, -6805.156250
91662.867188, 99328.000000, 7665.132812
89949.351562, 92672.000000, 2722.648438
90416.437500, 86016.000000, -4400.437500
90627.234375, 96768.000000, 6140.765625
91605.929688, 90112.000000, -1493.929688
91869.367188, 83456.000000, -8413.367188
93540.953125, 94208.000000, 667.046875
94397.468750, 87552.000000, -6845.468750
96093.117188, 98304.000000, 2210.882812
97564.140625, 91648.000000, -5916.140625
98009.132812, 102400.000000, 4390.867188
99664.757812, 95744.000000, -3920.757812
99695.968750, 106496.000000, 6800.031250
99699.601562, 99840.000000, 140.398438
99189.242188, 93184.000000, -6005.242188
99414.476562, 103936.000000, 4521.523438
98621.078125, 97280.000000, -1341.078125
97869.601562, 90624.000000, -7245.601562
96702.812500, 101376.000000, 4673.187500
97483.640625, 94720.000000, -2763.640625
105411.484375, 105472.000000, 60.515625
184401.312500, 185856.000000, 1454.687500
184300.812500, 179200.000000, -5100.812500
152181.562500, 155136.000000, 2954.437500
168308.375000, 165888.000000, -2420.375000
162613.140625, 159232.000000, -3381.140625
191498.500000, 187392.000000, -4106.500000
230094.921875, 232960.000000, 2865.078125
88224.500000, 87040.000000, -1184.500000
91492.023438, 97792.000000, 6299.976562
92818.000000, 91136.000000, -1682.000000
93363.132812, 101888.000000, 8524.867188
94302.531250, 95232.000000, 929.468750
95413.289062, 88576.000000, -6837.289062
96207.085938, 99328.000000, 3120.914062
100828.757812, 92672.000000, -8156.757812
103630.515625, 103424.000000, -206.515625
104635.484375, 96768.000000, -7867.484375
103867.468750, 107520.000000, 3652.531250
102152.757812, 100864.000000, -1288.757812
99522.250000, 94208.000000, -5314.250000
97458.640625, 104960.000000, 7501.359375
97629.882812, 98304.000000, 674.117188
92842.289062, 91648.000000, -1194.289062
90054.320312, 84992.000000, -5062.320312
95081.093750, 95744.000000, 662.906250
96543.523438, 89088.000000, -7455.523438
97111.554688, 99840.000000, 2728.445312
95351.617188, 93184.000000, -2167.617188
89624.085938, 86528.000000, -3096.085938
94181.210938, 97280.000000, 3098.789062
96703.703125, 90624.000000, -6079.703125
97467.195312, 101376.000000, 3908.804688
97492.835938, 94720.000000, -2772.835938
96534.609375, 88064.000000, -8470.609375
93532.484375, 98816.000000, 5283.515625
95710.929688, 92160.000000, -3550.929688
99180.046875, 102912.000000, 3731.953125
95953.671875, 96256.000000, 302.328125
95854.625000, 89600.000000, -6254.625000
96039.546875, 100352.000000, 4312.453125
95853.546875, 93696.000000, -2157.546875
98441.492188, 104448.000000, 6006.507812
97417.523438, 97792.000000, 374.476562
98165.015625, 91136.000000, -7029.015625
98517.476562, 101888.000000, 3370.523438
98552.960938, 95232.000000, -3320.960938
98414.320312, 105984.000000, 7569.679688
98020.468750, 99328.000000, 1307.531250
94528.140625, 92672.000000, -1856.140625
92999.437500, 86016.000000, -6983.437500
99830.390625, 96768.000000, -3062.390625
102279.914062, 107520.000000, 5240.085938
99501.390625, 100864.000000, 1362.609375
91849.601562, 94208.000000, 2358.398438
94110.906250, 87552.000000, -6558.906250
95841.210938, 98304.000000, 2462.789062
