current pwr_bound is 5e-2
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 97104
pwrLength=3035
pwrErrBoundBytes_size=6070
pw_relBoundRatio=0.050000
hit: 97102
miss: 0
length of statenum:65536
nodecount=17
treeByteSize=120
enCodeSize=24380
-------insight of tdps
dataLength=97104
exactDataNum=2
realPrecision=14.500000
medianValue=0.000000
reqLength=17
quantization_intervals=20000
pwrErrBoundBytes_size=6070
radExpo=8
-----------------------
timecost, 0.007076, seconds
done
input file size: 776832
output file size: 8277
sz compression ratio, 93.85 
timecost, 0.005789, second
done
Max absolute error = 14.998809814453125
Max relative error = 0.26662323134894327925
Max pw_relative err = 0.049995834367112190755
../model_comparison/inputdata/original/yf17_t.dat, ../model_comparison/inputdata/original/yf17_t.dat.sz.out, 97104
size of double: 8
301.298004, 296.000000, -5.298004
306.568451, 304.000000, -2.568451
309.038055, 312.000000, 2.961945
312.648041, 320.000000, 7.351959
302.829193, 298.000000, -4.829193
303.789124, 306.000000, 2.210876
301.030945, 314.000000, 12.969055
303.574188, 292.000000, -11.574188
307.937744, 300.000000, -7.937744
337.658691, 338.000000, 0.341309
307.555298, 316.000000, 8.444702
307.511200, 294.000000, -13.511200
321.376312, 332.000000, 10.623688
316.638977, 310.000000, -6.638977
329.334839, 318.000000, -11.334839
351.395935, 356.000000, 4.604065
321.494049, 334.000000, 12.505951
304.805511, 312.000000, 7.194489
302.792633, 290.000000, -12.792633
303.236786, 298.000000, -5.236786
305.502106, 306.000000, 0.497894
305.263702, 314.000000, 8.736298
304.527710, 292.000000, -12.527710
304.968872, 300.000000, -4.968872
306.678131, 308.000000, 1.321869
305.432892, 316.000000, 10.567108
322.018494, 324.000000, 1.981506
302.618866, 302.000000, -0.618866
313.168488, 310.000000, -3.168488
313.534149, 318.000000, 4.465851
321.196777, 326.000000, 4.803223
319.570984, 334.000000, 14.429016
321.185944, 313.000000, -8.185944
302.128479, 292.000000, -10.128479
321.200165, 329.000000, 7.799835
298.558258, 308.000000, 9.441742
301.570282, 316.000000, 14.429718
300.179932, 295.000000, -5.179932
303.251801, 303.000000, -0.251801
307.438080, 311.000000, 3.561920
302.960083, 290.000000, -12.960083
302.105133, 298.000000, -4.105133
306.666931, 306.000000, -0.666931
302.570129, 314.000000, 11.429871
314.224670, 322.000000, 7.775330
308.211700, 301.000000, -7.211700
307.955170, 309.000000, 1.044830
300.001770, 288.000000, -12.001770
300.001556, 296.000000, -4.001556
299.997223, 304.000000, 4.002777
299.997589, 312.000000, 12.002411
300.001831, 291.000000, -9.001831
300.001678, 299.000000, -1.001678
299.997894, 307.000000, 7.002106
299.997375, 286.000000, -13.997375
301.132538, 294.000000, -7.132538
301.065186, 302.000000, 0.934814
301.044250, 310.000000, 8.955750
301.114258, 289.000000, -12.114258
301.162170, 297.000000, -4.162170
301.249451, 305.000000, 3.750549
301.363739, 313.000000, 11.636261
301.502869, 292.000000, -9.502869
301.647858, 300.000000, -1.647858
301.808502, 308.000000, 6.191498
302.103973, 316.000000, 13.896027
302.449432, 294.000000, -8.449432
302.789520, 302.000000, -0.789520
303.352631, 310.000000, 6.647369
304.020416, 318.000000, 13.979584
304.969513, 296.000000, -8.969513
306.182770, 304.000000, -2.182770
307.385406, 312.000000, 4.614594
308.575989, 320.000000, 11.424011
310.634918, 298.000000, -12.634918
311.537048, 306.000000, -5.537048
311.048157, 314.000000, 2.951843
309.059387, 322.000000, 12.940613
309.344513, 300.000000, -9.344513
313.130402, 308.000000, -5.130402
314.142670, 316.000000, 1.857330
313.640564, 324.000000, 10.359436
312.940399, 302.000000, -10.940399
311.858429, 310.000000, -1.858429
310.752106, 318.000000, 7.247894
309.794952, 296.000000, -13.794952
308.816376, 304.000000, -4.816376
308.059998, 312.000000, 3.940002
307.451996, 320.000000, 12.548004
306.817444, 298.000000, -8.817444
306.446625, 306.000000, -0.446625
306.186249, 314.000000, 7.813751
305.605682, 292.000000, -13.605682
305.613434, 300.000000, -5.613434
305.733032, 308.000000, 2.266968
305.351471, 316.000000, 10.648529
304.902405, 294.000000, -10.902405
305.171234, 302.000000, -3.171234
305.920349, 310.000000, 4.079651
306.718445, 318.000000, 11.281555
311.976746, 326.000000, 14.023254
311.121521, 304.000000, -7.121521
310.190491, 312.000000, 1.809509
309.296143, 320.000000, 10.703857
308.489471, 298.000000, -10.489471
307.738953, 306.000000, -1.738953
307.055969, 314.000000, 6.944031
306.425262, 292.000000, -14.425262
305.838867, 300.000000, -5.838867
305.297791, 308.000000, 2.702209
304.818542, 316.000000, 11.181458
304.382568, 294.000000, -10.382568
303.989655, 302.000000, -1.989655
303.639282, 310.000000, 6.360718
303.328125, 318.000000, 14.671875
303.057251, 296.000000, -7.057251
302.815613, 304.000000, 1.184387
302.601471, 312.000000, 9.398529
302.418274, 290.000000, -12.418274
302.263580, 298.000000, -4.263580
302.132111, 306.000000, 3.867889
302.020325, 314.000000, 11.979675
301.913788, 292.000000, -9.913788
301.820404, 300.000000, -1.820404
301.710175, 308.000000, 6.289825
301.554443, 316.000000, 14.445557
301.404388, 294.000000, -7.404388
301.402252, 302.000000, 0.597748
301.517883, 310.000000, 8.482117
301.642548, 289.000000, -12.642548
301.863373, 297.000000, -4.863373
302.140350, 305.000000, 2.859650
302.415833, 313.000000, 10.584167
302.826111, 292.000000, -10.826111
301.461121, 300.000000, -1.461121
300.888641, 308.000000, 7.111359
300.936371, 287.000000, -13.936371
310.954895, 324.000000, 13.045105
311.510468, 303.000000, -8.510468
311.056732, 311.000000, -0.056732
309.443939, 319.000000, 9.556061
307.297241, 298.000000, -9.297241
304.583801, 306.000000, 1.416199
301.297791, 314.000000, 12.702209
298.439117, 293.000000, -5.439117
296.532867, 301.000000, 4.467133
295.388885, 309.000000, 13.611115
295.626129, 288.000000, -7.626129
296.324524, 296.000000, -0.324524
298.241211, 304.000000, 5.758789
299.784668, 312.000000, 12.215332
300.694763, 291.000000, -9.694763
301.065887, 299.000000, -2.065887
301.662262, 307.000000, 5.337738
303.710602, 315.000000, 11.289398
305.455994, 294.000000, -11.455994
307.924805, 302.000000, -5.924805
303.644684, 310.000000, 6.355316
303.687256, 318.000000, 14.312744
303.725555, 297.000000, -6.725555
303.658539, 306.000000, 2.341461
303.552856, 315.000000, 11.447144
303.531525, 294.000000, -9.531525
303.541077, 303.000000, -0.541077
303.422943, 312.000000, 8.577057
303.337402, 291.000000, -12.337402
303.291840, 300.000000, -3.291840
303.315491, 309.000000, 5.684509
303.315735, 318.000000, 14.684265
303.277527, 297.000000, -6.277527
303.249451, 306.000000, 2.750549
303.182800, 315.000000, 11.817200
303.213501, 294.000000, -9.213501
303.285583, 303.000000, -0.285583
303.332733, 312.000000, 8.667267
303.365723, 291.000000, -12.365723
303.440094, 300.000000, -3.440094
303.524353, 309.000000, 5.475647
303.656586, 318.000000, 14.343414
303.724396, 297.000000, -6.724396
303.825684, 306.000000, 2.174316
303.933136, 315.000000, 11.066864
304.125122, 294.000000, -10.125122
304.216278, 303.000000, -1.216278
304.381012, 312.000000, 7.618988
304.474670, 291.000000, -13.474670
304.654724, 300.000000, -4.654724
304.818268, 309.000000, 4.181732
305.028259, 318.000000, 12.971741
305.100647, 297.000000, -8.100647
305.198364, 306.000000, 0.801636
305.386383, 315.000000, 9.613617
305.638458, 294.000000, -11.638458
305.768005, 303.000000, -2.768005
305.846863, 312.000000, 6.153137
306.070831, 321.000000, 14.929169
306.253540, 300.000000, -6.253540
306.518494, 309.000000, 2.481506
306.735962, 318.000000, 11.264038
306.890656, 297.000000, -9.890656
307.257385, 306.000000, -1.257385
307.313995, 315.000000, 7.686005
307.822235, 294.000000, -13.822235
305.137329, 303.000000, -2.137329
303.671478, 312.000000, 8.328522
302.652588, 291.000000, -11.652588
301.787872, 300.000000, -1.787872
301.266754, 309.000000, 7.733246
303.930603, 318.000000, 14.069397
304.118073, 297.000000, -7.118073
304.110199, 306.000000, 1.889801
304.013000, 315.000000, 10.987000
303.871918, 294.000000, -9.871918
303.752625, 303.000000, -0.752625
303.298615, 312.000000, 8.701385
302.996185, 291.000000, -11.996185
302.642853, 300.000000, -2.642853
301.964691, 309.000000, 7.035309
301.668182, 288.000000, -13.668182
301.457794, 297.000000, -4.457794
301.071930, 306.000000, 4.928070
300.794830, 315.000000, 14.205170
300.688965, 294.000000, -6.688965
300.671570, 303.000000, 2.328430
300.690308, 312.000000, 11.309692
300.668610, 291.000000, -9.668610
300.981354, 300.000000, -0.981354
301.153442, 309.000000, 7.846558
301.177551, 288.000000, -13.177551
301.266571, 297.000000, -4.266571
301.270142, 306.000000, 4.729858
318.841248, 315.000000, -3.841248
306.971375, 294.000000, -12.971375
302.678345, 303.000000, 0.321655
302.190521, 312.000000, 9.809479
303.139954, 291.000000, -12.139954
304.174530, 300.000000, -4.174530
305.198364, 309.000000, 3.801636
305.958649, 318.000000, 12.041351
306.701935, 297.000000, -9.701935
307.440186, 306.000000, -1.440186
308.099731, 315.000000, 6.900269
308.532867, 294.000000, -14.532867
308.640900, 303.000000, -5.640900
308.520538, 312.000000, 3.479462
308.298248, 321.000000, 12.701752
308.108063, 300.000000, -8.108063
307.939880, 309.000000, 1.060120
307.784637, 318.000000, 10.215363
307.646973, 297.000000, -10.646973
307.517456, 306.000000, -1.517456
307.435944, 315.000000, 7.564056
307.679962, 294.000000, -13.679962
307.621552, 303.000000, -4.621552
307.644440, 312.000000, 4.355560
307.652191, 321.000000, 13.347809
307.581207, 300.000000, -7.581207
307.508179, 309.000000, 1.491821
316.670135, 318.000000, 1.329865
310.108887, 297.000000, -13.108887
303.488953, 306.000000, 2.511047
300.465454, 315.000000, 14.534546
300.396545, 294.000000, -6.396545
301.527985, 303.000000, 1.472015
302.551178, 312.000000, 9.448822
303.669434, 291.000000, -12.669434
304.703369, 300.000000, -4.703369
305.672394, 309.000000, 3.327606
306.594727, 318.000000, 11.405273
307.152405, 297.000000, -10.152405
307.465088, 306.000000, -1.465088
307.433807, 315.000000, 7.566193
307.352875, 294.000000, -13.352875
307.287628, 303.000000, -4.287628
307.254913, 312.000000, 4.745087
307.212555, 321.000000, 13.787445
307.426361, 300.000000, -7.426361
327.115173, 339.000000, 11.884827
317.969055, 318.000000, 0.030945
318.655579, 327.000000, 8.344421
319.796478, 306.000000, -13.796478
321.719177, 315.000000, -6.719177
324.031006, 324.000000, -0.031006
327.345428, 333.000000, 5.654572
331.101166, 342.000000, 10.898834
344.426025, 351.000000, 6.573975
349.353577, 360.000000, 10.646423
350.777557, 339.000000, -11.777557
351.382935, 348.000000, -3.382935
323.888214, 327.000000, 3.111786
325.950348, 336.000000, 10.049652
329.335724, 315.000000, -14.335724
334.966003, 324.000000, -10.966003
342.074280, 333.000000, -9.074280
349.430603, 342.000000, -7.430603
319.320709, 321.000000, 1.679291
320.986267, 330.000000, 9.013733
321.840302, 309.000000, -12.840302
322.028778, 318.000000, -4.028778
301.045410, 297.000000, -4.045410
301.237366, 306.000000, 4.762634
301.361938, 315.000000, 13.638062
301.343872, 294.000000, -7.343872
301.419983, 303.000000, 1.580017
301.593475, 312.000000, 10.406525
301.797882, 291.000000, -10.797882
302.378723, 300.000000, -2.378723
303.027435, 309.000000, 5.972565
303.641724, 318.000000, 14.358276
304.267059, 297.000000, -7.267059
304.198303, 306.000000, 1.801697
303.808258, 315.000000, 11.191742
303.091705, 294.000000, -9.091705
302.632843, 303.000000, 0.367157
302.252228, 312.000000, 9.747772
301.593719, 291.000000, -10.593719
302.079773, 300.000000, -2.079773
302.660797, 309.000000, 6.339203
303.190796, 318.000000, 14.809204
303.475159, 297.000000, -6.475159
303.530426, 306.000000, 2.469574
303.449585, 315.000000, 11.550415
303.493530, 294.000000, -9.493530
303.578186, 303.000000, -0.578186
303.804382, 312.000000, 8.195618
304.091614, 291.000000, -13.091614
304.257080, 300.000000, -4.257080
304.587128, 309.000000, 4.412872
304.978851, 318.000000, 13.021149
305.215942, 297.000000, -8.215942
305.364319, 306.000000, 0.635681
305.692413, 315.000000, 9.307587
305.960114, 294.000000, -11.960114
306.320221, 303.000000, -3.320221
306.957672, 312.000000, 5.042328
307.829376, 321.000000, 13.170624
308.855560, 300.000000, -8.855560
310.154419, 309.000000, -1.154419
312.133728, 318.000000, 5.866272
317.003876, 327.000000, 9.996124
330.799530, 336.000000, 5.200470
330.645050, 345.000000, 14.354950
327.123352, 324.000000, -3.123352
330.231232, 333.000000, 2.768768
330.211151, 342.000000, 11.788849
333.168274, 321.000000, -12.168274
337.605743, 330.000000, -7.605743
305.410736, 309.000000, 3.589264
305.877533, 318.000000, 12.122467
306.121246, 297.000000, -9.121246
306.338867, 306.000000, -0.338867
306.386963, 315.000000, 8.613037
306.349030, 294.000000, -12.349030
307.249023, 303.000000, -4.249023
307.441559, 312.000000, 4.558441
307.114014, 321.000000, 13.885986
306.587799, 300.000000, -6.587799
305.870941, 309.000000, 3.129059
305.079956, 318.000000, 12.920044
304.592712, 297.000000, -7.592712
304.563965, 306.000000, 1.436035
304.759491, 315.000000, 10.240509
305.450897, 294.000000, -11.450897
303.069733, 303.000000, -0.069733
304.393188, 312.000000, 7.606812
304.800110, 291.000000, -13.800110
304.783936, 300.000000, -4.783936
304.633392, 309.000000, 4.366608
305.654266, 318.000000, 12.345734
306.331543, 297.000000, -9.331543
306.185394, 306.000000, -0.185394
305.830078, 315.000000, 9.169922
305.193573, 294.000000, -11.193573
304.706940, 303.000000, -1.706940
304.671326, 312.000000, 7.328674
304.795959, 291.000000, -13.795959
304.331757, 300.000000, -4.331757
304.185455, 309.000000, 4.814545
303.778137, 318.000000, 14.221863
303.527832, 297.000000, -6.527832
303.357239, 306.000000, 2.642761
303.653198, 315.000000, 11.346802
303.858307, 294.000000, -9.858307
304.033356, 303.000000, -1.033356
304.321289, 312.000000, 7.678711
304.659546, 291.000000, -13.659546
305.030884, 300.000000, -5.030884
305.545013, 309.000000, 3.454987
305.427185, 318.000000, 12.572815
305.308197, 297.000000, -8.308197
304.605713, 306.000000, 1.394287
304.613892, 315.000000, 10.386108
304.730377, 294.000000, -10.730377
305.256256, 303.000000, -2.256256
305.588440, 312.000000, 6.411560
305.881348, 291.000000, -14.881348
306.193695, 300.000000, -6.193695
306.408539, 309.000000, 2.591461
306.660248, 318.000000, 11.339752
307.041016, 297.000000, -10.041016
305.679047, 306.000000, 0.320953
305.546112, 315.000000, 9.453888
305.685181, 294.000000, -11.685181
305.788605, 303.000000, -2.788605
306.091492, 312.000000, 5.908508
306.375122, 321.000000, 14.624878
306.605133, 300.000000, -6.605133
304.741486, 309.000000, 4.258514
315.373932, 318.000000, 2.626068
314.498871, 327.000000, 12.501129
312.658020, 306.000000, -6.658020
311.184540, 315.000000, 3.815460
309.992706, 324.000000, 14.007294
309.008270, 303.000000, -6.008270
308.168549, 312.000000, 3.831451
307.450012, 321.000000, 13.549988
306.848267, 300.000000, -6.848267
306.332367, 309.000000, 2.667633
305.934296, 318.000000, 12.065704
305.678833, 297.000000, -8.678833
305.516327, 306.000000, 0.483673
305.380859, 315.000000, 9.619141
305.326294, 294.000000, -11.326294
305.303833, 303.000000, -2.303833
305.217407, 312.000000, 6.782593
305.142700, 291.000000, -14.142700
305.049316, 300.000000, -5.049316
304.929901, 309.000000, 4.070099
304.779541, 318.000000, 13.220459
304.591675, 297.000000, -7.591675
304.351837, 306.000000, 1.648163
304.050079, 315.000000, 10.949921
303.693665, 294.000000, -9.693665
303.294922, 303.000000, -0.294922
302.759430, 312.000000, 9.240570
314.070007, 321.000000, 6.929993
313.219360, 300.000000, -13.219360
314.513245, 309.000000, -5.513245
315.250977, 318.000000, 2.749023
316.978577, 327.000000, 10.021423
313.306702, 306.000000, -7.306702
305.961090, 315.000000, 9.038910
306.118866, 294.000000, -12.118866
306.145630, 303.000000, -3.145630
305.994202, 312.000000, 6.005798
305.698700, 291.000000, -14.698700
305.153229, 300.000000, -5.153229
304.395050, 309.000000, 4.604950
303.494354, 289.000000, -14.494354
302.499115, 298.000000, -4.499115
301.597107, 307.000000, 5.402893
300.764648, 287.000000, -13.764648
300.061401, 296.000000, -4.061401
299.622192, 305.000000, 5.377808
299.532501, 314.000000, 14.467499
299.826843, 294.000000, -5.826843
300.851349, 303.000000, 2.148651
301.887909, 312.000000, 10.112091
302.555023, 292.000000, -10.555023
303.370453, 301.000000, -2.370453
303.591644, 310.000000, 6.408356
303.509338, 290.000000, -13.509338
