current pwr_bound is 1e-5
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 760
pwrLength=24
pwrErrBoundBytes_size=48
pw_relBoundRatio=0.000010
hit: 758
miss: 0
length of statenum:65536
nodecount=87
treeByteSize=610
enCodeSize=288
-------insight of tdps
dataLength=760
exactDataNum=2
realPrecision=0.000000
medianValue=0.000000
reqLength=29
quantization_intervals=20000
pwrErrBoundBytes_size=48
radExpo=-5
-----------------------
timecost, 0.006315, seconds
done
input file size: 6080
output file size: 650
sz compression ratio, 9.35 
timecost, 0.003788, second
done
Max absolute error = 4.6193599700927734375E-07
Max relative error = 0.0059287592636863492568
Max pw_relative err = 9.8850118030229647048E-06
../model_comparison/inputdata/sample_1/sedov_p.dat, ../model_comparison/inputdata/sample_1/sedov_p.dat.sz.out, 760
size of double: 8
0.046749, 0.046749, -0.000000
0.046748, 0.046748, -0.000000
0.046748, 0.046747, -0.000000
0.046747, 0.046746, -0.000000
0.046746, 0.046746, 0.000000
0.046745, 0.046745, 0.000000
0.046743, 0.046744, 0.000000
0.046742, 0.046743, 0.000000
0.046749, 0.046749, 0.000000
0.046748, 0.046748, 0.000000
0.046747, 0.046747, 0.000000
0.046746, 0.046746, 0.000000
0.046745, 0.046745, 0.000000
0.046744, 0.046744, 0.000000
0.046742, 0.046742, 0.000000
0.046741, 0.046742, 0.000000
0.046748, 0.046748, -0.000000
0.046747, 0.046747, -0.000000
0.046746, 0.046746, -0.000000
0.046745, 0.046745, -0.000000
0.046744, 0.046744, -0.000000
0.046743, 0.046743, 0.000000
0.046742, 0.046741, -0.000000
0.046740, 0.046740, -0.000000
0.046748, 0.046748, 0.000000
0.046747, 0.046747, 0.000000
0.046746, 0.046746, 0.000000
0.046745, 0.046745, 0.000000
0.046743, 0.046744, 0.000000
0.046742, 0.046742, -0.000000
0.046741, 0.046741, 0.000000
0.046739, 0.046739, -0.000000
0.046747, 0.046747, -0.000000
0.046746, 0.046747, 0.000000
0.046745, 0.046745, -0.000000
0.046744, 0.046744, -0.000000
0.046743, 0.046743, -0.000000
0.046742, 0.046742, 0.000000
0.046740, 0.046740, -0.000000
0.046739, 0.046739, 0.000000
0.046740, 0.046740, -0.000000
0.046741, 0.046741, -0.000000
0.046741, 0.046741, -0.000000
0.046742, 0.046742, -0.000000
0.046742, 0.046742, 0.000000
0.046743, 0.046742, -0.000000
0.046743, 0.046743, 0.000000
0.046743, 0.046743, 0.000000
0.046740, 0.046740, -0.000000
0.046741, 0.046741, -0.000000
0.046741, 0.046741, 0.000000
0.046742, 0.046741, -0.000000
0.046742, 0.046742, 0.000000
0.046742, 0.046742, -0.000000
0.046743, 0.046743, 0.000000
0.046743, 0.046743, -0.000000
0.046740, 0.046739, -0.000000
0.046740, 0.046740, -0.000000
0.046741, 0.046741, 0.000000
0.046741, 0.046741, -0.000000
0.046742, 0.046742, 0.000000
0.046742, 0.046742, -0.000000
0.046743, 0.046743, 0.000000
0.046743, 0.046743, 0.000000
0.046740, 0.046740, 0.000000
0.046740, 0.046740, -0.000000
0.046741, 0.046741, 0.000000
0.046741, 0.046741, -0.000000
0.046742, 0.046742, 0.000000
0.046742, 0.046742, -0.000000
0.046742, 0.046742, -0.000000
0.046742, 0.046743, 0.000000
0.046739, 0.046740, 0.000000
0.046740, 0.046740, -0.000000
0.046740, 0.046741, 0.000000
0.046741, 0.046741, -0.000000
0.046741, 0.046742, 0.000000
0.046742, 0.046742, -0.000000
0.046742, 0.046741, -0.000000
0.046742, 0.046742, 0.000000
0.046730, 0.046730, 0.000000
0.046730, 0.046729, -0.000000
0.046730, 0.046730, 0.000000
0.046731, 0.046730, -0.000000
0.046732, 0.046732, -0.000000
0.046733, 0.046733, -0.000000
0.046734, 0.046734, -0.000000
0.046735, 0.046735, 0.000000
0.046733, 0.046733, -0.000000
0.046733, 0.046733, -0.000000
0.046733, 0.046733, 0.000000
0.046732, 0.046733, 0.000000
0.046732, 0.046732, -0.000000
0.046732, 0.046732, 0.000000
0.046731, 0.046732, 0.000000
0.046731, 0.046731, -0.000000
0.046733, 0.046734, 0.000000
0.046733, 0.046734, 0.000000
0.046733, 0.046733, -0.000000
0.046733, 0.046733, -0.000000
