current pwr_bound is 5e-0
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 6520
pwrLength=204
pwrErrBoundBytes_size=408
pw_relBoundRatio=5.000000
hit: 6518
miss: 0
length of statenum:65536
nodecount=3
treeByteSize=22
enCodeSize=815
-------insight of tdps
dataLength=6520
exactDataNum=2
realPrecision=4.750000
medianValue=0.000000
reqLength=12
quantization_intervals=20000
pwrErrBoundBytes_size=408
radExpo=-1
-----------------------
timecost, 0.004560, seconds
done
input file size: 52160
output file size: 196
sz compression ratio, 266.12 
timecost, 0.003832, second
done
Max absolute error = 0.5
Max relative error = 0.50000350002450011377
Max pw_relative err = 1.0197939810139367012
../model_comparison/inputdata/sample_10/astro.dat, ../model_comparison/inputdata/sample_10/astro.dat.sz.out, 6520
size of double: 8
0.999992, 0.500000, -0.499992
0.999992, 0.500000, -0.499992
0.999991, 0.500000, -0.499991
0.999991, 0.500000, -0.499991
0.999991, 0.500000, -0.499991
0.999991, 0.500000, -0.499991
0.999991, 0.500000, -0.499991
0.999991, 0.500000, -0.499991
0.999991, 0.500000, -0.499991
0.999990, 0.500000, -0.499990
0.999990, 0.500000, -0.499990
0.999990, 0.500000, -0.499990
0.999990, 0.500000, -0.499990
0.999990, 0.500000, -0.499990
0.999989, 0.500000, -0.499989
0.999989, 0.500000, -0.499989
0.999989, 0.500000, -0.499989
0.999989, 0.500000, -0.499989
0.999989, 0.500000, -0.499989
0.999988, 0.500000, -0.499988
0.999988, 0.500000, -0.499988
0.999988, 0.500000, -0.499988
0.999988, 0.500000, -0.499988
0.999987, 0.500000, -0.499987
0.999987, 0.500000, -0.499987
0.999987, 0.500000, -0.499987
0.999986, 0.500000, -0.499986
0.999986, 0.500000, -0.499986
0.999986, 0.500000, -0.499986
0.999986, 0.500000, -0.499986
0.999985, 0.500000, -0.499985
0.999985, 0.500000, -0.499985
0.999985, 0.500000, -0.499985
0.999984, 0.500000, -0.499984
0.999984, 0.500000, -0.499984
0.999984, 0.500000, -0.499984
0.999983, 0.500000, -0.499983
0.999983, 0.500000, -0.499983
0.999983, 0.500000, -0.499983
0.999982, 0.500000, -0.499982
0.999982, 0.500000, -0.499982
0.999982, 0.500000, -0.499982
0.999983, 0.500000, -0.499983
0.999983, 0.500000, -0.499983
0.999983, 0.500000, -0.499983
0.999984, 0.500000, -0.499984
0.999984, 0.500000, -0.499984
0.999985, 0.500000, -0.499985
0.999985, 0.500000, -0.499985
0.999985, 0.500000, -0.499985
0.999985, 0.500000, -0.499985
0.999986, 0.500000, -0.499986
0.999986, 0.500000, -0.499986
0.999986, 0.500000, -0.499986
0.999987, 0.500000, -0.499987
0.999987, 0.500000, -0.499987
