current pwr_bound is 5e-6
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 5560
pwrLength=174
pwrErrBoundBytes_size=348
pw_relBoundRatio=0.000005
hit: 5430
miss: 128
length of statenum:65536
nodecount=3755
treeByteSize=33796
enCodeSize=5885
-------insight of tdps
dataLength=5560
exactDataNum=130
realPrecision=0.000005
medianValue=0.000000
reqLength=30
quantization_intervals=20000
pwrErrBoundBytes_size=348
radExpo=0
-----------------------
timecost, 0.005266, seconds
done
input file size: 44480
output file size: 21998
sz compression ratio, 2.02 
timecost, 0.004618, second
done
Max absolute error = 4.9998613282919990297E-06
Max relative error = 8.4570417146635791641E-06
Max pw_relative err = 4.9440164340051987883E-06
../model_comparison/inputdata/sample_10/bump.dat, ../model_comparison/inputdata/sample_10/bump.dat.sz.out, 5560
size of double: 8
0.619296, 0.619295, -0.000001
0.653784, 0.653784, -0.000000
0.653784, 0.653785, 0.000001
0.653784, 0.653787, 0.000002
0.677486, 0.677487, 0.000000
0.677486, 0.677488, 0.000002
0.677486, 0.677484, -0.000003
0.693901, 0.693900, -0.000000
0.693901, 0.693902, 0.000001
0.693901, 0.693903, 0.000002
0.706171, 0.706171, -0.000000
0.706171, 0.706173, 0.000001
0.706171, 0.706174, 0.000003
0.715365, 0.715367, 0.000002
0.715365, 0.715362, -0.000003
0.715365, 0.715364, -0.000002
0.722633, 0.722631, -0.000002
0.722633, 0.722632, -0.000001
0.722633, 0.722634, 0.000001
0.728703, 0.728703, -0.000000
0.728703, 0.728704, 0.000001
0.728703, 0.728706, 0.000003
0.733906, 0.733905, -0.000001
0.733906, 0.733906, 0.000000
0.733906, 0.733907, 0.000002
0.738288, 0.738290, 0.000001
0.738288, 0.738291, 0.000003
0.738288, 0.738287, -0.000002
0.742537, 0.742538, 0.000001
0.742537, 0.742539, 0.000003
0.742537, 0.742535, -0.000002
0.746153, 0.746154, 0.000001
0.746153, 0.746152, -0.000001
0.746153, 0.746150, -0.000003
0.749860, 0.749858, -0.000002
0.749860, 0.749863, 0.000003
0.749860, 0.749861, 0.000001
0.753369, 0.753370, 0.000001
0.753369, 0.753368, -0.000001
0.753369, 0.753366, -0.000003
0.806376, 0.806379, 0.000003
0.806376, 0.806377, 0.000001
0.810119, 0.810122, 0.000003
0.810119, 0.810120, 0.000001
0.810119, 0.810117, -0.000001
0.813954, 0.813951, -0.000002
0.813954, 0.813956, 0.000003
0.813954, 0.813954, 0.000001
0.817763, 0.817766, 0.000003
0.817763, 0.817764, 0.000001
0.817763, 0.817762, -0.000001
0.821310, 0.821307, -0.000003
0.821310, 0.821312, 0.000002
0.821310, 0.821310, -0.000000
0.824831, 0.824834, 0.000003
0.824831, 0.824831, 0.000001
0.824831, 0.824829, -0.000001
0.828379, 0.828382, 0.000003
0.828379, 0.828380, 0.000001
0.828379, 0.828378, -0.000001
0.831891, 0.831894, 0.000003
0.831891, 0.831892, 0.000001
0.831891, 0.831890, -0.000001
0.835091, 0.835088, -0.000004
0.835091, 0.835092, 0.000001
0.835091, 0.835088, -0.000003
0.838175, 0.838173, -0.000002
0.838175, 0.838177, 0.000003
0.838175, 0.838173, -0.000001
0.841390, 0.841388, -0.000002
0.841390, 0.841392, 0.000002
0.841390, 0.841388, -0.000002
0.844532, 0.844530, -0.000002
0.844532, 0.844534, 0.000002
0.844532, 0.844530, -0.000001
0.847289, 0.847291, 0.000002
0.847289, 0.847287, -0.000002
0.847289, 0.847291, 0.000002
0.849704, 0.849703, -0.000001
0.849704, 0.849707, 0.000003
0.891505, 0.891507, 0.000002
0.891505, 0.891503, -0.000002
0.891505, 0.891508, 0.000003
0.897821, 0.897819, -0.000003
0.897821, 0.897823, 0.000001
0.897821, 0.897819, -0.000002
0.904444, 0.904446, 0.000003
0.904444, 0.904442, -0.000001
0.904444, 0.904447, 0.000003
0.911096, 0.911098, 0.000002
0.911096, 0.911094, -0.000002
0.911096, 0.911098, 0.000002
0.917549, 0.917547, -0.000002
0.917549, 0.917552, 0.000002
0.917549, 0.917548, -0.000002
0.923586, 0.923583, -0.000003
0.923586, 0.923587, 0.000002
0.923586, 0.923584, -0.000002
0.928984, 0.928987, 0.000002
