current pwr_bound is 5e-0
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 2040
pwrLength=64
pwrErrBoundBytes_size=128
pw_relBoundRatio=5.000000
hit: 2038
miss: 0
length of statenum:65536
nodecount=185
treeByteSize=1296
enCodeSize=853
-------insight of tdps
dataLength=2040
exactDataNum=2
realPrecision=0.656250
medianValue=0.000000
reqLength=17
quantization_intervals=20000
pwrErrBoundBytes_size=128
radExpo=6
-----------------------
timecost, 0.004113, seconds
done
input file size: 16320
output file size: 1660
sz compression ratio, 9.83 
timecost, 0.003799, second
done
Max absolute error = 16.53852526598738848
Max relative error = 0.13729209377269613324
Max pw_relative err = 4.9006365160140141768
../model_comparison/inputdata/sample_10/dpot.dat, ../model_comparison/inputdata/sample_10/dpot.dat.sz.out, 2040
size of double: 8
23.711977, 23.500000, -0.211977
22.353690, 22.000000, -0.353690
18.947618, 20.500000, 1.552382
11.847015, 12.000000, 0.152985
5.801209, 3.500000, -2.301209
5.079766, 2.000000, -3.079766
6.413643, 7.500000, 1.086357
7.002142, 6.000000, -1.002142
5.366651, 4.500000, -0.866651
2.124963, 3.000000, 0.875037
-2.009706, -5.500000, -3.490294
-8.125345, -7.000000, 1.125345
-13.989339, -15.500000, -1.510661
-14.521848, -17.000000, -2.478152
-10.321462, -11.500000, -1.178538
-6.716421, -6.000000, 0.716421
-4.405727, -7.500000, -3.094273
0.712774, -2.000000, -2.712774
6.083452, 3.500000, -2.583452
4.436652, 2.000000, -2.436652
-1.367246, 0.500000, 1.867246
-3.197159, -1.000000, 2.197159
-4.170788, -2.500000, 1.670788
-5.323967, -4.000000, 1.323967
-1.226969, 1.500000, 2.726969
2.729098, 0.000000, -2.729098
2.881998, 5.500000, 2.618002
-5.950155, -3.000000, 2.950155
-11.276640, -11.500000, -0.223360
-16.195011, -13.000000, 3.195011
-25.542133, -28.500000, -2.957867
-33.175469, -30.000000, 3.175469
-31.275124, -31.500000, -0.224876
-23.818913, -23.500000, 0.318913
-15.039447, -15.500000, -0.460553
-5.631662, -7.500000, -1.868338
2.543720, 0.500000, -2.043720
8.963656, 8.500000, -0.463656
11.760676, 11.750000, -0.010676
11.254003, 10.250000, -1.004003
12.184466, 13.500000, 1.315534
17.166640, 16.750000, -0.416640
15.124365, 15.250000, 0.125635
6.807106, 9.000000, 2.192894
-0.481193, -2.000000, -1.518807
-7.612863, -8.250000, -0.637137
-14.907617, -14.500000, 0.407617
-16.383307, -16.000000, 0.383307
-9.731734, -8.000000, 1.731734
1.155299, 0.000000, -1.155299
13.417157, 12.750000, -0.667157
22.723028, 20.750000, -1.973028
28.501099, 28.750000, 0.248901
35.504793, 36.750000, 1.245207
47.117604, 44.750000, -2.367604
54.734487, 52.750000, -1.984487
53.498187, 51.250000, -2.248187
45.655828, 45.000000, -0.655828
39.747633, 38.750000, -0.997633
38.158916, 37.250000, -0.908916
33.752803, 35.750000, 1.997197
28.377893, 29.500000, 1.122107
29.228535, 28.000000, -1.228535
31.644007, 31.250000, -0.394007
26.876212, 25.500000, -1.376212
20.495205, 19.750000, -0.745205
24.040410, 23.000000, -1.040410
27.580962, 26.250000, -1.330962
21.143367, 20.500000, -0.643367
14.419119, 14.750000, 0.330881
13.719864, 15.000000, 1.280136
21.396185, 21.250000, -0.146185
34.519271, 33.500000, -1.019271
35.675576, 36.750000, 1.074424
23.893980, 25.000000, 1.106020
16.329936, 16.250000, -0.079936
12.642732, 13.500000, 0.857268
5.037842, 4.750000, -0.287842
-4.925719, -4.000000, 0.925719
-13.847731, -12.750000, 1.097731
17.080312, 17.500000, 0.419688
34.339050, 35.750000, 1.410950
45.450411, 45.000000, -0.450411
37.116837, 36.250000, -0.866837
25.159591, 24.500000, -0.659591
21.927995, 21.750000, -0.177995
21.429736, 22.000000, 0.570264
13.760294, 13.250000, -0.510294
2.104586, 1.500000, -0.604586
-4.769660, -4.250000, 0.519660
-0.308234, -1.000000, -0.691766
12.677624, 11.250000, -1.427624
19.722768, 20.500000, 0.777232
20.983087, 20.750000, -0.233087
24.205697, 24.000000, -0.205697
20.294583, 21.250000, 0.955417
6.020741, 7.500000, 1.479259
-7.843651, -6.250000, 1.593651
-15.645503, -14.500000, 1.145503
-17.954181, -17.250000, 0.704181
-19.389864, -20.000000, -0.610136
-23.533078, -22.750000, 0.783078
-29.258612, -31.000000, -1.741388
-30.852253, -28.250000, 2.602253
-24.094064, -25.500000, -1.405936
-13.484793, -11.750000, 1.734793
0.558342, 2.000000, 1.441658
19.131748, 21.250000, 2.118252
25.773138, 24.000000, -1.773138
12.712311, 10.250000, -2.462311
