current pwr_bound is 1e-2
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 28240
pwrLength=883
pwrErrBoundBytes_size=1766
pw_relBoundRatio=0.010000
hit: 28164
miss: 74
length of statenum:65536
nodecount=5837
treeByteSize=52534
enCodeSize=32710
-------insight of tdps
dataLength=28240
exactDataNum=76
realPrecision=0.031250
medianValue=0.000000
reqLength=29
quantization_intervals=20000
pwrErrBoundBytes_size=1766
radExpo=28
-----------------------
timecost, 0.008315, seconds
done
input file size: 225920
output file size: 58332
sz compression ratio, 3.87 
timecost, 0.005387, second
done
Max absolute error = 68508
Max relative error = 0.00021407144678441323541
Max pw_relative err = 0.0099705841184621283452
../model_comparison/inputdata/sample_10/eddy.dat, ../model_comparison/inputdata/sample_10/eddy.dat.sz.out, 28240
size of double: 8
866937.000000, 866936.000000, -1.000000
1689600.000000, 1689600.000000, 0.000000
2093610.000000, 2094472.000000, 862.000000
25102000.000000, 25103632.000000, 1632.000000
600813.000000, 597656.000000, -3157.000000
705818.000000, 706592.000000, 774.000000
523036.000000, 519592.000000, -3444.000000
1961820.000000, 1960240.000000, -1580.000000
445573.000000, 441528.000000, -4045.000000
67582400.000000, 67579968.000000, -2432.000000
813786.000000, 813784.000000, -2.000000
2473170.000000, 2469744.000000, -3426.000000
3080080.000000, 3081224.000000, 1144.000000
2302010.000000, 2300064.000000, -1946.000000
1480960.000000, 1484088.000000, 3128.000000
43393800.000000, 43396048.000000, 2248.000000
40914900.000000, 40917608.000000, 2708.000000
2081890.000000, 2082560.000000, 670.000000
2617840.000000, 2615704.000000, -2136.000000
1870340.000000, 1869360.000000, -980.000000
1400600.000000, 1401544.000000, 944.000000
2681800.000000, 2683232.000000, 1432.000000
2399810.000000, 2398200.000000, -1610.000000
441923.000000, 442000.000000, 77.000000
984140.000000, 983848.000000, -292.000000
5034990.000000, 5033408.000000, -1582.000000
1637420.000000, 1641048.000000, 3628.000000
1157020.000000, 1155824.000000, -1196.000000
2212290.000000, 2211208.000000, -1082.000000
731211.000000, 733728.000000, 2517.000000
1734650.000000, 1736888.000000, 2238.000000
1064700.000000, 1068880.000000, 4180.000000
1444070.000000, 1445352.000000, 1282.000000
2462500.000000, 2459264.000000, -3236.000000
13602000.000000, 13603096.000000, 1096.000000
5348610.000000, 5347248.000000, -1362.000000
3565810.000000, 3565640.000000, -170.000000
2682360.000000, 2682592.000000, 232.000000
9894950.000000, 9894264.000000, -686.000000
3917770.000000, 3919376.000000, 1606.000000
2573700.000000, 2575528.000000, 1828.000000
2874910.000000, 2875200.000000, 290.000000
55698100.000000, 55698392.000000, 292.000000
386871.000000, 386870.000000, -1.000000
817438.000000, 816788.000000, -650.000000
2927150.000000, 2928626.000000, 1476.000000
613830.000000, 616784.000000, 2954.000000
2495320.000000, 2498222.000000, 2902.000000
1353170.000000, 1353740.000000, 570.000000
5218730.000000, 5216618.000000, -2112.000000
10402300.000000, 10400456.000000, -1844.000000
2685490.000000, 2681894.000000, -3596.000000
989199.000000, 992132.000000, 2933.000000
14080400.000000, 14078690.000000, -1710.000000
11704700.000000, 11705408.000000, 708.000000
804450.000000, 807326.000000, 2876.000000
3784900.000000, 3787004.000000, 2104.000000
702657.000000, 699482.000000, -3175.000000
1030790.000000, 1029560.000000, -1230.000000
1706280.000000, 1705238.000000, -1042.000000
1950260.000000, 1950836.000000, 576.000000
849438.000000, 852434.000000, 2996.000000
2921890.000000, 2918192.000000, -3698.000000
911064.000000, 913550.000000, 2486.000000
849309.000000, 850412.000000, 1103.000000
883615.000000, 885578.000000, 1963.000000
11198400.000000, 11193512.000000, -4888.000000
952727.000000, 955910.000000, 3183.000000
2894610.000000, 2895716.000000, 1106.000000
825757.000000, 829634.000000, 3877.000000
1271130.000000, 1270304.000000, -826.000000
1072810.000000, 1071998.000000, -812.000000
3587610.000000, 3589340.000000, 1730.000000
53457600.000000, 53452346.000000, -5254.000000
1227510.000000, 1226648.000000, -862.000000
32655100.000000, 32657654.000000, 2554.000000
889044.000000, 891476.000000, 2432.000000
2021880.000000, 2020274.000000, -1606.000000
1208150.000000, 1207568.000000, -582.000000
1935900.000000, 1930862.000000, -5038.000000
1359650.000000, 1363916.000000, 4266.000000
9660280.000000, 9656618.000000, -3662.000000
1549620.000000, 1544840.000000, -4780.000000
3083530.000000, 3079142.000000, -4388.000000
1514010.000000, 1516868.000000, 2858.000000
1364670.000000, 1367714.000000, 3044.000000
1817160.000000, 1820672.000000, 3512.000000
2194590.000000, 2199902.000000, 5312.000000
614859.000000, 613052.000000, -1807.000000
1487290.000000, 1483802.000000, -3488.000000
802470.000000, 806264.000000, 3794.000000
3039190.000000, 3040982.000000, 1792.000000
3185560.000000, 3186740.000000, 1180.000000
1595580.000000, 1599890.000000, 4310.000000
1692790.000000, 1696496.000000, 3706.000000
1386380.000000, 1387598.000000, 1218.000000
3559740.000000, 3552684.000000, -7056.000000
2618440.000000, 2621194.000000, 2754.000000
12209300.000000, 12208232.000000, -1068.000000
4316240.000000, 4313542.000000, -2698.000000
1326390.000000, 1334052.000000, 7662.000000
18721500.000000, 18719874.000000, -1626.000000
3466620.000000, 3468768.000000, 2148.000000
5498470.000000, 5502782.000000, 4312.000000
2641930.000000, 2637980.000000, -3950.000000
6661440.000000, 6654458.000000, -6982.000000
1535960.000000, 1528664.000000, -7296.000000
3391150.000000, 3398838.000000, 7688.000000
1440750.000000, 1435156.000000, -5594.000000
3853290.000000, 3846002.000000, -7288.000000
1039290.000000, 1046736.000000, 7446.000000
1016320.000000, 1016366.000000, 46.000000
6166300.000000, 6163340.000000, -2960.000000
8594430.000000, 8590570.000000, -3860.000000
19114100.000000, 19111496.000000, -2604.000000
1965640.000000, 1959846.000000, -5794.000000
2849000.000000, 2846980.000000, -2020.000000
33351500.000000, 33356386.000000, 4886.000000
1047850.000000, 1049536.000000, 1686.000000
1502140.000000, 1494302.000000, -7838.000000
5333500.000000, 5330556.000000, -2944.000000
10957500.000000, 10952666.000000, -4834.000000
2023920.000000, 2025784.000000, 1864.000000
2768050.000000, 2765462.000000, -2588.000000
845475.000000, 850932.000000, 5457.000000
1071340.000000, 1066322.000000, -5018.000000
19493100.000000, 19500720.000000, 7620.000000
935312.000000, 940046.000000, 4734.000000
2403380.000000, 2400620.000000, -2760.000000
840945.000000, 838346.000000, -2599.000000
416284.000000, 414760.000000, -1524.000000
2071010.000000, 2071942.000000, 932.000000
16226200.000000, 16230116.000000, 3916.000000
1071460.000000, 1069122.000000, -2338.000000
9990770.000000, 9992608.000000, 1838.000000
8337330.000000, 8340222.000000, 2892.000000
1092590.000000, 1092700.000000, 110.000000
23348900.000000, 23352762.000000, 3862.000000
5716000.000000, 5717784.000000, 1784.000000
23853800.000000, 23857270.000000, 3470.000000
6850860.000000, 6853076.000000, 2216.000000
1568390.000000, 1571634.000000, 3244.000000
7714240.000000, 7718032.000000, 3792.000000
1822920.000000, 1822190.000000, -730.000000
1193490.000000, 1193804.000000, 314.000000
17352200.000000, 17350826.000000, -1374.000000
24254500.000000, 24250888.000000, -3612.000000
840065.000000, 840550.000000, 485.000000
607459.000000, 605380.000000, -2079.000000
613395.000000, 615970.000000, 2575.000000
2742610.000000, 2740096.000000, -2514.000000
3285970.000000, 3283166.000000, -2804.000000
5945470.000000, 5947964.000000, 2494.000000
9729550.000000, 9726874.000000, -2676.000000
36742900.000000, 36746488.000000, 3588.000000
99370900.000000, 99368534.000000, -2366.000000
5905520.000000, 5905472.000000, -48.000000
10600900.000000, 10600832.000000, -68.000000
83794000.000000, 83797696.000000, 3696.000000
5605050.000000, 5604992.000000, -58.000000
948939.000000, 954432.000000, 5493.000000
1411710.000000, 1411584.000000, -126.000000
27492700.000000, 27496384.000000, 3684.000000
3054650.000000, 3053440.000000, -1210.000000
4413040.000000, 4416320.000000, 3280.000000
1539220.000000, 1532672.000000, -6548.000000
2119570.000000, 2123456.000000, 3886.000000
903284.000000, 902784.000000, -500.000000
1687180.000000, 1686592.000000, -588.000000
4559570.000000, 4563968.000000, 4398.000000
3614810.000000, 3610560.000000, -4250.000000
2435640.000000, 2434432.000000, -1208.000000
6093640.000000, 6098752.000000, 5112.000000
3795660.000000, 3794176.000000, -1484.000000
1614520.000000, 1608384.000000, -6136.000000
62416600.000000, 62422656.000000, 6056.000000
5909860.000000, 5908032.000000, -1828.000000
9881300.000000, 9884160.000000, 2860.000000
1312060.000000, 1313728.000000, 1668.000000
13682000.000000, 13678976.000000, -3024.000000
766179.000000, 772928.000000, 6749.000000
1322930.000000, 1319168.000000, -3762.000000
33729600.000000, 33729216.000000, -384.000000
7412750.000000, 7415424.000000, 2674.000000
957907.000000, 953408.000000, -4499.000000
2288150.000000, 2286592.000000, -1558.000000
1187980.000000, 1184704.000000, -3276.000000
1718700.000000, 1716096.000000, -2604.000000
8090020.000000, 8082752.000000, -7268.000000
1715220.000000, 1709824.000000, -5396.000000
1745120.000000, 1751232.000000, 6112.000000
4779500.000000, 4777088.000000, -2412.000000
1201210.000000, 1198144.000000, -3066.000000
18280000.000000, 18278400.000000, -1600.000000
679104.000000, 683456.000000, 4352.000000
8401190.000000, 8406912.000000, 5722.000000
1150130.000000, 1154368.000000, 4238.000000
6869740.000000, 6868224.000000, -1516.000000
9506900.000000, 9510080.000000, 3180.000000
911076.000000, 913536.000000, 2460.000000
6989150.000000, 6985792.000000, -3358.000000
2026160.000000, 2024448.000000, -1712.000000
14596300.000000, 14599104.000000, 2804.000000
4054120.000000, 4056960.000000, 2840.000000
1506530.000000, 1502016.000000, -4514.000000
1315800.000000, 1315072.000000, -728.000000
3000010.000000, 2996928.000000, -3082.000000
4302360.000000, 4307584.000000, 5224.000000
1361860.000000, 1355840.000000, -6020.000000
1905420.000000, 1911296.000000, 5876.000000
4424080.000000, 4425152.000000, 1072.000000
3530860.000000, 3534208.000000, 3348.000000
7705840.000000, 7712064.000000, 6224.000000
3916990.000000, 3915520.000000, -1470.000000
641088.000000, 643776.000000, 2688.000000
2902510.000000, 2901632.000000, -878.000000
1399860.000000, 1396288.000000, -3572.000000
2336270.000000, 2335744.000000, -526.000000
708076.000000, 702400.000000, -5676.000000
5203610.000000, 5200256.000000, -3354.000000
643643.000000, 648512.000000, 4869.000000
2720630.000000, 2714368.000000, -6262.000000
1795450.000000, 1797824.000000, 2374.000000
689113.000000, 689280.000000, 167.000000
6233070.000000, 6236736.000000, 3666.000000
1941170.000000, 1943552.000000, 2382.000000
3365670.000000, 3364288.000000, -1382.000000
1017360.000000, 1016704.000000, -656.000000
810253.000000, 809280.000000, -973.000000
532231.000000, 530176.000000, -2055.000000
6824800.000000, 6825152.000000, 352.000000
4646380.000000, 4641408.000000, -4972.000000
1341460.000000, 1341504.000000, 44.000000
1703880.000000, 1707520.000000, 3640.000000
3790660.000000, 3793856.000000, 3196.000000
29215100.000000, 29217152.000000, 2052.000000
717439.000000, 716608.000000, -831.000000
1457010.000000, 1461504.000000, 4494.000000
698758.000000, 701120.000000, 2362.000000
4631630.000000, 4630656.000000, -974.000000
1028980.000000, 1033792.000000, 4812.000000
1106780.000000, 1102848.000000, -3932.000000
1590770.000000, 1591744.000000, 974.000000
1451480.000000, 1456000.000000, 4520.000000
3140930.000000, 3142976.000000, 2046.000000
863828.000000, 867072.000000, 3244.000000
10538200.000000, 10541248.000000, 3048.000000
1031260.000000, 1035904.000000, 4644.000000
4661430.000000, 4658240.000000, -3190.000000
1225490.000000, 1225216.000000, -274.000000
830630.000000, 833472.000000, 2842.000000
2660080.000000, 2663808.000000, 3728.000000
2099230.000000, 2097984.000000, -1246.000000
5809450.000000, 5812480.000000, 3030.000000
1027940.000000, 1027776.000000, -164.000000
635032.000000, 636032.000000, 1000.000000
312872.000000, 311872.000000, -1000.000000
1770600.000000, 1769472.000000, -1128.000000
923357.000000, 923072.000000, -285.000000
912545.000000, 912256.000000, -289.000000
9676630.000000, 9675072.000000, -1558.000000
3013500.000000, 3016448.000000, 2948.000000
5611820.000000, 5610688.000000, -1132.000000
3039170.000000, 3037824.000000, -1346.000000
1815860.000000, 1816640.000000, 780.000000
718238.000000, 718336.000000, 98.000000
8015010.000000, 8012736.000000, -2274.000000
23755700.000000, 23755136.000000, -564.000000
1995240.000000, 1994560.000000, -680.000000
1165470.000000, 1166592.000000, 1122.000000
357624.000000, 357056.000000, -568.000000
1648680.000000, 1648768.000000, 88.000000
2376860.000000, 2375232.000000, -1628.000000
6767880.000000, 6769664.000000, 1784.000000
438937.000000, 436672.000000, -2265.000000
2013030.000000, 2011008.000000, -2022.000000
1758470.000000, 1760576.000000, 2106.000000
6947520.000000, 6947584.000000, 64.000000
16742900.000000, 16742592.000000, -308.000000
35114200.000000, 35114624.000000, 424.000000
3223050.000000, 3222592.000000, -458.000000
5642530.000000, 5644800.000000, 2270.000000
5408370.000000, 5406656.000000, -1714.000000
1307390.000000, 1310080.000000, 2690.000000
9213790.000000, 9212736.000000, -1054.000000
2194100.000000, 2191616.000000, -2484.000000
1568300.000000, 1566400.000000, -1900.000000
1655410.000000, 1653888.000000, -1522.000000
1838950.000000, 1842752.000000, 3802.000000
1609100.000000, 1603584.000000, -5516.000000
3134510.000000, 3132864.000000, -1646.000000
765092.000000, 764800.000000, -292.000000
1561620.000000, 1561920.000000, 300.000000
2720780.000000, 2719488.000000, -1292.000000
12114400.000000, 12111040.000000, -3360.000000
1364270.000000, 1362560.000000, -1710.000000
8231240.000000, 8230976.000000, -264.000000
4995320.000000, 4995584.000000, 264.000000
4696370.000000, 4700096.000000, 3726.000000
856221.000000, 856448.000000, 227.000000
1190660.000000, 1191744.000000, 1084.000000
2922550.000000, 2923776.000000, 1226.000000
2537860.000000, 2538176.000000, 316.000000
3800400.000000, 3797120.000000, -3280.000000
965251.000000, 967232.000000, 1981.000000
1212090.000000, 1212416.000000, 326.000000
1047430.000000, 1052096.000000, 4666.000000
2207790.000000, 2209664.000000, 1874.000000
924958.000000, 922944.000000, -2014.000000
751361.000000, 751360.000000, -1.000000
568541.000000, 568512.000000, -29.000000
3300620.000000, 3303040.000000, 2420.000000
2178540.000000, 2174016.000000, -4524.000000
3843890.000000, 3838464.000000, -5426.000000
20762900.000000, 20765632.000000, 2732.000000
694451.000000, 690560.000000, -3891.000000
2902620.000000, 2906944.000000, 4324.000000
1793240.000000, 1789184.000000, -4056.000000
2544170.000000, 2541248.000000, -2922.000000
3188190.000000, 3191936.000000, 3746.000000
800590.000000, 797760.000000, -2830.000000
21353900.000000, 21351936.000000, -1964.000000
18439700.000000, 18442176.000000, 2476.000000
6110360.000000, 6105984.000000, -4376.000000
2501980.000000, 2505536.000000, 3556.000000
1082130.000000, 1084160.000000, 2030.000000
944465.000000, 946880.000000, 2415.000000
1265510.000000, 1266816.000000, 1306.000000
2582160.000000, 2579008.000000, -3152.000000
1507550.000000, 1507840.000000, 290.000000
9891680.000000, 9892288.000000, 608.000000
11430300.000000, 11428224.000000, -2076.000000
2214870.000000, 2214720.000000, -150.000000
707248.000000, 705792.000000, -1456.000000
103392000.000000, 103391232.000000, -768.000000
499716.000000, 499716.000000, 0.000000
1380860.000000, 1380848.000000, -12.000000
960867.000000, 958428.000000, -2439.000000
3119400.000000, 3123656.000000, 4256.000000
2445090.000000, 2448308.000000, 3218.000000
3241780.000000, 3241888.000000, 108.000000
1470200.000000, 1467276.000000, -2924.000000
5168260.000000, 5169528.000000, 1268.000000
12546600.000000, 12548964.000000, 2364.000000
29882300.000000, 29880144.000000, -2156.000000
1382850.000000, 1382716.000000, -134.000000
1561670.000000, 1563432.000000, 1762.000000
1031720.000000, 1034004.000000, 2284.000000
2979150.000000, 2975488.000000, -3662.000000
2802830.000000, 2805996.000000, 3166.000000
1384980.000000, 1381592.000000, -3388.000000
2010100.000000, 2009796.000000, -304.000000
155473000.000000, 155466928.000000, -6072.000000
6350060.000000, 6349952.000000, -108.000000
1481590.000000, 1481808.000000, 218.000000
2803410.000000, 2806816.000000, 3406.000000
