current pwr_bound is 1e-1
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 9680
pwrLength=303
pwrErrBoundBytes_size=606
pw_relBoundRatio=0.100000
hit: 9678
miss: 0
length of statenum:65536
nodecount=39
treeByteSize=274
enCodeSize=2544
-------insight of tdps
dataLength=9680
exactDataNum=2
realPrecision=9728.000000
medianValue=0.000000
reqLength=16
quantization_intervals=20000
pwrErrBoundBytes_size=606
radExpo=17
-----------------------
timecost, 0.004355, seconds
done
input file size: 77440
output file size: 1592
sz compression ratio, 48.64 
timecost, 0.003921, second
done
Max absolute error = 10225.2578125
Max relative error = 0.066073177429874743738
Max pw_relative err = 0.099497396434542570431
../model_comparison/inputdata/sample_10/yf17_p.dat, ../model_comparison/inputdata/sample_10/yf17_p.dat.sz.out, 9680
size of double: 8
103847.742188, 102400.000000, -1447.742188
91475.312500, 90112.000000, -1363.312500
86449.921875, 94208.000000, 7758.078125
92992.875000, 98304.000000, 5311.125000
92884.718750, 86016.000000, -6868.718750
110641.007812, 106496.000000, -4145.007812
96102.039062, 94208.000000, -1894.039062
101335.406250, 98304.000000, -3031.406250
101334.882812, 102400.000000, 1065.117188
101323.304688, 106496.000000, 5172.695312
101324.867188, 94208.000000, -7116.867188
101336.046875, 98304.000000, -3032.046875
101335.226562, 102400.000000, 1064.773438
101323.140625, 106496.000000, 5172.859375
101325.062500, 94208.000000, -7117.062500
105531.546875, 98304.000000, -7227.546875
104772.148438, 102400.000000, -2372.148438
106299.265625, 106496.000000, 196.734375
107916.289062, 110592.000000, 2675.710938
107069.421875, 114688.000000, 7618.578125
107960.656250, 102400.000000, -5560.656250
107757.312500, 106496.000000, -1261.312500
108154.656250, 110592.000000, 2437.343750
107663.929688, 114688.000000, 7024.070312
108515.671875, 102400.000000, -6115.671875
109773.062500, 106496.000000, -3277.062500
109448.601562, 110592.000000, 1143.398438
110380.539062, 114688.000000, 4307.460938
112177.710938, 118784.000000, 6606.289062
115638.625000, 122880.000000, 7241.375000
120419.375000, 126976.000000, 6556.625000
126535.101562, 131072.000000, 4536.898438
131016.812500, 135168.000000, 4151.187500
142830.437500, 139264.000000, -3566.437500
153348.187500, 162816.000000, 9467.812500
143320.359375, 147456.000000, 4135.640625
162522.078125, 171008.000000, 8485.921875
115525.843750, 116736.000000, 1210.156250
135572.296875, 140288.000000, 4715.703125
155640.015625, 163840.000000, 8199.984375
99474.921875, 90112.000000, -9362.921875
98562.132812, 94208.000000, -4354.132812
100090.804688, 98304.000000, -1786.804688
100179.828125, 102400.000000, 2220.171875
98465.859375, 106496.000000, 8030.140625
99180.843750, 91136.000000, -8044.843750
100228.351562, 95232.000000, -4996.351562
98745.554688, 99328.000000, 582.445312
98730.820312, 103424.000000, 4693.179688
98572.375000, 107520.000000, 8947.625000
98386.054688, 92160.000000, -6226.054688
99856.601562, 96256.000000, -3600.601562
99390.820312, 100352.000000, 961.179688
98173.054688, 104448.000000, 6274.945312
98178.703125, 89088.000000, -9090.703125
99133.015625, 93184.000000, -5949.015625
99008.289062, 97280.000000, -1728.289062
100236.109375, 101376.000000, 1139.890625
100083.367188, 105472.000000, 5388.632812
98940.640625, 90112.000000, -8828.640625
98975.109375, 94208.000000, -4767.109375
99894.085938, 98304.000000, -1590.085938
98672.648438, 102400.000000, 3727.351562
98897.578125, 106496.000000, 7598.421875
98634.109375, 91136.000000, -7498.109375
99262.109375, 95232.000000, -4030.109375
100162.789062, 99328.000000, -834.789062
100264.171875, 103424.000000, 3159.828125
101078.882812, 107520.000000, 6441.117188
98892.695312, 92160.000000, -6732.695312
100231.085938, 96256.000000, -3975.085938
98851.296875, 100352.000000, 1500.703125
99211.843750, 104448.000000, 5236.156250
100050.968750, 108544.000000, 8493.031250
100606.492188, 93184.000000, -7422.492188
100603.460938, 97280.000000, -3323.460938
99992.554688, 101376.000000, 1383.445312
100847.351562, 105472.000000, 4624.648438
100397.101562, 109568.000000, 9170.898438
99236.617188, 94208.000000, -5028.617188
104361.164062, 98304.000000, -6057.164062
102712.289062, 102400.000000, -312.289062
106482.796875, 106496.000000, 13.203125
104714.093750, 110592.000000, 5877.906250
102858.000000, 95232.000000, -7626.000000
101642.179688, 99328.000000, -2314.179688
104884.031250, 103424.000000, -1460.031250
107486.367188, 107520.000000, 33.632812
99400.523438, 92160.000000, -7240.523438
103577.562500, 96256.000000, -7321.562500
101233.062500, 100352.000000, -881.062500
107658.328125, 104448.000000, -3210.328125
105098.320312, 108544.000000, 3445.679688
103861.359375, 112640.000000, 8778.640625
107292.500000, 116736.000000, 9443.500000
106731.289062, 101376.000000, -5355.289062
106881.492188, 103424.000000, -3457.492188
100812.234375, 105472.000000, 4659.765625
102237.195312, 107520.000000, 5282.804688
105388.773438, 109568.000000, 4179.226562
107113.718750, 111616.000000, 4502.281250
107902.500000, 113664.000000, 5761.500000
104107.203125, 98304.000000, -5803.203125
105592.773438, 100352.000000, -5240.773438
107759.648438, 102400.000000, -5359.648438
101905.492188, 104448.000000, 2542.507812
102587.421875, 106496.000000, 3908.578125
104372.750000, 108544.000000, 4171.250000
103351.671875, 110592.000000, 7240.328125
100948.703125, 95232.000000, -5716.703125
103115.890625, 97280.000000, -5835.890625
104665.546875, 99328.000000, -5337.546875
105812.960938, 101376.000000, -4436.960938
107929.265625, 103424.000000, -4505.265625
107879.710938, 105472.000000, -2407.710938
104965.476562, 107520.000000, 2554.523438
106102.531250, 109568.000000, 3465.468750
105282.281250, 111616.000000, 6333.718750
103704.679688, 96256.000000, -7448.679688
102225.203125, 98304.000000, -3921.203125
92827.460938, 100352.000000, 7524.539062
92312.687500, 84992.000000, -7320.687500
92520.203125, 87040.000000, -5480.203125
93032.296875, 89088.000000, -3944.296875
92818.195312, 91136.000000, -1682.195312
93107.289062, 93184.000000, 76.710938
92593.531250, 95232.000000, 2638.468750
91521.460938, 97280.000000, 5758.539062
93035.140625, 99328.000000, 6292.859375
91787.250000, 88576.000000, -3211.250000
90740.890625, 90624.000000, -116.890625
91026.968750, 92672.000000, 1645.031250
92304.085938, 94720.000000, 2415.914062
106006.132812, 109568.000000, 3561.867188
82814.992188, 86016.000000, 3201.007812
89012.062500, 88064.000000, -948.062500
86947.656250, 90112.000000, 3164.343750
84373.906250, 79360.000000, -5013.906250
81600.781250, 81408.000000, -192.781250
79794.312500, 83456.000000, 3661.687500
77056.757812, 72704.000000, -4352.757812
73294.914062, 74752.000000, 1457.085938
69465.734375, 64000.000000, -5465.734375
114012.695312, 117248.000000, 3235.304688
128396.601562, 132096.000000, 3699.398438
67254.132812, 70144.000000, 2889.867188
64468.367188, 59392.000000, -5076.367188
66001.937500, 61440.000000, -4561.937500
65648.312500, 63488.000000, -2160.312500
65660.953125, 65536.000000, -124.953125
136255.296875, 131584.000000, -4671.296875
139712.187500, 133632.000000, -6080.187500
136349.453125, 135680.000000, -669.453125
155413.750000, 150528.000000, -4885.750000
138462.656250, 139776.000000, 1313.343750
145705.468750, 141824.000000, -3881.468750
157847.250000, 156672.000000, -1175.250000
138802.609375, 133120.000000, -5682.609375
141605.203125, 147968.000000, 6362.796875
161599.562500, 162816.000000, 1216.437500
88199.203125, 90624.000000, 2424.796875
136164.375000, 140288.000000, 4123.625000
90622.500000, 85504.000000, -5118.500000
133455.109375, 135168.000000, 1712.890625
131803.625000, 132608.000000, 804.375000
131010.289062, 130048.000000, -962.289062
88172.718750, 92672.000000, 4499.281250
90829.250000, 90112.000000, -717.250000
135006.343750, 139776.000000, 4769.656250
93579.992188, 84992.000000, -8587.992188
94322.242188, 99840.000000, 5517.757812
130567.171875, 132096.000000, 1528.828125
131148.000000, 129536.000000, -1612.000000
91184.281250, 92160.000000, 975.718750
88216.351562, 89600.000000, 1383.648438
133547.656250, 139264.000000, 5716.343750
94252.210938, 101888.000000, 7635.789062
90691.367188, 99328.000000, 8636.632812
126354.484375, 131584.000000, 5229.515625
133988.953125, 129024.000000, -4964.953125
131083.984375, 126464.000000, -4619.984375
134808.750000, 141312.000000, 6503.250000
136384.593750, 138752.000000, 2367.406250
93966.070312, 101376.000000, 7409.929688
