current pwr_bound is 5e-1
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 9680
pwrLength=303
pwrErrBoundBytes_size=606
pw_relBoundRatio=0.500000
hit: 9678
miss: 0
length of statenum:65536
nodecount=3
treeByteSize=22
enCodeSize=1210
-------insight of tdps
dataLength=9680
exactDataNum=2
realPrecision=144.000000
medianValue=0.000000
reqLength=13
quantization_intervals=20000
pwrErrBoundBytes_size=606
radExpo=8
-----------------------
timecost, 0.004271, seconds
done
input file size: 77440
output file size: 92
sz compression ratio, 841.74 
timecost, 0.003910, second
done
Max absolute error = 91.011077880859375
Max relative error = 1.7890722203625115672
Max pw_relative err = 0.26227139040243135915
../model_comparison/inputdata/sample_10/yf17_t.dat, ../model_comparison/inputdata/sample_10/yf17_t.dat.sz.out, 9680
size of double: 8
314.142670, 256.000000, -58.142670
313.640564, 256.000000, -57.640564
312.940399, 256.000000, -56.940399
311.858429, 256.000000, -55.858429
310.752106, 256.000000, -54.752106
309.794952, 256.000000, -53.794952
308.816376, 256.000000, -52.816376
308.059998, 256.000000, -52.059998
307.451996, 256.000000, -51.451996
306.817444, 256.000000, -50.817444
306.446625, 256.000000, -50.446625
306.186249, 256.000000, -50.186249
305.605682, 256.000000, -49.605682
305.613434, 256.000000, -49.613434
305.733032, 256.000000, -49.733032
305.351471, 256.000000, -49.351471
304.902405, 256.000000, -48.902405
305.171234, 256.000000, -49.171234
305.920349, 256.000000, -49.920349
306.718445, 256.000000, -50.718445
311.976746, 256.000000, -55.976746
311.121521, 256.000000, -55.121521
310.190491, 256.000000, -54.190491
309.296143, 256.000000, -53.296143
308.489471, 256.000000, -52.489471
307.738953, 256.000000, -51.738953
307.055969, 256.000000, -51.055969
306.425262, 256.000000, -50.425262
305.838867, 256.000000, -49.838867
305.297791, 256.000000, -49.297791
304.818542, 256.000000, -48.818542
304.382568, 256.000000, -48.382568
303.989655, 256.000000, -47.989655
303.639282, 256.000000, -47.639282
303.328125, 256.000000, -47.328125
303.057251, 256.000000, -47.057251
302.815613, 256.000000, -46.815613
302.601471, 256.000000, -46.601471
302.418274, 256.000000, -46.418274
302.263580, 256.000000, -46.263580
303.658539, 256.000000, -47.658539
303.552856, 256.000000, -47.552856
303.531525, 256.000000, -47.531525
303.541077, 256.000000, -47.541077
303.422943, 256.000000, -47.422943
303.337402, 256.000000, -47.337402
303.291840, 256.000000, -47.291840
303.315491, 256.000000, -47.315491
303.315735, 256.000000, -47.315735
303.277527, 256.000000, -47.277527
303.249451, 256.000000, -47.249451
303.182800, 256.000000, -47.182800
303.213501, 256.000000, -47.213501
303.285583, 256.000000, -47.285583
303.332733, 256.000000, -47.332733
303.365723, 256.000000, -47.365723
303.440094, 256.000000, -47.440094
303.524353, 256.000000, -47.524353
303.656586, 256.000000, -47.656586
303.724396, 256.000000, -47.724396
303.825684, 256.000000, -47.825684
303.933136, 256.000000, -47.933136
304.125122, 256.000000, -48.125122
304.216278, 256.000000, -48.216278
304.381012, 256.000000, -48.381012
304.474670, 256.000000, -48.474670
304.654724, 256.000000, -48.654724
304.818268, 256.000000, -48.818268
305.028259, 256.000000, -49.028259
305.100647, 256.000000, -49.100647
305.198364, 256.000000, -49.198364
305.386383, 256.000000, -49.386383
305.638458, 256.000000, -49.638458
305.768005, 256.000000, -49.768005
305.846863, 256.000000, -49.846863
306.070831, 256.000000, -50.070831
306.253540, 256.000000, -50.253540
306.518494, 256.000000, -50.518494
306.735962, 256.000000, -50.735962
306.890656, 256.000000, -50.890656
299.681976, 256.000000, -43.681976
299.581268, 256.000000, -43.581268
299.498260, 256.000000, -43.498260
299.429047, 256.000000, -43.429047
299.364105, 256.000000, -43.364105
299.318481, 256.000000, -43.318481
299.277069, 256.000000, -43.277069
299.240051, 256.000000, -43.240051
299.211884, 256.000000, -43.211884
299.191772, 256.000000, -43.191772
299.176361, 256.000000, -43.176361
299.166626, 256.000000, -43.166626
299.163635, 256.000000, -43.163635
299.162933, 256.000000, -43.162933
299.173218, 256.000000, -43.173218
299.194366, 256.000000, -43.194366
299.210510, 256.000000, -43.210510
299.240845, 256.000000, -43.240845
299.276855, 256.000000, -43.276855
299.317780, 256.000000, -43.317780
299.361389, 256.000000, -43.361389
299.412811, 256.000000, -43.412811
299.454498, 256.000000, -43.454498
299.519043, 256.000000, -43.519043
299.581757, 256.000000, -43.581757
299.637085, 256.000000, -43.637085
299.705383, 256.000000, -43.705383
299.770630, 256.000000, -43.770630
299.856842, 256.000000, -43.856842
300.005798, 256.000000, -44.005798
307.782166, 256.000000, -51.782166
308.037811, 256.000000, -52.037811
308.060669, 256.000000, -52.060669
308.070007, 256.000000, -52.070007
308.042419, 256.000000, -52.042419
307.977539, 256.000000, -51.977539
307.914307, 256.000000, -51.914307
307.894836, 256.000000, -51.894836
307.782471, 256.000000, -51.782471
307.747498, 256.000000, -51.747498
300.002686, 256.000000, -44.002686
300.002533, 256.000000, -44.002533
300.002594, 256.000000, -44.002594
300.003571, 256.000000, -44.003571
300.002533, 256.000000, -44.002533
300.002258, 256.000000, -44.002258
300.004181, 256.000000, -44.004181
300.002167, 256.000000, -44.002167
300.002502, 256.000000, -44.002502
300.002625, 256.000000, -44.002625
300.002563, 256.000000, -44.002563
300.002899, 256.000000, -44.002899
300.001648, 256.000000, -44.001648
300.002930, 256.000000, -44.002930
300.002930, 256.000000, -44.002930
300.002686, 256.000000, -44.002686
300.002106, 256.000000, -44.002106
300.002655, 256.000000, -44.002655
300.002563, 256.000000, -44.002563
300.001495, 256.000000, -44.001495
300.002502, 256.000000, -44.002502
300.002594, 256.000000, -44.002594
300.001587, 256.000000, -44.001587
300.002625, 256.000000, -44.002625
300.001556, 256.000000, -44.001556
300.002625, 256.000000, -44.002625
300.002808, 256.000000, -44.002808
300.001556, 256.000000, -44.001556
300.002411, 256.000000, -44.002411
300.001709, 256.000000, -44.001709
300.003204, 256.000000, -44.003204
300.001495, 256.000000, -44.001495
300.003754, 256.000000, -44.003754
300.002899, 256.000000, -44.002899
300.001465, 256.000000, -44.001465
300.002777, 256.000000, -44.002777
300.001617, 256.000000, -44.001617
300.002777, 256.000000, -44.002777
300.002838, 256.000000, -44.002838
300.001770, 256.000000, -44.001770
326.208557, 256.000000, -70.208557
312.449310, 256.000000, -56.449310
311.965576, 256.000000, -55.965576
330.724548, 256.000000, -74.724548
309.406647, 256.000000, -53.406647
325.868958, 256.000000, -69.868958
312.830139, 256.000000, -56.830139
312.533875, 256.000000, -56.533875
329.701141, 256.000000, -73.701141
309.083160, 256.000000, -53.083160
325.305878, 256.000000, -69.305878
313.077637, 256.000000, -57.077637
313.523376, 256.000000, -57.523376
303.423737, 256.000000, -47.423737
329.376526, 256.000000, -73.376526
313.669189, 256.000000, -57.669189
308.614777, 256.000000, -52.614777
309.892151, 256.000000, -53.892151
308.388763, 256.000000, -52.388763
308.075073, 256.000000, -52.075073
309.470673, 256.000000, -53.470673
307.905975, 256.000000, -51.905975
309.289551, 256.000000, -53.289551
307.656769, 256.000000, -51.656769
308.704803, 256.000000, -52.704803
308.991516, 256.000000, -52.991516
310.134338, 256.000000, -54.134338
303.350983, 256.000000, -47.350983
324.529388, 256.000000, -68.529388
313.948395, 256.000000, -57.948395
303.248260, 256.000000, -47.248260
303.214905, 256.000000, -47.214905
314.315369, 256.000000, -58.315369
323.696991, 256.000000, -67.696991
327.975220, 256.000000, -71.975220
314.680420, 256.000000, -58.680420
314.993805, 256.000000, -58.993805
310.655914, 256.000000, -54.655914
303.347473, 256.000000, -47.347473
303.498322, 256.000000, -47.498322
304.487305, 256.000000, -48.487305
305.115845, 256.000000, -49.115845
310.771576, 256.000000, -54.771576
306.356049, 256.000000, -50.356049
303.891235, 256.000000, -47.891235
307.931641, 256.000000, -51.931641
304.857727, 256.000000, -48.857727
303.843811, 256.000000, -47.843811
305.349792, 256.000000, -49.349792
303.609009, 256.000000, -47.609009
303.498840, 256.000000, -47.498840
310.577209, 256.000000, -54.577209
308.437469, 256.000000, -52.437469
306.076996, 256.000000, -50.076996
304.159912, 256.000000, -48.159912
306.733795, 256.000000, -50.733795
