current pwr_bound is 1e-3
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 520
pwrLength=17
pwrErrBoundBytes_size=34
pw_relBoundRatio=0.001000
hit: 518
miss: 0
length of statenum:65536
nodecount=107
treeByteSize=750
enCodeSize=209
-------insight of tdps
dataLength=520
exactDataNum=2
realPrecision=0.000824
medianValue=0.000000
reqLength=24
quantization_intervals=20000
pwrErrBoundBytes_size=34
radExpo=0
-----------------------
timecost, 0.004211, seconds
done
input file size: 4160
output file size: 668
sz compression ratio, 6.23 
timecost, 0.003840, second
done
Max absolute error = 0.00097129286719066509903
Max relative error = 0.00092510187750088185808
Max pw_relative err = 0.00098451790008831146714
../model_comparison/inputdata/sample_1/bump.dat, ../model_comparison/inputdata/sample_1/bump.dat.sz.out, 520
size of double: 8
0.875126, 0.875122, -0.000004
0.875127, 0.875122, -0.000004
0.875126, 0.875122, -0.000004
0.873700, 0.873291, -0.000409
0.873700, 0.873291, -0.000409
0.873700, 0.873291, -0.000409
0.871910, 0.871460, -0.000450
0.871911, 0.871460, -0.000451
0.871910, 0.871460, -0.000450
0.869556, 0.869629, 0.000073
0.869556, 0.869629, 0.000073
0.869556, 0.869629, 0.000073
0.864011, 0.864136, 0.000125
0.864011, 0.864136, 0.000124
0.864011, 0.864136, 0.000125
0.851814, 0.852234, 0.000420
0.851816, 0.852234, 0.000418
0.851814, 0.852234, 0.000420
0.818030, 0.818359, 0.000329
0.818032, 0.818359, 0.000327
0.818030, 0.818359, 0.000329
0.472907, 0.473206, 0.000298
0.472907, 0.473206, 0.000298
0.472907, 0.473206, 0.000298
1.522838, 1.522400, -0.000438
1.522838, 1.522400, -0.000438
1.522838, 1.522400, -0.000438
0.891032, 0.890686, -0.000346
0.891033, 0.890686, -0.000347
0.891032, 0.890686, -0.000346
0.884917, 0.885193, 0.000276
0.884917, 0.885193, 0.000275
0.884917, 0.885193, 0.000276
0.885530, 0.885193, -0.000337
0.885529, 0.885193, -0.000337
0.885530, 0.885193, -0.000337
0.884724, 0.885193, 0.000469
0.884722, 0.885193, 0.000471
0.884724, 0.885193, 0.000469
0.884586, 0.884094, -0.000492
0.886329, 0.886292, -0.000037
0.886328, 0.886292, -0.000036
0.884549, 0.884094, -0.000455
0.884549, 0.884094, -0.000455
0.884549, 0.884094, -0.000455
0.882176, 0.881897, -0.000279
0.882176, 0.881897, -0.000279
0.882176, 0.881897, -0.000279
0.877316, 0.877502, 0.000186
0.877317, 0.877502, 0.000186
0.877316, 0.877502, 0.000186
0.866892, 0.866516, -0.000376
0.866894, 0.866516, -0.000378
0.866892, 0.866516, -0.000376
0.842048, 0.842346, 0.000298
0.842050, 0.842346, 0.000296
0.842048, 0.842346, 0.000298
0.578514, 0.578674, 0.000160
0.578514, 0.578674, 0.000160
0.578514, 0.578674, 0.000160
1.274497, 1.274109, -0.000388
1.274497, 1.274109, -0.000388
1.274497, 1.274109, -0.000388
0.928616, 0.929138, 0.000523
0.928616, 0.928589, -0.000027
0.928616, 0.928040, -0.000576
0.910326, 0.911011, 0.000684
0.910327, 0.910461, 0.000135
0.910326, 0.909912, -0.000414
0.907649, 0.907715, 0.000065
0.907649, 0.907166, -0.000483
0.907649, 0.908264, 0.000615
0.905154, 0.904419, -0.000735
0.905152, 0.905518, 0.000366
0.905154, 0.904968, -0.000185
0.903963, 0.904419, 0.000456
0.903961, 0.903870, -0.000091
0.903963, 0.903320, -0.000642
0.903330, 0.902771, -0.000559
0.903328, 0.903870, 0.000542
0.832298, 0.832458, 0.000160
0.835593, 0.835205, -0.000388
0.835593, 0.836304, 0.000711
0.835593, 0.835754, 0.000162
0.838825, 0.838501, -0.000325
0.838826, 0.839600, 0.000774
0.838825, 0.839050, 0.000225
0.841979, 0.841797, -0.000182
0.841979, 0.841248, -0.000731
0.841979, 0.842346, 0.000367
0.844974, 0.845093, 0.000119
0.844974, 0.844543, -0.000430
0.844974, 0.845642, 0.000669
0.847824, 0.848389, 0.000565
0.847824, 0.847839, 0.000015
0.847824, 0.847290, -0.000534
0.850563, 0.850037, -0.000527
0.850564, 0.851135, 0.000571
0.850563, 0.850586, 0.000023
0.853284, 0.853333, 0.000049
0.853284, 0.852783, -0.000501
0.853284, 0.853882, 0.000598
0.855781, 0.854980, -0.000801
0.855782, 0.856079, 0.000297
0.855781, 0.855530, -0.000252
0.858197, 0.858276, 0.000079
0.858198, 0.857727, -0.000471
0.858197, 0.858826, 0.000628
0.860582, 0.859924, -0.000657
0.860582, 0.861023, 0.000440
0.860582, 0.860474, -0.000108
0.862618, 0.863220, 0.000602
0.862619, 0.862671, 0.000052
0.862618, 0.862122, -0.000497
0.865030, 0.864868, -0.000162
0.865031, 0.864319, -0.000712
0.865030, 0.865417, 0.000387
0.866744, 0.866516, -0.000228
0.866745, 0.865967, -0.000778
0.866744, 0.867065, 0.000322
0.899059, 0.899475, 0.000416
0.899058, 0.898926, -0.000132
0.898563, 0.898376, -0.000186
0.898563, 0.897827, -0.000736
0.898563, 0.898926, 0.000363
0.898061, 0.898376, 0.000315
0.898062, 0.897827, -0.000235
0.898061, 0.897278, -0.000783
0.897542, 0.896729, -0.000813
0.897542, 0.897888, 0.000346
0.897542, 0.897339, -0.000203
0.896983, 0.896790, -0.000194
0.896984, 0.896240, -0.000743
0.896983, 0.897400, 0.000417
0.896348, 0.896851, 0.000502
0.896349, 0.896301, -0.000048
0.896348, 0.895752, -0.000596
0.895606, 0.895203, -0.000403
0.895607, 0.896362, 0.000756
0.895606, 0.895813, 0.000207
0.894677, 0.895264, 0.000587
0.894677, 0.894714, 0.000037
0.894677, 0.894165, -0.000512
0.893377, 0.893616, 0.000239
0.893378, 0.893066, -0.000311
0.893377, 0.894226, 0.000849
0.891608, 0.891968, 0.000360
0.891608, 0.891418, -0.000190
0.891608, 0.890869, -0.000739
0.889204, 0.888611, -0.000593
0.889204, 0.889771, 0.000566
0.889204, 0.889221, 0.000017
0.884679, 0.885254, 0.000575
0.884679, 0.884705, 0.000026
0.884679, 0.884155, -0.000524
0.875200, 0.875061, -0.000139
0.875201, 0.874512, -0.000689
0.875200, 0.875671, 0.000472
0.854775, 0.854614, -0.000160
0.854776, 0.854065, -0.000711
0.946569, 0.946899, 0.000331
0.944542, 0.944519, -0.000023
0.944541, 0.943970, -0.000571
0.944542, 0.945251, 0.000709
0.943121, 0.942871, -0.000250
0.943123, 0.942322, -0.000801
0.943121, 0.943604, 0.000482
0.942153, 0.943054, 0.000901
0.942159, 0.942505, 0.000346
0.942153, 0.941956, -0.000198
0.941593, 0.941406, -0.000187
0.941602, 0.940857, -0.000745
0.941593, 0.942139, 0.000545
0.941405, 0.941589, 0.000185
0.941416, 0.941040, -0.000376
0.941405, 0.940491, -0.000914
0.941580, 0.941772, 0.000192
0.941590, 0.941223, -0.000367
0.941580, 0.940674, -0.000906
0.942103, 0.941956, -0.000147
0.942105, 0.941406, -0.000699
0.942103, 0.942688, 0.000585
0.942763, 0.942139, -0.000624
0.942755, 0.943420, 0.000666
0.942763, 0.942871, 0.000109
0.943456, 0.944153, 0.000697
0.943434, 0.943604, 0.000169
0.943456, 0.943054, -0.000402
0.944103, 0.944336, 0.000233
0.944082, 0.943787, -0.000295
0.944103, 0.943237, -0.000865
0.944807, 0.944519, -0.000288
0.944802, 0.943970, -0.000832
0.944807, 0.945251, 0.000444
0.946400, 0.946533, 0.000133
0.946415, 0.945984, -0.000431
0.946400, 0.947266, 0.000866
0.949345, 0.948547, -0.000798
0.949384, 0.949829, 0.000445
0.949345, 0.949280, -0.000066
1.007640, 1.007324, -0.000316
1.007622, 1.006775, -0.000848
1.007640, 1.008057, 0.000417
1.007462, 1.007507, 0.000045
1.007459, 1.006958, -0.000501
1.007462, 1.008240, 0.000777
1.008107, 1.007690, -0.000417
1.008120, 1.008972, 0.000852
1.008107, 1.008423, 0.000316
1.010110, 1.009705, -0.000406
1.010143, 1.010986, 0.000843
1.010110, 1.010437, 0.000327
1.013057, 1.013550, 0.000493
1.013079, 1.013000, -0.000078
1.013057, 1.012451, -0.000605
1.016380, 1.015564, -0.000816
1.016361, 1.016846, 0.000484
1.016380, 1.016296, -0.000083
1.019393, 1.019409, 0.000016
1.019364, 1.018860, -0.000504
1.019393, 1.020142, 0.000748
1.022759, 1.023254, 0.000495
1.022748, 1.022705, -0.000043
1.022759, 1.022156, -0.000603
1.028762, 1.029419, 0.000657
1.028763, 1.028870, 0.000106
1.028762, 1.028320, -0.000442
1.037889, 1.037537, -0.000353
1.037896, 1.036987, -0.000909
1.037889, 1.038391, 0.000502
1.047764, 1.047607, -0.000157
1.047768, 1.047058, -0.000710
1.047764, 1.048462, 0.000697
1.058125, 1.057678, -0.000447
1.058117, 1.059082, 0.000965
1.058125, 1.058533, 0.000407
1.069661, 1.069702, 0.000041
1.069651, 1.069153, -0.000498
1.069661, 1.070557, 0.000895
1.082289, 1.081726, -0.000563
1.003535, 1.003052, -0.000483
1.003531, 1.004456, 0.000925
1.004116, 1.003906, -0.000209
1.004123, 1.003357, -0.000766
1.004116, 1.004761, 0.000645
1.004881, 1.004211, -0.000670
1.004891, 1.005615, 0.000725
1.004881, 1.005066, 0.000185
1.005858, 1.006470, 0.000611
1.005866, 1.005920, 0.000055
1.005858, 1.005371, -0.000487
1.007061, 1.006775, -0.000286
1.007062, 1.006226, -0.000837
1.007061, 1.007629, 0.000568
1.008307, 1.009033, 0.000726
1.008301, 1.008484, 0.000183
1.008307, 1.007935, -0.000373
1.009535, 1.009338, -0.000196
1.009518, 1.008789, -0.000729
1.009535, 1.010193, 0.000658
1.010698, 1.011597, 0.000898
1.010683, 1.011047, 0.000365
1.010698, 1.010498, -0.000200
1.011917, 1.011902, -0.000015
1.011914, 1.011353, -0.000561
1.011917, 1.012756, 0.000839
1.013947, 1.014160, 0.000213
1.013958, 1.013611, -0.000347
1.013947, 1.013062, -0.000885
1.017171, 1.016418, -0.000753
1.017198, 1.017822, 0.000625
1.017171, 1.017273, 0.000102
1.021200, 1.020630, -0.000570
1.021218, 1.022034, 0.000816
1.021200, 1.021484, 0.000285
1.025563, 1.024841, -0.000721
1.025550, 1.026245, 0.000695
1.025563, 1.025696, 0.000133
1.029836, 1.029053, -0.000783
1.029814, 1.030457, 0.000643
0.983502, 0.983032, -0.000470
0.983502, 0.984436, 0.000934
0.985174, 0.985840, 0.000666
0.985174, 0.985291, 0.000117
0.985174, 0.984741, -0.000433
0.986567, 0.986145, -0.000422
0.986567, 0.985596, -0.000971
0.986567, 0.987000, 0.000432
0.987614, 0.988403, 0.000790
0.987614, 0.987854, 0.000240
0.987614, 0.987305, -0.000309
0.988141, 0.988708, 0.000568
0.988141, 0.988159, 0.000018
0.988141, 0.987610, -0.000531
0.988057, 0.989014, 0.000956
0.988058, 0.988464, 0.000406
0.988057, 0.987915, -0.000142
0.986379, 0.985413, -0.000967
0.986380, 0.986816, 0.000436
0.986379, 0.986267, -0.000112
0.985001, 0.985718, 0.000717
0.985002, 0.985168, 0.000167
0.985001, 0.984619, -0.000382
0.984620, 0.984070, -0.000550
0.984621, 0.985474, 0.000852
0.984620, 0.984924, 0.000304
0.987566, 0.988281, 0.000715
0.987567, 0.987732, 0.000165
0.987566, 0.987183, -0.000383
0.991440, 0.990540, -0.000901
0.991442, 0.991943, 0.000502
0.991440, 0.991394, -0.000046
0.995002, 0.994751, -0.000251
0.995003, 0.994202, -0.000801
0.995002, 0.995605, 0.000604
0.999817, 0.998962, -0.000855
0.999818, 1.000366, 0.000548
0.999817, 0.999817, -0.000000
1.004939, 1.005127, 0.000188
1.004940, 1.004578, -0.000362
1.002278, 1.002075, -0.000203
1.002279, 1.001526, -0.000754
1.002476, 1.002930, 0.000453
1.002475, 1.002380, -0.000094
1.002476, 1.001831, -0.000645
1.002751, 1.003235, 0.000484
1.002750, 1.002686, -0.000065
1.002751, 1.002136, -0.000615
1.003095, 1.003540, 0.000445
1.003096, 1.002991, -0.000105
1.003095, 1.002441, -0.000653
1.003531, 1.003845, 0.000314
1.003536, 1.003296, -0.000240
1.003531, 1.002747, -0.000785
1.004115, 1.004150, 0.000035
1.004123, 1.003601, -0.000522
1.004115, 1.005005, 0.000889
1.004879, 1.004456, -0.000424
1.004888, 1.005859, 0.000971
1.004879, 1.005310, 0.000431
1.005851, 1.006714, 0.000863
1.005858, 1.006165, 0.000307
1.005851, 1.005615, -0.000235
1.007041, 1.007019, -0.000022
1.007043, 1.006470, -0.000573
1.007041, 1.007874, 0.000832
1.008276, 1.007324, -0.000952
1.008270, 1.008728, 0.000458
1.008276, 1.008179, -0.000098
1.009494, 1.009583, 0.000089
1.009478, 1.009033, -0.000445
1.009494, 1.010437, 0.000943
1.010661, 1.009888, -0.000773
1.010646, 1.011292, 0.000645
1.010661, 1.010742, 0.000081
1.011902, 1.012146, 0.000244
1.011900, 1.011597, -0.000303
1.011902, 1.011047, -0.000855
1.013933, 1.014404, 0.000471
1.013943, 1.013855, -0.000088
1.037599, 1.036743, -0.000856
1.035257, 1.036194, 0.000937
1.035256, 1.035645, 0.000388
1.035257, 1.035095, -0.000162
1.032848, 1.032593, -0.000255
1.032847, 1.032043, -0.000804
1.032848, 1.033447, 0.000599
1.030420, 1.030945, 0.000525
1.030419, 1.030396, -0.000024
1.030420, 1.029846, -0.000574
1.028013, 1.027344, -0.000669
1.028013, 1.028748, 0.000735
1.028013, 1.028198, 0.000185
1.025660, 1.025696, 0.000036
1.025659, 1.025146, -0.000513
1.025660, 1.026550, 0.000890
1.023382, 1.024048, 0.000666
1.023381, 1.023499, 0.000117
1.023382, 1.022949, -0.000432
1.021195, 1.020447, -0.000748
1.021194, 1.021851, 0.000656
1.021195, 1.021301, 0.000107
1.019109, 1.018799, -0.000310
1.019108, 1.018250, -0.000859
1.019109, 1.019653, 0.000545
1.017128, 1.017151, 0.000023
1.017128, 1.016602, -0.000526
1.017128, 1.018005, 0.000877
1.015253, 1.015503, 0.000250
1.015253, 1.014954, -0.000299
1.015253, 1.014404, -0.000849
1.013480, 1.013855, 0.000375
1.013480, 1.013306, -0.000175
1.013480, 1.012756, -0.000724
1.011803, 1.012207, 0.000404
1.011803, 1.011658, -0.000146
1.011803, 1.011108, -0.000695
1.010213, 1.010559, 0.000346
1.010213, 1.010010, -0.000203
1.010213, 1.009460, -0.000753
0.992268, 0.991333, -0.000935
0.992268, 0.992737, 0.000469
0.991169, 0.990234, -0.000935
0.991169, 0.991638, 0.000469
0.991169, 0.991089, -0.000080
0.990095, 0.990540, 0.000444
0.990095, 0.989990, -0.000105
0.990095, 0.989441, -0.000654
0.989043, 0.988892, -0.000151
0.989043, 0.988342, -0.000701
0.989043, 0.989746, 0.000703
0.988004, 0.987244, -0.000761
0.988004, 0.988647, 0.000643
0.988004, 0.988098, 0.000094
0.986969, 0.987549, 0.000580
0.986968, 0.987000, 0.000031
0.986969, 0.986450, -0.000518
0.985918, 0.985901, -0.000018
0.985918, 0.985352, -0.000567
0.985918, 0.986694, 0.000776
0.984831, 0.984253, -0.000578
0.984830, 0.985596, 0.000765
0.984831, 0.985046, 0.000216
0.983665, 0.984497, 0.000832
0.983665, 0.983948, 0.000283
0.983665, 0.983398, -0.000267
0.982369, 0.982849, 0.000480
0.982368, 0.982300, -0.000069
0.982369, 0.981750, -0.000618
0.980824, 0.981201, 0.000377
0.980824, 0.980652, -0.000172
0.980824, 0.980103, -0.000721
0.978896, 0.979553, 0.000657
0.978896, 0.979004, 0.000108
0.978896, 0.978455, -0.000442
0.976134, 0.976013, -0.000121
0.976134, 0.975464, -0.000670
0.976134, 0.976807, 0.000673
0.972362, 0.972473, 0.000111
0.972362, 0.971924, -0.000438
1.035296, 1.035706, 0.000410
1.035297, 1.035156, -0.000140
1.034200, 1.034607, 0.000407
1.034199, 1.034058, -0.000142
1.034200, 1.033508, -0.000692
1.032846, 1.032959, 0.000113
1.032845, 1.032410, -0.000436
1.032846, 1.033752, 0.000906
1.031287, 1.031189, -0.000098
1.031286, 1.030579, -0.000708
1.031287, 1.031921, 0.000634
1.029573, 1.029358, -0.000215
1.029573, 1.028748, -0.000825
1.029573, 1.030090, 0.000517
1.027752, 1.027527, -0.000225
1.027752, 1.026917, -0.000835
1.027752, 1.028259, 0.000507
1.025868, 1.025696, -0.000172
1.025867, 1.025085, -0.000782
1.025868, 1.026428, 0.000560
1.023958, 1.023865, -0.000093
1.023958, 1.023254, -0.000703
1.023958, 1.024597, 0.000639
1.022056, 1.022034, -0.000022
1.022055, 1.021423, -0.000632
1.022056, 1.022766, 0.000710
1.020187, 1.020203, 0.000015
1.020187, 1.019592, -0.000595
1.020187, 1.020935, 0.000748
1.018374, 1.018372, -0.000002
1.018374, 1.017761, -0.000612
1.018374, 1.019104, 0.000730
1.016631, 1.016541, -0.000090
1.016631, 1.015930, -0.000701
1.016631, 1.017273, 0.000642
1.014971, 1.014709, -0.000261
1.014971, 1.014099, -0.000872
1.014971, 1.015442, 0.000471
1.013401, 1.012878, -0.000523
1.013401, 1.014221, 0.000820
0.847027, 0.847473, 0.000446
0.847027, 0.847168, 0.000141
0.847027, 0.846863, -0.000164
0.845572, 0.844910, -0.000662
0.845572, 0.846252, 0.000681
0.845572, 0.845947, 0.000375
0.844252, 0.843994, -0.000258
0.844252, 0.843689, -0.000563
0.844252, 0.845032, 0.000779
0.843064, 0.843079, 0.000014
0.843064, 0.842773, -0.000291
0.843064, 0.842468, -0.000596
0.842006, 0.842163, 0.000157
0.842006, 0.841858, -0.000148
0.842006, 0.841553, -0.000453
0.841074, 0.841248, 0.000173
0.841075, 0.840942, -0.000132
0.841074, 0.840637, -0.000437
0.840273, 0.840332, 0.000059
0.840274, 0.840027, -0.000247
totaldiff=0.2286940582, sz=520, average absolute error value:0.0004397963
totaldiff=0.2400495087, sz=520, average relative error rate:0.0004616337
