current pwr_bound is 1e-2
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 2800
pwrLength=88
pwrErrBoundBytes_size=176
pw_relBoundRatio=0.010000
hit: 2798
miss: 0
length of statenum:65536
nodecount=1365
treeByteSize=12286
enCodeSize=3037
-------insight of tdps
dataLength=2800
exactDataNum=2
realPrecision=0.046875
medianValue=0.000000
reqLength=26
quantization_intervals=20000
pwrErrBoundBytes_size=176
radExpo=26
-----------------------
timecost, 0.004579, seconds
done
input file size: 22400
output file size: 8835
sz compression ratio, 2.54 
timecost, 0.004090, second
done
Max absolute error = 72974
Max relative error = 0.0010137080541421958184
Max pw_relative err = 0.0097449531289381038923
../model_comparison/inputdata/sample_1/eddy.dat, ../model_comparison/inputdata/sample_1/eddy.dat.sz.out, 2800
size of double: 8
15687700.000000, 15687680.000000, -20.000000
1642100.000000, 1642048.000000, -52.000000
752847.000000, 751744.000000, -1103.000000
7787050.000000, 7790272.000000, 3222.000000
10276400.000000, 10270464.000000, -5936.000000
2375690.000000, 2371904.000000, -3786.000000
15903600.000000, 15899008.000000, -4592.000000
1230980.000000, 1229760.000000, -1220.000000
2509960.000000, 2507264.000000, -2696.000000
2621970.000000, 2626624.000000, 4654.000000
5172460.000000, 5166208.000000, -6252.000000
5217050.000000, 5211328.000000, -5722.000000
4765660.000000, 4766464.000000, 804.000000
1062760.000000, 1069888.000000, 7128.000000
2368400.000000, 2362240.000000, -6160.000000
28695800.000000, 28703168.000000, 7368.000000
3159250.000000, 3165184.000000, 5934.000000
1961430.000000, 1963072.000000, 1642.000000
3959270.000000, 3953280.000000, -5990.000000
1073320.000000, 1073344.000000, 24.000000
8831450.000000, 8824576.000000, -6874.000000
1421000.000000, 1416000.000000, -5000.000000
6351280.000000, 6346112.000000, -5168.000000
3758620.000000, 3763136.000000, 4516.000000
1424880.000000, 1417728.000000, -7152.000000
2784780.000000, 2784320.000000, -460.000000
6872840.000000, 6868096.000000, -4744.000000
832639.000000, 825536.000000, -7103.000000
1896990.000000, 1895168.000000, -1822.000000
3254560.000000, 3261760.000000, 7200.000000
1055530.000000, 1049984.000000, -5546.000000
29561200.000000, 29558720.000000, -2480.000000
1388510.000000, 1389056.000000, 546.000000
29170100.000000, 29175872.000000, 5772.000000
1407080.000000, 1405568.000000, -1512.000000
1627650.000000, 1621184.000000, -6466.000000
4104690.000000, 4110080.000000, 5390.000000
3358210.000000, 3358016.000000, -194.000000
901918.000000, 900992.000000, -926.000000
49802500.000000, 49807808.000000, 5308.000000
1901870.000000, 1900544.000000, -1326.000000
1685370.000000, 1686080.000000, 710.000000
3421190.000000, 3422336.000000, 1146.000000
1774450.000000, 1779392.000000, 4942.000000
991001.000000, 996608.000000, 5607.000000
7017560.000000, 7018304.000000, 744.000000
1312110.000000, 1304960.000000, -7150.000000
7715220.000000, 7710656.000000, -4564.000000
14012400.000000, 14008832.000000, -3568.000000
41950900.000000, 41949248.000000, -1652.000000
29857300.000000, 29861504.000000, 4204.000000
15522600.000000, 15515840.000000, -6760.000000
5304930.000000, 5302016.000000, -2914.000000
5786550.000000, 5794112.000000, 7562.000000
1204320.000000, 1202048.000000, -2272.000000
786954.000000, 787904.000000, 950.000000
3643830.000000, 3645440.000000, 1610.000000
15948800.000000, 15949376.000000, 576.000000
5151210.000000, 5151872.000000, 662.000000
70011000.000000, 70017728.000000, 6728.000000
7809820.000000, 7810304.000000, 484.000000
9670920.000000, 9669440.000000, -1480.000000
6989180.000000, 6982016.000000, -7164.000000
5202590.000000, 5200832.000000, -1758.000000
3262480.000000, 3266048.000000, 3568.000000
3833160.000000, 3834944.000000, 1784.000000
1692920.000000, 1700480.000000, 7560.000000
783626.000000, 779456.000000, -4170.000000
20126200.000000, 20133632.000000, 7432.000000
2244780.000000, 2239808.000000, -4972.000000
4769730.000000, 4774784.000000, 5054.000000
3619470.000000, 3623360.000000, 3890.000000
1076120.000000, 1074176.000000, -1944.000000
31072100.000000, 31072832.000000, 732.000000
9566010.000000, 9569408.000000, 3398.000000
4325400.000000, 4332224.000000, 6824.000000
5042420.000000, 5039360.000000, -3060.000000
1373950.000000, 1368896.000000, -5054.000000
3577860.000000, 3581312.000000, 3452.000000
1841280.000000, 1846208.000000, 4928.000000
4635490.000000, 4642304.000000, 6814.000000
2987720.000000, 2984000.000000, -3720.000000
5893780.000000, 5887616.000000, -6164.000000
6060650.000000, 6057152.000000, -3498.000000
2309800.000000, 2309888.000000, 88.000000
3556890.000000, 3554624.000000, -2266.000000
3147340.000000, 3140480.000000, -6860.000000
3310580.000000, 3310016.000000, -564.000000
1792290.000000, 1789952.000000, -2338.000000
2226050.000000, 2220608.000000, -5442.000000
1703080.000000, 1698944.000000, -4136.000000
5192590.000000, 5186240.000000, -6350.000000
3590020.000000, 3589376.000000, -644.000000
1545840.000000, 1547072.000000, 1232.000000
1852940.000000, 1854848.000000, 1908.000000
1043990.000000, 1041344.000000, -2646.000000
5031920.000000, 5033472.000000, 1552.000000
8560920.000000, 8558656.000000, -2264.000000
33411700.000000, 33407616.000000, -4084.000000
5494930.000000, 5491904.000000, -3026.000000
2282640.000000, 2285312.000000, 2672.000000
2679170.000000, 2678080.000000, -1090.000000
4948860.000000, 4958080.000000, 9220.000000
1613510.000000, 1615296.000000, 1786.000000
1751990.000000, 1755136.000000, 3146.000000
1018650.000000, 1019456.000000, 806.000000
1487600.000000, 1490048.000000, 2448.000000
2899200.000000, 2894528.000000, -4672.000000
7780360.000000, 7781632.000000, 1272.000000
2958720.000000, 2960192.000000, 1472.000000
2880310.000000, 2886016.000000, 5706.000000
7060470.000000, 7053248.000000, -7222.000000
4164730.000000, 4157952.000000, -6778.000000
14970500.000000, 14979136.000000, 8636.000000
2194490.000000, 2200192.000000, 5702.000000
5087250.000000, 5083328.000000, -3922.000000
2511990.000000, 2518784.000000, 6794.000000
2366680.000000, 2366784.000000, 104.000000
2452430.000000, 2448256.000000, -4174.000000
10867400.000000, 10876352.000000, 8952.000000
5265980.000000, 5257216.000000, -8764.000000
2934210.000000, 2926144.000000, -8066.000000
10747100.000000, 10751104.000000, 4004.000000
