current pwr_bound is 1e-0
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 760
pwrLength=24
pwrErrBoundBytes_size=48
pw_relBoundRatio=1.000000
hit: 758
miss: 0
length of statenum:65536
nodecount=3
treeByteSize=22
enCodeSize=95
-------insight of tdps
dataLength=760
exactDataNum=2
realPrecision=0.044922
medianValue=0.000000
reqLength=12
quantization_intervals=20000
pwrErrBoundBytes_size=48
radExpo=-5
-----------------------
timecost, 0.004871, seconds
done
input file size: 6080
output file size: 72
sz compression ratio, 84.44 
timecost, 0.003877, second
done
Max absolute error = 0.015547141432762145996
Max relative error = 199.54119053311021048
Max pw_relative err = 0.33222416918563679733
../model_comparison/inputdata/sample_1/sedov_p.dat, ../model_comparison/inputdata/sample_1/sedov_p.dat.sz.out, 760
size of double: 8
0.046749, 0.031250, -0.015499
0.046748, 0.031250, -0.015498
0.046748, 0.031250, -0.015498
0.046747, 0.031250, -0.015497
0.046746, 0.031250, -0.015496
0.046745, 0.031250, -0.015495
0.046743, 0.031250, -0.015493
0.046742, 0.031250, -0.015492
0.046749, 0.031250, -0.015499
0.046748, 0.031250, -0.015498
0.046747, 0.031250, -0.015497
0.046746, 0.031250, -0.015496
0.046745, 0.031250, -0.015495
0.046744, 0.031250, -0.015494
0.046742, 0.031250, -0.015492
0.046741, 0.031250, -0.015491
0.046748, 0.031250, -0.015498
0.046747, 0.031250, -0.015497
0.046746, 0.031250, -0.015496
0.046745, 0.031250, -0.015495
0.046744, 0.031250, -0.015494
0.046743, 0.031250, -0.015493
0.046742, 0.031250, -0.015492
0.046740, 0.031250, -0.015490
0.046748, 0.031250, -0.015498
0.046747, 0.031250, -0.015497
0.046746, 0.031250, -0.015496
0.046745, 0.031250, -0.015495
0.046743, 0.031250, -0.015493
0.046742, 0.031250, -0.015492
0.046741, 0.031250, -0.015491
0.046739, 0.031250, -0.015489
0.046747, 0.031250, -0.015497
0.046746, 0.031250, -0.015496
0.046745, 0.031250, -0.015495
0.046744, 0.031250, -0.015494
0.046743, 0.031250, -0.015493
0.046742, 0.031250, -0.015492
0.046740, 0.031250, -0.015490
0.046739, 0.031250, -0.015489
0.046740, 0.031250, -0.015490
0.046741, 0.031250, -0.015491
0.046741, 0.031250, -0.015491
0.046742, 0.031250, -0.015492
0.046742, 0.031250, -0.015492
0.046743, 0.031250, -0.015493
0.046743, 0.031250, -0.015493
0.046743, 0.031250, -0.015493
0.046740, 0.031250, -0.015490
0.046741, 0.031250, -0.015491
0.046741, 0.031250, -0.015491
0.046742, 0.031250, -0.015492
0.046742, 0.031250, -0.015492
0.046742, 0.031250, -0.015492
0.046743, 0.031250, -0.015493
0.046743, 0.031250, -0.015493
0.046740, 0.031250, -0.015490
0.046740, 0.031250, -0.015490
0.046741, 0.031250, -0.015491
0.046741, 0.031250, -0.015491
0.046742, 0.031250, -0.015492
0.046742, 0.031250, -0.015492
0.046743, 0.031250, -0.015493
0.046743, 0.031250, -0.015493
0.046740, 0.031250, -0.015490
0.046740, 0.031250, -0.015490
0.046741, 0.031250, -0.015491
0.046741, 0.031250, -0.015491
0.046742, 0.031250, -0.015492
0.046742, 0.031250, -0.015492
0.046742, 0.031250, -0.015492
0.046742, 0.031250, -0.015492
0.046739, 0.031250, -0.015489
0.046740, 0.031250, -0.015490
0.046740, 0.031250, -0.015490
0.046741, 0.031250, -0.015491
0.046741, 0.031250, -0.015491
0.046742, 0.031250, -0.015492
0.046742, 0.031250, -0.015492
0.046742, 0.031250, -0.015492
0.046730, 0.031250, -0.015480
0.046730, 0.031250, -0.015480
0.046730, 0.031250, -0.015480
0.046731, 0.031250, -0.015481
0.046732, 0.031250, -0.015482
0.046733, 0.031250, -0.015483
0.046734, 0.031250, -0.015484
0.046735, 0.031250, -0.015485
0.046733, 0.031250, -0.015483
0.046733, 0.031250, -0.015483
0.046733, 0.031250, -0.015483
0.046732, 0.031250, -0.015482
0.046732, 0.031250, -0.015482
0.046732, 0.031250, -0.015482
0.046731, 0.031250, -0.015481
0.046731, 0.031250, -0.015481
0.046733, 0.031250, -0.015483
0.046733, 0.031250, -0.015483
0.046733, 0.031250, -0.015483
0.046733, 0.031250, -0.015483
0.046733, 0.031250, -0.015483
