current pwr_bound is 5e-0
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 9680
pwrLength=303
pwrErrBoundBytes_size=606
pw_relBoundRatio=5.000000
hit: 9678
miss: 0
length of statenum:65536
nodecount=3
treeByteSize=22
enCodeSize=1210
-------insight of tdps
dataLength=9680
exactDataNum=2
realPrecision=491520.000000
medianValue=0.000000
reqLength=12
quantization_intervals=20000
pwrErrBoundBytes_size=606
radExpo=17
-----------------------
timecost, 0.004318, seconds
done
input file size: 77440
output file size: 224
sz compression ratio, 345.71 
timecost, 0.005451, second
done
Max absolute error = 134619.4375
Max relative error = 0.86987870062053107567
Max pw_relative err = 0.67257447102829770458
../model_comparison/inputdata/sample_10/yf17_p.dat, ../model_comparison/inputdata/sample_10/yf17_p.dat.sz.out, 9680
size of double: 8
103847.742188, 65536.000000, -38311.742188
91475.312500, 65536.000000, -25939.312500
86449.921875, 65536.000000, -20913.921875
92992.875000, 65536.000000, -27456.875000
92884.718750, 65536.000000, -27348.718750
110641.007812, 65536.000000, -45105.007812
96102.039062, 65536.000000, -30566.039062
101335.406250, 65536.000000, -35799.406250
101334.882812, 65536.000000, -35798.882812
101323.304688, 65536.000000, -35787.304688
101324.867188, 65536.000000, -35788.867188
101336.046875, 65536.000000, -35800.046875
101335.226562, 65536.000000, -35799.226562
101323.140625, 65536.000000, -35787.140625
101325.062500, 65536.000000, -35789.062500
105531.546875, 65536.000000, -39995.546875
104772.148438, 65536.000000, -39236.148438
106299.265625, 65536.000000, -40763.265625
107916.289062, 65536.000000, -42380.289062
107069.421875, 65536.000000, -41533.421875
107960.656250, 65536.000000, -42424.656250
107757.312500, 65536.000000, -42221.312500
108154.656250, 65536.000000, -42618.656250
107663.929688, 65536.000000, -42127.929688
108515.671875, 65536.000000, -42979.671875
109773.062500, 65536.000000, -44237.062500
109448.601562, 65536.000000, -43912.601562
110380.539062, 65536.000000, -44844.539062
112177.710938, 65536.000000, -46641.710938
115638.625000, 65536.000000, -50102.625000
120419.375000, 65536.000000, -54883.375000
126535.101562, 65536.000000, -60999.101562
131016.812500, 65536.000000, -65480.812500
142830.437500, 65536.000000, -77294.437500
153348.187500, 65536.000000, -87812.187500
143320.359375, 65536.000000, -77784.359375
162522.078125, 65536.000000, -96986.078125
115525.843750, 65536.000000, -49989.843750
135572.296875, 65536.000000, -70036.296875
155640.015625, 65536.000000, -90104.015625
99474.921875, 65536.000000, -33938.921875
98562.132812, 65536.000000, -33026.132812
100090.804688, 65536.000000, -34554.804688
100179.828125, 65536.000000, -34643.828125
98465.859375, 65536.000000, -32929.859375
99180.843750, 65536.000000, -33644.843750
100228.351562, 65536.000000, -34692.351562
98745.554688, 65536.000000, -33209.554688
98730.820312, 65536.000000, -33194.820312
98572.375000, 65536.000000, -33036.375000
98386.054688, 65536.000000, -32850.054688
99856.601562, 65536.000000, -34320.601562
99390.820312, 65536.000000, -33854.820312
98173.054688, 65536.000000, -32637.054688
98178.703125, 65536.000000, -32642.703125
99133.015625, 65536.000000, -33597.015625
99008.289062, 65536.000000, -33472.289062
100236.109375, 65536.000000, -34700.109375
100083.367188, 65536.000000, -34547.367188
98940.640625, 65536.000000, -33404.640625
98975.109375, 65536.000000, -33439.109375
99894.085938, 65536.000000, -34358.085938
98672.648438, 65536.000000, -33136.648438
98897.578125, 65536.000000, -33361.578125
98634.109375, 65536.000000, -33098.109375
99262.109375, 65536.000000, -33726.109375
100162.789062, 65536.000000, -34626.789062
100264.171875, 65536.000000, -34728.171875
101078.882812, 65536.000000, -35542.882812
98892.695312, 65536.000000, -33356.695312
100231.085938, 65536.000000, -34695.085938
98851.296875, 65536.000000, -33315.296875
99211.843750, 65536.000000, -33675.843750
100050.968750, 65536.000000, -34514.968750
100606.492188, 65536.000000, -35070.492188
100603.460938, 65536.000000, -35067.460938
99992.554688, 65536.000000, -34456.554688
100847.351562, 65536.000000, -35311.351562
100397.101562, 65536.000000, -34861.101562
99236.617188, 65536.000000, -33700.617188
104361.164062, 65536.000000, -38825.164062
102712.289062, 65536.000000, -37176.289062
106482.796875, 65536.000000, -40946.796875
104714.093750, 65536.000000, -39178.093750
102858.000000, 65536.000000, -37322.000000
101642.179688, 65536.000000, -36106.179688
104884.031250, 65536.000000, -39348.031250
107486.367188, 65536.000000, -41950.367188
99400.523438, 65536.000000, -33864.523438
103577.562500, 65536.000000, -38041.562500
101233.062500, 65536.000000, -35697.062500
107658.328125, 65536.000000, -42122.328125
105098.320312, 65536.000000, -39562.320312
103861.359375, 65536.000000, -38325.359375
107292.500000, 65536.000000, -41756.500000
106731.289062, 65536.000000, -41195.289062
106881.492188, 65536.000000, -41345.492188
100812.234375, 65536.000000, -35276.234375
102237.195312, 65536.000000, -36701.195312
105388.773438, 65536.000000, -39852.773438
107113.718750, 65536.000000, -41577.718750
107902.500000, 65536.000000, -42366.500000
104107.203125, 65536.000000, -38571.203125
105592.773438, 65536.000000, -40056.773438
107759.648438, 65536.000000, -42223.648438
101905.492188, 65536.000000, -36369.492188
102587.421875, 65536.000000, -37051.421875
104372.750000, 65536.000000, -38836.750000
103351.671875, 65536.000000, -37815.671875
100948.703125, 65536.000000, -35412.703125
103115.890625, 65536.000000, -37579.890625
104665.546875, 65536.000000, -39129.546875
105812.960938, 65536.000000, -40276.960938
107929.265625, 65536.000000, -42393.265625
107879.710938, 65536.000000, -42343.710938
104965.476562, 65536.000000, -39429.476562
106102.531250, 65536.000000, -40566.531250
105282.281250, 65536.000000, -39746.281250
103704.679688, 65536.000000, -38168.679688
102225.203125, 65536.000000, -36689.203125
92827.460938, 65536.000000, -27291.460938
92312.687500, 65536.000000, -26776.687500
92520.203125, 65536.000000, -26984.203125
93032.296875, 65536.000000, -27496.296875
92818.195312, 65536.000000, -27282.195312
93107.289062, 65536.000000, -27571.289062
92593.531250, 65536.000000, -27057.531250
91521.460938, 65536.000000, -25985.460938
93035.140625, 65536.000000, -27499.140625
91787.250000, 65536.000000, -26251.250000
90740.890625, 65536.000000, -25204.890625
91026.968750, 65536.000000, -25490.968750
92304.085938, 65536.000000, -26768.085938
106006.132812, 65536.000000, -40470.132812
82814.992188, 65536.000000, -17278.992188
89012.062500, 65536.000000, -23476.062500
86947.656250, 65536.000000, -21411.656250
84373.906250, 65536.000000, -18837.906250
81600.781250, 65536.000000, -16064.781250
79794.312500, 65536.000000, -14258.312500
77056.757812, 65536.000000, -11520.757812
73294.914062, 65536.000000, -7758.914062
69465.734375, 65536.000000, -3929.734375
114012.695312, 65536.000000, -48476.695312
128396.601562, 65536.000000, -62860.601562
67254.132812, 65536.000000, -1718.132812
64468.367188, 65536.000000, 1067.632812
66001.937500, 65536.000000, -465.937500
65648.312500, 65536.000000, -112.312500
65660.953125, 65536.000000, -124.953125
136255.296875, 65536.000000, -70719.296875
139712.187500, 65536.000000, -74176.187500
136349.453125, 65536.000000, -70813.453125
155413.750000, 65536.000000, -89877.750000
138462.656250, 65536.000000, -72926.656250
145705.468750, 65536.000000, -80169.468750
157847.250000, 65536.000000, -92311.250000
138802.609375, 65536.000000, -73266.609375
141605.203125, 65536.000000, -76069.203125
161599.562500, 65536.000000, -96063.562500
88199.203125, 65536.000000, -22663.203125
136164.375000, 65536.000000, -70628.375000
90622.500000, 65536.000000, -25086.500000
133455.109375, 65536.000000, -67919.109375
131803.625000, 65536.000000, -66267.625000
131010.289062, 65536.000000, -65474.289062
88172.718750, 65536.000000, -22636.718750
90829.250000, 65536.000000, -25293.250000
135006.343750, 65536.000000, -69470.343750
93579.992188, 65536.000000, -28043.992188
94322.242188, 65536.000000, -28786.242188
130567.171875, 65536.000000, -65031.171875
131148.000000, 65536.000000, -65612.000000
91184.281250, 65536.000000, -25648.281250
88216.351562, 65536.000000, -22680.351562
133547.656250, 65536.000000, -68011.656250
94252.210938, 65536.000000, -28716.210938
90691.367188, 65536.000000, -25155.367188
126354.484375, 65536.000000, -60818.484375
133988.953125, 65536.000000, -68452.953125
131083.984375, 65536.000000, -65547.984375
134808.750000, 65536.000000, -69272.750000
136384.593750, 65536.000000, -70848.593750
93966.070312, 65536.000000, -28430.070312
