current pwr_bound is 5e-3
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 9680
pwrLength=303
pwrErrBoundBytes_size=606
pw_relBoundRatio=0.005000
hit: 9678
miss: 0
length of statenum:65536
nodecount=85
treeByteSize=596
enCodeSize=3260
-------insight of tdps
dataLength=9680
exactDataNum=2
realPrecision=1.437500
medianValue=0.000000
reqLength=20
quantization_intervals=20000
pwrErrBoundBytes_size=606
radExpo=8
-----------------------
timecost, 0.004523, seconds
done
input file size: 77440
output file size: 3083
sz compression ratio, 25.12 
timecost, 0.003950, second
done
Max absolute error = 1.498931884765625
Max relative error = 0.029465615150282616769
Max pw_relative err = 0.0049943408587557452244
../model_comparison/inputdata/sample_10/yf17_t.dat, ../model_comparison/inputdata/sample_10/yf17_t.dat.sz.out, 9680
size of double: 8
314.142670, 314.000000, -0.142670
313.640564, 313.000000, -0.640564
312.940399, 312.000000, -0.940399
311.858429, 311.000000, -0.858429
310.752106, 310.000000, -0.752106
309.794952, 309.000000, -0.794952
308.816376, 308.000000, -0.816376
308.059998, 307.000000, -1.059998
307.451996, 306.000000, -1.451996
306.817444, 308.000000, 1.182556
306.446625, 307.000000, 0.553375
306.186249, 306.000000, -0.186249
305.605682, 305.000000, -0.605682
305.613434, 307.000000, 1.386566
305.733032, 306.000000, 0.266968
305.351471, 305.000000, -0.351471
304.902405, 304.000000, -0.902405
305.171234, 306.000000, 0.828766
305.920349, 305.000000, -0.920349
306.718445, 307.000000, 0.281555
311.976746, 312.000000, 0.023254
311.121521, 311.000000, -0.121521
310.190491, 310.000000, -0.190491
309.296143, 309.000000, -0.296143
308.489471, 308.000000, -0.489471
307.738953, 307.000000, -0.738953
307.055969, 306.000000, -1.055969
306.425262, 305.000000, -1.425262
305.838867, 307.000000, 1.161133
305.297791, 306.000000, 0.702209
304.818542, 305.000000, 0.181458
304.382568, 304.000000, -0.382568
303.989655, 303.000000, -0.989655
303.639282, 305.000000, 1.360718
303.328125, 304.000000, 0.671875
303.057251, 303.000000, -0.057251
302.815613, 302.000000, -0.815613
302.601471, 304.000000, 1.398529
302.418274, 303.000000, 0.581726
302.263580, 302.000000, -0.263580
303.658539, 304.000000, 0.341461
303.552856, 303.000000, -0.552856
303.531525, 305.000000, 1.468475
303.541077, 304.000000, 0.458923
303.422943, 303.000000, -0.422943
303.337402, 302.000000, -1.337402
303.291840, 304.000000, 0.708160
303.315491, 303.000000, -0.315491
303.315735, 302.000000, -1.315735
303.277527, 304.000000, 0.722473
303.249451, 303.000000, -0.249451
303.182800, 302.000000, -1.182800
303.213501, 304.000000, 0.786499
303.285583, 303.000000, -0.285583
303.332733, 302.000000, -1.332733
303.365723, 304.000000, 0.634277
303.440094, 303.000000, -0.440094
303.524353, 305.000000, 1.475647
303.656586, 304.000000, 0.343414
303.724396, 303.000000, -0.724396
303.825684, 305.000000, 1.174316
303.933136, 304.000000, 0.066864
304.125122, 303.000000, -1.125122
304.216278, 305.000000, 0.783722
304.381012, 304.125000, -0.256012
304.474670, 303.250000, -1.224670
304.654724, 305.250000, 0.595276
304.818268, 304.375000, -0.443268
305.028259, 306.375000, 1.346741
305.100647, 305.500000, 0.399353
305.198364, 304.625000, -0.573364
305.386383, 306.625000, 1.238617
305.638458, 305.750000, 0.111542
305.768005, 304.875000, -0.893005
305.846863, 306.875000, 1.028137
306.070831, 306.000000, -0.070831
306.253540, 305.125000, -1.128540
306.518494, 307.125000, 0.606506
306.735962, 306.250000, -0.485962
306.890656, 308.250000, 1.359344
299.681976, 298.750000, -0.931976
299.581268, 300.750000, 1.168732
299.498260, 299.875000, 0.376740
299.429047, 299.000000, -0.429047
299.364105, 298.125000, -1.239105
299.318481, 300.125000, 0.806519
299.277069, 299.250000, -0.027069
299.240051, 298.375000, -0.865051
299.211884, 300.375000, 1.163116
299.191772, 299.500000, 0.308228
299.176361, 298.625000, -0.551361
299.166626, 297.750000, -1.416626
299.163635, 299.750000, 0.586365
299.162933, 298.875000, -0.287933
299.173218, 298.000000, -1.173218
299.194366, 300.000000, 0.805634
299.210510, 299.125000, -0.085510
299.240845, 298.250000, -0.990845
299.276855, 300.250000, 0.973145
299.317780, 299.375000, 0.057220
299.361389, 298.500000, -0.861389
299.412811, 300.500000, 1.087189
299.454498, 299.625000, 0.170502
299.519043, 298.750000, -0.769043
299.581757, 300.750000, 1.168243
299.637085, 299.875000, 0.237915
299.705383, 299.000000, -0.705383
299.770630, 301.000000, 1.229370
299.856842, 300.125000, 0.268158
300.005798, 299.250000, -0.755798
307.782166, 307.000000, -0.782166
308.037811, 309.000000, 0.962189
308.060669, 308.125000, 0.064331
308.070007, 307.250000, -0.820007
308.042419, 309.250000, 1.207581
307.977539, 308.375000, 0.397461
307.914307, 307.500000, -0.414307
307.894836, 306.625000, -1.269836
307.782471, 308.625000, 0.842529
307.747498, 307.750000, 0.002502
300.002686, 301.125000, 1.122314
300.002533, 300.250000, 0.247467
300.002594, 299.375000, -0.627594
300.003571, 301.375000, 1.371429
300.002533, 300.500000, 0.497467
300.002258, 299.625000, -0.377258
300.004181, 298.750000, -1.254181
300.002167, 300.750000, 0.747833
300.002502, 299.750000, -0.252502
300.002625, 298.750000, -1.252625
300.002563, 300.750000, 0.747437
300.002899, 299.750000, -0.252899
300.001648, 298.750000, -1.251648
300.002930, 300.750000, 0.747070
300.002930, 299.750000, -0.252930
300.002686, 298.750000, -1.252686
300.002106, 300.750000, 0.747894
300.002655, 299.750000, -0.252655
300.002563, 298.750000, -1.252563
300.001495, 300.750000, 0.748505
300.002502, 299.750000, -0.252502
300.002594, 298.750000, -1.252594
300.001587, 300.750000, 0.748413
300.002625, 299.750000, -0.252625
300.001556, 298.750000, -1.251556
300.002625, 300.750000, 0.747375
300.002808, 299.750000, -0.252808
300.001556, 298.750000, -1.251556
300.002411, 300.750000, 0.747589
300.001709, 299.750000, -0.251709
300.003204, 298.750000, -1.253204
300.001495, 300.750000, 0.748505
300.003754, 299.750000, -0.253754
300.002899, 298.750000, -1.252899
300.001465, 300.750000, 0.748535
300.002777, 299.750000, -0.252777
300.001617, 298.750000, -1.251617
300.002777, 300.750000, 0.747223
300.002838, 299.750000, -0.252838
300.001770, 298.750000, -1.251770
326.208557, 324.750000, -1.458557
312.449310, 311.750000, -0.699310
311.965576, 310.750000, -1.215576
330.724548, 330.750000, 0.025452
309.406647, 308.750000, -0.656647
325.868958, 325.750000, -0.118958
312.830139, 312.750000, -0.080139
312.533875, 311.750000, -0.783875
329.701141, 328.750000, -0.951141
309.083160, 309.750000, 0.666840
325.305878, 326.750000, 1.444122
313.077637, 313.750000, 0.672363
313.523376, 312.750000, -0.773376
303.423737, 302.750000, -0.673737
329.376526, 328.750000, -0.626526
313.669189, 312.750000, -0.919189
308.614777, 308.750000, 0.135223
309.892151, 310.750000, 0.857849
308.388763, 309.750000, 1.361237
308.075073, 308.750000, 0.674927
309.470673, 310.750000, 1.279327
307.905975, 306.750000, -1.155975
309.289551, 308.750000, -0.539551
307.656769, 307.750000, 0.093231
308.704803, 309.750000, 1.045197
308.991516, 308.750000, -0.241516
310.134338, 310.750000, 0.615662
303.350983, 303.750000, 0.399017
324.529388, 323.750000, -0.779388
313.948395, 313.750000, -0.198395
303.248260, 303.750000, 0.501740
303.214905, 302.750000, -0.464905
314.315369, 313.750000, -0.565369
323.696991, 324.750000, 1.053009
327.975220, 326.750000, -1.225220
314.680420, 313.750000, -0.930420
314.993805, 315.750000, 0.756195
310.655914, 311.750000, 1.094086
303.347473, 304.750000, 1.402527
303.498322, 303.750000, 0.251678
304.487305, 305.750000, 1.262695
305.115845, 304.750000, -0.365845
310.771576, 309.750000, -1.021576
306.356049, 305.750000, -0.606049
303.891235, 304.750000, 0.858765
307.931641, 306.750000, -1.181641
304.857727, 305.750000, 0.892273
303.843811, 304.750000, 0.906189
305.349792, 306.750000, 1.400208
303.609009, 302.750000, -0.859009
303.498840, 304.750000, 1.251160
310.577209, 309.750000, -0.827209
308.437469, 308.750000, 0.312531
306.076996, 304.750000, -1.326996
304.159912, 303.750000, -0.409912
306.733795, 305.750000, -0.983795
