cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
timecost, 0.007597, seconds
done
7744
3686
sz compression ratio, 2.10 
timecost, 0.000076, second
done
Max absolute error = 0
Max relative error = 0
Max pw_relative err = 0
./inputdata/small/yf17_p_bi.dat, ./inputdata/small/yf17_p_bi.dat.sz.out, 968
size of double: 8
89462.757812, 89462.757812, 0.000000
87791.171875, 87791.171875, 0.000000
86417.953125, 86417.953125, 0.000000
85909.109375, 85909.109375, 0.000000
108117.312500, 108117.312500, 0.000000
111801.226562, 111801.226562, 0.000000
117803.390625, 117803.390625, 0.000000
123062.039062, 123062.039062, 0.000000
110331.984375, 110331.984375, 0.000000
109487.976562, 109487.976562, 0.000000
107584.960938, 107584.960938, 0.000000
106319.335938, 106319.335938, 0.000000
99371.726562, 99371.726562, 0.000000
99411.007812, 99411.007812, 0.000000
98741.523438, 98741.523438, 0.000000
97930.726562, 97930.726562, 0.000000
101386.054688, 101386.054688, 0.000000
101388.242188, 101388.242188, 0.000000
101390.156250, 101390.156250, 0.000000
101391.179688, 101391.179688, 0.000000
102686.843750, 102686.843750, 0.000000
121275.445312, 121275.445312, 0.000000
100974.640625, 100974.640625, 0.000000
105685.281250, 105685.281250, 0.000000
107120.710938, 107120.710938, 0.000000
109846.500000, 109846.500000, 0.000000
108087.906250, 108087.906250, 0.000000
109551.203125, 109551.203125, 0.000000
107926.226562, 107926.226562, 0.000000
117617.492188, 117617.492188, 0.000000
118798.125000, 118798.125000, 0.000000
119876.054688, 119876.054688, 0.000000
95460.109375, 95460.109375, 0.000000
95495.101562, 95495.101562, 0.000000
95001.632812, 95001.632812, 0.000000
91453.437500, 91453.437500, 0.000000
94553.976562, 94553.976562, 0.000000
92091.710938, 92091.710938, 0.000000
94795.632812, 94795.632812, 0.000000
96664.914062, 96664.914062, 0.000000
88992.984375, 88992.984375, 0.000000
91040.390625, 91040.390625, 0.000000
117676.914062, 117676.914062, 0.000000
113642.234375, 113642.234375, 0.000000
90282.203125, 90282.203125, 0.000000
132050.671875, 132050.671875, 0.000000
128464.125000, 128464.125000, 0.000000
122824.921875, 122824.921875, 0.000000
117845.578125, 117845.578125, 0.000000
91173.781250, 91173.781250, 0.000000
116998.140625, 116998.140625, 0.000000
91803.984375, 91803.984375, 0.000000
91428.015625, 91428.015625, 0.000000
90786.828125, 90786.828125, 0.000000
88800.476562, 88800.476562, 0.000000
94377.781250, 94377.781250, 0.000000
121450.468750, 121450.468750, 0.000000
94169.296875, 94169.296875, 0.000000
92507.523438, 92507.523438, 0.000000
92108.460938, 92108.460938, 0.000000
89405.531250, 89405.531250, 0.000000
89049.601562, 89049.601562, 0.000000
88601.609375, 88601.609375, 0.000000
87322.375000, 87322.375000, 0.000000
97142.062500, 97142.062500, 0.000000
99814.960938, 99814.960938, 0.000000
96242.687500, 96242.687500, 0.000000
95446.093750, 95446.093750, 0.000000
90608.156250, 90608.156250, 0.000000
90819.375000, 90819.375000, 0.000000
92416.351562, 92416.351562, 0.000000
94344.953125, 94344.953125, 0.000000
112349.468750, 112349.468750, 0.000000
111742.507812, 111742.507812, 0.000000
111891.812500, 111891.812500, 0.000000
113836.726562, 113836.726562, 0.000000
101788.664062, 101788.664062, 0.000000
96096.664062, 96096.664062, 0.000000
101245.304688, 101245.304688, 0.000000
101253.148438, 101253.148438, 0.000000
101337.515625, 101337.515625, 0.000000
101335.843750, 101335.843750, 0.000000
101336.453125, 101336.453125, 0.000000
101336.015625, 101336.015625, 0.000000
101324.492188, 101324.492188, 0.000000
101323.757812, 101323.757812, 0.000000
101323.859375, 101323.859375, 0.000000
101324.851562, 101324.851562, 0.000000
101325.515625, 101325.515625, 0.000000
101325.429688, 101325.429688, 0.000000
101325.476562, 101325.476562, 0.000000
101325.328125, 101325.328125, 0.000000
101386.328125, 101386.328125, 0.000000
101389.117188, 101389.117188, 0.000000
101386.250000, 101386.250000, 0.000000
101389.000000, 101389.000000, 0.000000
101385.468750, 101385.468750, 0.000000
101381.546875, 101381.546875, 0.000000
101381.953125, 101381.953125, 0.000000
101377.468750, 101377.468750, 0.000000
101324.015625, 101324.015625, 0.000000
101325.460938, 101325.460938, 0.000000
101325.250000, 101325.250000, 0.000000
101325.632812, 101325.632812, 0.000000
101353.890625, 101353.890625, 0.000000
101379.828125, 101379.828125, 0.000000
68979.421875, 68979.421875, 0.000000
105851.882812, 105851.882812, 0.000000
119186.898438, 119186.898438, 0.000000
107291.039062, 107291.039062, 0.000000
103086.484375, 103086.484375, 0.000000
85430.078125, 85430.078125, 0.000000
100956.609375, 100956.609375, 0.000000
100144.742188, 100144.742188, 0.000000
105689.093750, 105689.093750, 0.000000
95365.226562, 95365.226562, 0.000000
103304.132812, 103304.132812, 0.000000
103313.710938, 103313.710938, 0.000000
103317.937500, 103317.937500, 0.000000
103078.351562, 103078.351562, 0.000000
103286.195312, 103286.195312, 0.000000
103004.039062, 103004.039062, 0.000000
103248.742188, 103248.742188, 0.000000
103048.796875, 103048.796875, 0.000000
102890.296875, 102890.296875, 0.000000
100498.546875, 100498.546875, 0.000000
101394.218750, 101394.218750, 0.000000
100725.812500, 100725.812500, 0.000000
101398.710938, 101398.710938, 0.000000
101398.523438, 101398.523438, 0.000000
101335.039062, 101335.039062, 0.000000
101351.015625, 101351.015625, 0.000000
101329.898438, 101329.898438, 0.000000
101320.406250, 101320.406250, 0.000000
101342.539062, 101342.539062, 0.000000
101347.343750, 101347.343750, 0.000000
101408.617188, 101408.617188, 0.000000
101361.179688, 101361.179688, 0.000000
101355.945312, 101355.945312, 0.000000
