cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
timecost, 0.004981, seconds
done
7744
3712
sz compression ratio, 2.09 
timecost, 0.000087, second
done
Max absolute error = 0
Max relative error = 0
Max pw_relative err = 0
./inputdata/small/yf17_p_br.dat, ./inputdata/small/yf17_p_br.dat.sz.out, 968
size of double: 8
131016.812500, 131016.812500, 0.000000
142830.437500, 142830.437500, 0.000000
153348.187500, 153348.187500, 0.000000
143320.359375, 143320.359375, 0.000000
91007.945312, 91007.945312, 0.000000
90510.664062, 90510.664062, 0.000000
88956.945312, 88956.945312, 0.000000
90197.359375, 90197.359375, 0.000000
111718.734375, 111718.734375, 0.000000
110956.648438, 110956.648438, 0.000000
111915.992188, 111915.992188, 0.000000
110665.375000, 110665.375000, 0.000000
126089.835938, 126089.835938, 0.000000
126125.554688, 126125.554688, 0.000000
88512.171875, 88512.171875, 0.000000
89944.648438, 89944.648438, 0.000000
88508.851562, 88508.851562, 0.000000
88609.078125, 88609.078125, 0.000000
88132.101562, 88132.101562, 0.000000
88045.976562, 88045.976562, 0.000000
106400.109375, 106400.109375, 0.000000
105379.601562, 105379.601562, 0.000000
105263.101562, 105263.101562, 0.000000
104275.054688, 104275.054688, 0.000000
87990.046875, 87990.046875, 0.000000
86111.304688, 86111.304688, 0.000000
87135.523438, 87135.523438, 0.000000
86833.195312, 86833.195312, 0.000000
101337.312500, 101337.312500, 0.000000
101337.984375, 101337.984375, 0.000000
101338.023438, 101338.023438, 0.000000
101335.632812, 101335.632812, 0.000000
116421.171875, 116421.171875, 0.000000
119324.031250, 119324.031250, 0.000000
121002.546875, 121002.546875, 0.000000
118899.726562, 118899.726562, 0.000000
157847.250000, 157847.250000, 0.000000
138802.609375, 138802.609375, 0.000000
141605.203125, 141605.203125, 0.000000
161599.562500, 161599.562500, 0.000000
106465.507812, 106465.507812, 0.000000
110106.085938, 110106.085938, 0.000000
88475.812500, 88475.812500, 0.000000
91734.679688, 91734.679688, 0.000000
104753.187500, 104753.187500, 0.000000
105025.109375, 105025.109375, 0.000000
101633.562500, 101633.562500, 0.000000
103108.742188, 103108.742188, 0.000000
135006.343750, 135006.343750, 0.000000
93579.992188, 93579.992188, 0.000000
94322.242188, 94322.242188, 0.000000
130567.171875, 130567.171875, 0.000000
91878.109375, 91878.109375, 0.000000
91405.687500, 91405.687500, 0.000000
92477.000000, 92477.000000, 0.000000
92532.875000, 92532.875000, 0.000000
92451.039062, 92451.039062, 0.000000
138843.500000, 138843.500000, 0.000000
125338.859375, 125338.859375, 0.000000
123661.132812, 123661.132812, 0.000000
100032.929688, 100032.929688, 0.000000
95225.148438, 95225.148438, 0.000000
88884.796875, 88884.796875, 0.000000
89033.414062, 89033.414062, 0.000000
100925.835938, 100925.835938, 0.000000
104861.992188, 104861.992188, 0.000000
104439.859375, 104439.859375, 0.000000
100321.968750, 100321.968750, 0.000000
91428.015625, 91428.015625, 0.000000
90786.828125, 90786.828125, 0.000000
88800.476562, 88800.476562, 0.000000
94377.781250, 94377.781250, 0.000000
127298.367188, 127298.367188, 0.000000
92800.218750, 92800.218750, 0.000000
92808.828125, 92808.828125, 0.000000
125688.867188, 125688.867188, 0.000000
114688.765625, 114688.765625, 0.000000
107715.453125, 107715.453125, 0.000000
108778.070312, 108778.070312, 0.000000
110451.929688, 110451.929688, 0.000000
107872.859375, 107872.859375, 0.000000
108841.054688, 108841.054688, 0.000000
108991.179688, 108991.179688, 0.000000
109217.375000, 109217.375000, 0.000000
94627.406250, 94627.406250, 0.000000
93858.234375, 93858.234375, 0.000000
88225.875000, 88225.875000, 0.000000
103686.148438, 103686.148438, 0.000000
101324.984375, 101324.984375, 0.000000
101325.156250, 101325.156250, 0.000000
101325.054688, 101325.054688, 0.000000
101324.914062, 101324.914062, 0.000000
101324.601562, 101324.601562, 0.000000
101325.382812, 101325.382812, 0.000000
101325.328125, 101325.328125, 0.000000
101325.296875, 101325.296875, 0.000000
101324.851562, 101324.851562, 0.000000
101325.671875, 101325.671875, 0.000000
101325.648438, 101325.648438, 0.000000
101325.062500, 101325.062500, 0.000000
101369.812500, 101369.812500, 0.000000
101373.515625, 101373.515625, 0.000000
101375.734375, 101375.734375, 0.000000
101373.835938, 101373.835938, 0.000000
101390.117188, 101390.117188, 0.000000
101385.960938, 101385.960938, 0.000000
101383.593750, 101383.593750, 0.000000
101388.531250, 101388.531250, 0.000000
101325.648438, 101325.648438, 0.000000
101342.453125, 101342.453125, 0.000000
101325.476562, 101325.476562, 0.000000
101325.343750, 101325.343750, 0.000000
101337.539062, 101337.539062, 0.000000
101340.601562, 101340.601562, 0.000000
101334.882812, 101334.882812, 0.000000
101339.687500, 101339.687500, 0.000000
101352.085938, 101352.085938, 0.000000
101323.218750, 101323.218750, 0.000000
101323.062500, 101323.062500, 0.000000
101323.421875, 101323.421875, 0.000000
95134.710938, 95134.710938, 0.000000
93509.773438, 93509.773438, 0.000000
109814.390625, 109814.390625, 0.000000
97577.593750, 97577.593750, 0.000000
114373.835938, 114373.835938, 0.000000
93755.390625, 93755.390625, 0.000000
100678.507812, 100678.507812, 0.000000
94841.906250, 94841.906250, 0.000000
101739.421875, 101739.421875, 0.000000
112489.265625, 112489.265625, 0.000000
102917.265625, 102917.265625, 0.000000
108096.117188, 108096.117188, 0.000000
101928.617188, 101928.617188, 0.000000
100265.554688, 100265.554688, 0.000000
105743.882812, 105743.882812, 0.000000
101237.218750, 101237.218750, 0.000000
101903.703125, 101903.703125, 0.000000
103142.554688, 103142.554688, 0.000000
100687.453125, 100687.453125, 0.000000
