cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
timecost, 0.023447, seconds
done
776832
283963
sz compression ratio, 2.74 
timecost, 0.013900, second
done
Max absolute error = 1.171875
Max relative error = 3.8535659332029048631E-06
Max pw_relative err = 9.946419879412091668E-06
./inputdata/small/yf17_p_o.dat, ./inputdata/small/yf17_p_o.dat.sz.out, 97104
size of double: 8
104297.710938, 104297.687500, -0.023438
109167.023438, 109167.000000, -0.023438
134858.343750, 134858.187500, -0.156250
106188.796875, 106188.750000, -0.046875
100689.929688, 100689.625000, -0.304688
77814.093750, 77813.937500, -0.156250
94606.328125, 94606.312500, -0.015625
99107.617188, 99108.062500, 0.445312
108838.796875, 108839.187500, 0.390625
174338.625000, 174338.625000, 0.000000
89651.671875, 89651.625000, -0.046875
87860.367188, 87860.312500, -0.054688
126498.562500, 126498.562500, 0.000000
114314.968750, 114314.937500, -0.031250
139159.156250, 139159.125000, -0.031250
198522.625000, 198522.625000, 0.000000
131053.890625, 131053.875000, -0.015625
90704.773438, 90705.125000, 0.351562
101509.460938, 101509.437500, -0.023438
89674.117188, 89674.062500, -0.054688
96359.367188, 96359.000000, -0.367188
95289.023438, 95288.937500, -0.085938
88689.515625, 88689.500000, -0.015625
93384.882812, 93385.062500, 0.179688
104179.875000, 104180.000000, 0.125000
107685.046875, 107684.937500, -0.109375
58933.808594, 58933.781250, -0.027344
92719.671875, 92719.625000, -0.046875
73588.640625, 73588.625000, -0.015625
63890.683594, 63890.750000, 0.066406
47158.847656, 47158.812500, -0.035156
78056.859375, 78056.812500, -0.046875
77139.453125, 77139.812500, 0.359375
108067.375000, 108067.812500, 0.437500
112177.593750, 112177.312500, -0.281250
89870.812500, 89870.312500, -0.500000
103991.484375, 103990.812500, -0.671875
90119.117188, 90119.812500, 0.695312
84912.515625, 84912.812500, 0.296875
100210.718750, 100210.812500, 0.093750
103847.742188, 103847.812500, 0.070312
91475.312500, 91475.312500, 0.000000
86449.921875, 86449.812500, -0.109375
92992.875000, 92992.312500, -0.562500
92884.718750, 92885.312500, 0.593750
110641.007812, 110640.312500, -0.695312
96102.039062, 96101.812500, -0.226562
101335.406250, 101334.812500, -0.593750
101334.882812, 101334.312500, -0.570312
101323.304688, 101323.312500, 0.007812
101324.867188, 101324.312500, -0.554688
101336.046875, 101335.812500, -0.234375
101335.226562, 101335.312500, 0.085938
101323.140625, 101322.812500, -0.328125
101325.062500, 101325.312500, 0.250000
105531.546875, 105530.812500, -0.734375
104772.148438, 104772.812500, 0.664062
106299.265625, 106299.312500, 0.046875
107916.289062, 107915.812500, -0.476562
107069.421875, 107069.312500, -0.109375
107960.656250, 107961.312500, 0.656250
107757.312500, 107756.812500, -0.500000
108154.656250, 108155.312500, 0.656250
107663.929688, 107664.312500, 0.382812
108515.671875, 108516.312500, 0.640625
109773.062500, 109772.062500, -1.000000
109448.601562, 109448.937500, 0.335938
110380.539062, 110379.562500, -0.976562
112177.710938, 112177.187500, -0.523438
115638.625000, 115638.687500, 0.062500
120419.375000, 120419.812500, 0.437500
126535.101562, 126535.437500, 0.335938
131016.812500, 131016.937500, 0.125000
142830.437500, 142829.687500, -0.750000
153348.187500, 153348.312500, 0.125000
143320.359375, 143320.312500, -0.046875
162522.078125, 162521.687500, -0.390625
115525.843750, 115525.062500, -0.781250
135572.296875, 135572.187500, -0.109375
155640.015625, 155640.562500, 0.546875
179345.125000, 179344.812500, -0.312500
171879.359375, 171879.562500, 0.203125
161857.531250, 161857.937500, 0.406250
157874.875000, 157875.562500, 0.687500
151276.671875, 151277.312500, 0.640625
145242.312500, 145242.187500, -0.125000
141384.437500, 141385.187500, 0.750000
136828.171875, 136829.062500, 0.890625
133862.093750, 133862.437500, 0.343750
131825.265625, 131824.437500, -0.828125
130192.203125, 130192.312500, 0.109375
128110.109375, 128109.687500, -0.421875
128389.890625, 128390.062500, 0.171875
125169.609375, 125170.562500, 0.953125
130489.546875, 130489.312500, -0.234375
127784.914062, 127784.062500, -0.851562
124631.835938, 124632.812500, 0.976562
122282.109375, 122281.562500, -0.546875
128050.859375, 128050.312500, -0.546875
129485.531250, 129485.062500, -0.468750
107579.710938, 107579.812500, 0.101562
107423.703125, 107424.562500, 0.859375
107547.046875, 107547.312500, 0.265625
107625.812500, 107626.062500, 0.250000
107627.125000, 107626.812500, -0.312500
107582.046875, 107581.562500, -0.484375
107526.117188, 107526.312500, 0.195312
107410.257812, 107411.062500, 0.804688
107252.765625, 107251.812500, -0.953125
107100.921875, 107100.562500, -0.359375
106955.031250, 106955.312500, 0.281250
106781.500000, 106782.062500, 0.562500
106620.851562, 106620.812500, -0.039062
106479.890625, 106479.562500, -0.328125
106355.851562, 106356.312500, 0.460938
106260.257812, 106261.062500, 0.804688
106151.171875, 106151.812500, 0.640625
106071.195312, 106070.562500, -0.632812
105966.492188, 105967.312500, 0.820312
105892.460938, 105892.062500, -0.398438
105768.054688, 105768.812500, 0.757812
105948.875000, 105949.562500, 0.687500
105628.664062, 105628.312500, -0.351562
105515.632812, 105515.062500, -0.570312
105234.101562, 105233.812500, -0.289062
104602.500000, 104602.562500, 0.062500
104180.671875, 104181.312500, 0.640625
104054.500000, 104054.062500, -0.437500
103252.578125, 103253.062500, 0.484375
100076.554688, 100076.062500, -0.492188
98986.218750, 98986.312500, 0.093750
100064.773438, 100064.937500, 0.164062
99665.265625, 99665.437500, 0.171875
87428.656250, 87428.562500, -0.093750
