cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
timecost, 0.005448, seconds
done
7768
3813
sz compression ratio, 2.04 
timecost, 0.000080, second
done
Max absolute error = 0
Max relative error = 0
Max pw_relative err = 0
./inputdata/small/yf17_p_pr.dat, ./inputdata/small/yf17_p_pr.dat.sz.out, 971
size of double: 8
126498.562500, 126498.562500, 0.000000
101325.062500, 101325.062500, 0.000000
97825.750000, 97825.750000, 0.000000
96201.039062, 96201.039062, 0.000000
109434.078125, 109434.078125, 0.000000
120389.234375, 120389.234375, 0.000000
89522.585938, 89522.585938, 0.000000
95103.679688, 95103.679688, 0.000000
106587.703125, 106587.703125, 0.000000
105801.718750, 105801.718750, 0.000000
136356.656250, 136356.656250, 0.000000
88124.898438, 88124.898438, 0.000000
86604.843750, 86604.843750, 0.000000
99886.437500, 99886.437500, 0.000000
116728.492188, 116728.492188, 0.000000
111677.984375, 111677.984375, 0.000000
101382.773438, 101382.773438, 0.000000
101335.640625, 101335.640625, 0.000000
101325.609375, 101325.609375, 0.000000
113228.328125, 113228.328125, 0.000000
140959.328125, 140959.328125, 0.000000
102004.289062, 102004.289062, 0.000000
105098.320312, 105098.320312, 0.000000
99142.492188, 99142.492188, 0.000000
92975.031250, 92975.031250, 0.000000
97859.828125, 97859.828125, 0.000000
136383.046875, 136383.046875, 0.000000
67254.132812, 67254.132812, 0.000000
97660.429688, 97660.429688, 0.000000
106328.023438, 106328.023438, 0.000000
91748.140625, 91748.140625, 0.000000
93796.000000, 93796.000000, 0.000000
96255.968750, 96255.968750, 0.000000
91631.335938, 91631.335938, 0.000000
88489.906250, 88489.906250, 0.000000
101494.093750, 101494.093750, 0.000000
105128.898438, 105128.898438, 0.000000
87683.187500, 87683.187500, 0.000000
152280.484375, 152280.484375, 0.000000
86882.437500, 86882.437500, 0.000000
95203.335938, 95203.335938, 0.000000
132976.921875, 132976.921875, 0.000000
121755.500000, 121755.500000, 0.000000
92200.570312, 92200.570312, 0.000000
94864.421875, 94864.421875, 0.000000
86543.335938, 86543.335938, 0.000000
120833.875000, 120833.875000, 0.000000
109345.476562, 109345.476562, 0.000000
87444.523438, 87444.523438, 0.000000
99344.656250, 99344.656250, 0.000000
99327.531250, 99327.531250, 0.000000
97557.882812, 97557.882812, 0.000000
93322.765625, 93322.765625, 0.000000
104999.140625, 104999.140625, 0.000000
110863.164062, 110863.164062, 0.000000
109416.367188, 109416.367188, 0.000000
105565.867188, 105565.867188, 0.000000
99809.773438, 99809.773438, 0.000000
93181.406250, 93181.406250, 0.000000
96211.328125, 96211.328125, 0.000000
88199.085938, 88199.085938, 0.000000
91052.890625, 91052.890625, 0.000000
113520.609375, 113520.609375, 0.000000
115410.156250, 115410.156250, 0.000000
88611.171875, 88611.171875, 0.000000
88300.687500, 88300.687500, 0.000000
93578.843750, 93578.843750, 0.000000
93305.320312, 93305.320312, 0.000000
93281.179688, 93281.179688, 0.000000
97515.453125, 97515.453125, 0.000000
101337.468750, 101337.468750, 0.000000
101336.437500, 101336.437500, 0.000000
101323.906250, 101323.906250, 0.000000
101325.125000, 101325.125000, 0.000000
101324.921875, 101324.921875, 0.000000
101325.046875, 101325.046875, 0.000000
101325.515625, 101325.515625, 0.000000
101325.382812, 101325.382812, 0.000000
101361.007812, 101361.007812, 0.000000
101380.773438, 101380.773438, 0.000000
101381.375000, 101381.375000, 0.000000
101336.953125, 101336.953125, 0.000000
101362.203125, 101362.203125, 0.000000
101333.375000, 101333.375000, 0.000000
101356.718750, 101356.718750, 0.000000
101342.742188, 101342.742188, 0.000000
101341.828125, 101341.828125, 0.000000
101336.085938, 101336.085938, 0.000000
101326.234375, 101326.234375, 0.000000
101335.812500, 101335.812500, 0.000000
101326.179688, 101326.179688, 0.000000
101345.039062, 101345.039062, 0.000000
101357.109375, 101357.109375, 0.000000
101359.773438, 101359.773438, 0.000000
101382.554688, 101382.554688, 0.000000
101350.914062, 101350.914062, 0.000000
101372.562500, 101372.562500, 0.000000
101332.375000, 101332.375000, 0.000000
101324.031250, 101324.031250, 0.000000
101327.984375, 101327.984375, 0.000000
105213.468750, 105213.468750, 0.000000
105418.117188, 105418.117188, 0.000000
106831.828125, 106831.828125, 0.000000
94492.945312, 94492.945312, 0.000000
93117.210938, 93117.210938, 0.000000
89305.156250, 89305.156250, 0.000000
112551.148438, 112551.148438, 0.000000
101548.835938, 101548.835938, 0.000000
105741.164062, 105741.164062, 0.000000
101184.421875, 101184.421875, 0.000000
102016.742188, 102016.742188, 0.000000
102952.718750, 102952.718750, 0.000000
101397.359375, 101397.359375, 0.000000
105021.359375, 105021.359375, 0.000000
102065.015625, 102065.015625, 0.000000
102420.687500, 102420.687500, 0.000000
102094.742188, 102094.742188, 0.000000
101770.187500, 101770.187500, 0.000000
95936.656250, 95936.656250, 0.000000
100490.093750, 100490.093750, 0.000000
102485.359375, 102485.359375, 0.000000
101101.968750, 101101.968750, 0.000000
101511.734375, 101511.734375, 0.000000
101351.171875, 101351.171875, 0.000000
101329.882812, 101329.882812, 0.000000
101392.507812, 101392.507812, 0.000000
101378.421875, 101378.421875, 0.000000
101372.382812, 101372.382812, 0.000000
101335.835938, 101335.835938, 0.000000
110941.218750, 110941.218750, 0.000000
113220.093750, 113220.093750, 0.000000
97955.625000, 97955.625000, 0.000000
96197.960938, 96197.960938, 0.000000
107026.437500, 107026.437500, 0.000000
96096.632812, 96096.632812, 0.000000
109280.156250, 109280.156250, 0.000000
107164.914062, 107164.914062, 0.000000
102091.562500, 102091.562500, 0.000000
100415.835938, 100415.835938, 0.000000
94380.335938, 94380.335938, 0.000000
93806.500000, 93806.500000, 0.000000
107012.929688, 107012.929688, 0.000000
92184.703125, 92184.703125, 0.000000
92721.789062, 92721.789062, 0.000000
101641.398438, 101641.398438, 0.000000
100734.515625, 100734.515625, 0.000000
99417.132812, 99417.132812, 0.000000
101049.429688, 101049.429688, 0.000000
103030.453125, 103030.453125, 0.000000
99320.835938, 99320.835938, 0.000000
94915.328125, 94915.328125, 0.000000
94106.476562, 94106.476562, 0.000000
110873.062500, 110873.062500, 0.000000
101118.515625, 101118.515625, 0.000000
94225.750000, 94225.750000, 0.000000
103891.226562, 103891.226562, 0.000000
99346.218750, 99346.218750, 0.000000
104575.328125, 104575.328125, 0.000000
107333.906250, 107333.906250, 0.000000
104853.671875, 104853.671875, 0.000000
97595.203125, 97595.203125, 0.000000
104496.617188, 104496.617188, 0.000000
101522.226562, 101522.226562, 0.000000
110708.695312, 110708.695312, 0.000000
111403.671875, 111403.671875, 0.000000
97760.835938, 97760.835938, 0.000000
101300.789062, 101300.789062, 0.000000
98237.531250, 98237.531250, 0.000000
102071.117188, 102071.117188, 0.000000
91686.632812, 91686.632812, 0.000000
90607.328125, 90607.328125, 0.000000
83793.265625, 83793.265625, 0.000000
100059.734375, 100059.734375, 0.000000
92851.664062, 92851.664062, 0.000000
102657.164062, 102657.164062, 0.000000
100861.359375, 100861.359375, 0.000000
99334.484375, 99334.484375, 0.000000
88565.179688, 88565.179688, 0.000000
99190.976562, 99190.976562, 0.000000
109119.398438, 109119.398438, 0.000000
101007.062500, 101007.062500, 0.000000
98766.757812, 98766.757812, 0.000000
140661.171875, 140661.171875, 0.000000
106305.265625, 106305.265625, 0.000000
101652.273438, 101652.273438, 0.000000
98497.664062, 98497.664062, 0.000000
104456.718750, 104456.718750, 0.000000
92312.812500, 92312.812500, 0.000000
101558.804688, 101558.804688, 0.000000
99094.257812, 99094.257812, 0.000000
93662.820312, 93662.820312, 0.000000
99714.750000, 99714.750000, 0.000000
100553.093750, 100553.093750, 0.000000
100464.757812, 100464.757812, 0.000000
99844.851562, 99844.851562, 0.000000
98749.609375, 98749.609375, 0.000000
102215.945312, 102215.945312, 0.000000
100382.289062, 100382.289062, 0.000000
98798.687500, 98798.687500, 0.000000
100173.460938, 100173.460938, 0.000000
100717.218750, 100717.218750, 0.000000
99777.945312, 99777.945312, 0.000000
101713.179688, 101713.179688, 0.000000
100439.164062, 100439.164062, 0.000000
98812.562500, 98812.562500, 0.000000
100061.453125, 100061.453125, 0.000000
100191.414062, 100191.414062, 0.000000
99571.257812, 99571.257812, 0.000000
100561.375000, 100561.375000, 0.000000
97654.585938, 97654.585938, 0.000000
101142.210938, 101142.210938, 0.000000
99448.757812, 99448.757812, 0.000000
100193.117188, 100193.117188, 0.000000
98805.937500, 98805.937500, 0.000000
100044.031250, 100044.031250, 0.000000
98201.578125, 98201.578125, 0.000000
99366.273438, 99366.273438, 0.000000
97540.671875, 97540.671875, 0.000000
100417.617188, 100417.617188, 0.000000
99399.953125, 99399.953125, 0.000000
97135.031250, 97135.031250, 0.000000
100641.789062, 100641.789062, 0.000000
98742.843750, 98742.843750, 0.000000
96895.117188, 96895.117188, 0.000000
99410.437500, 99410.437500, 0.000000
100196.867188, 100196.867188, 0.000000
96535.351562, 96535.351562, 0.000000
96056.171875, 96056.171875, 0.000000
99844.296875, 99844.296875, 0.000000
101350.117188, 101350.117188, 0.000000
100042.992188, 100042.992188, 0.000000
98787.304688, 98787.304688, 0.000000
100624.976562, 100624.976562, 0.000000
96431.882812, 96431.882812, 0.000000
98477.242188, 98477.242188, 0.000000
101253.671875, 101253.671875, 0.000000
99413.671875, 99413.671875, 0.000000
99869.960938, 99869.960938, 0.000000
96891.453125, 96891.453125, 0.000000
100441.156250, 100441.156250, 0.000000
98028.234375, 98028.234375, 0.000000
99583.406250, 99583.406250, 0.000000
100512.554688, 100512.554688, 0.000000
98484.265625, 98484.265625, 0.000000
101892.515625, 101892.515625, 0.000000
99409.914062, 99409.914062, 0.000000
100370.351562, 100370.351562, 0.000000
98961.593750, 98961.593750, 0.000000
98815.937500, 98815.937500, 0.000000
100335.328125, 100335.328125, 0.000000
97904.226562, 97904.226562, 0.000000
100421.546875, 100421.546875, 0.000000
98897.460938, 98897.460938, 0.000000
98925.445312, 98925.445312, 0.000000
105023.335938, 105023.335938, 0.000000
101860.453125, 101860.453125, 0.000000
97765.429688, 97765.429688, 0.000000
103768.406250, 103768.406250, 0.000000
94929.515625, 94929.515625, 0.000000
99359.093750, 99359.093750, 0.000000
99198.289062, 99198.289062, 0.000000
99383.835938, 99383.835938, 0.000000
99716.523438, 99716.523438, 0.000000
100936.140625, 100936.140625, 0.000000
94500.570312, 94500.570312, 0.000000
103928.671875, 103928.671875, 0.000000
102878.078125, 102878.078125, 0.000000
100463.390625, 100463.390625, 0.000000
98417.523438, 98417.523438, 0.000000
95440.898438, 95440.898438, 0.000000
94029.257812, 94029.257812, 0.000000
100933.867188, 100933.867188, 0.000000
94295.632812, 94295.632812, 0.000000
93973.625000, 93973.625000, 0.000000
